,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MS4A1,0,5.56804102052549,0.855,0.069,0
CD70,0,5.20066370516543,0.853,0.071,0
EBI3,0,5.64147241546344,0.857,0.076,0
CD44,0,5.26853411558854,0.835,0.059,0
CD40,0,5.53341269716197,0.843,0.068,0
CD74,0,4.89234109111167,0.838,0.084,0
MIR155HG,0,5.38620819739872,0.89,0.138,0
PLEK,0,4.8141727994353,0.861,0.111,0
BASP1,0,5.16670566619443,0.8,0.05,0
FCER2,0,5.43122164704852,0.786,0.042,0
RPL10P9,0,4.84589129655834,0.845,0.102,0
CD86,0,5.42698937111323,0.785,0.047,0
CCR7,0,4.62415377209761,0.832,0.096,0
CCND2,0,4.46482388091888,0.809,0.076,0
ICAM1,0,4.85300261304089,0.787,0.056,0
SLAMF7,0,4.8411200900984,0.779,0.048,0
SRGN,0,5.29143800229564,0.906,0.183,0
RGS16,0,4.53099300393247,0.782,0.059,0
LGALS1,0,4.56734153395891,0.873,0.152,0
CDKN1A,0,4.65596019200756,0.772,0.051,0
ID2,0,3.59593853455995,0.852,0.132,0
IGKC,0,5.26977489564201,0.781,0.061,0
PLIN2,0,4.60759325978662,0.758,0.047,0
PAGE5,0,4.63776731344395,0.754,0.047,0
MARCKS,0,4.15908547906899,0.852,0.145,0
MAP3K8,0,4.5279357178358,0.764,0.057,0
CTSS,0,5.18251701943285,0.738,0.032,0
GADD45B,0,3.44754515023987,0.847,0.153,0
NFKBIZ,0,4.79854377925414,0.727,0.034,0
RGS1,0,4.53126258455573,0.729,0.038,0
TES,0,4.9469403747717,0.72,0.031,0
LYN,0,5.40427287624378,0.716,0.028,0
LMNA,0,4.76679524768448,0.732,0.045,0
MCOLN2,0,4.53080559964733,0.758,0.072,0
HIST1H4C,0,3.89868150378639,0.756,0.072,0
HLA-F,0,4.14746505309609,0.773,0.089,0
BST2,0,4.22845450308686,0.752,0.069,0
SLAMF1,0,5.23975454517081,0.716,0.036,0
CCL5,0,5.07976306787526,0.715,0.038,0
PIEZO2,0,5.41157047964196,0.7,0.025,0
LAT2,0,4.72829286492396,0.726,0.055,0
CD80,0,4.99181458776338,0.7,0.029,0
TRIM22,0,5.08685895267876,0.698,0.03,0
BCL2A1,0,5.1117461669909,0.702,0.035,0
NRCAM,0,5.35400613040716,0.695,0.029,0
CD300A,0,4.55853850801318,0.716,0.052,0
XIST,0,5.34429691216778,0.695,0.031,0
LITAF,0,5.02335381076327,0.703,0.041,0
CD79A,0,3.98687089462591,0.764,0.106,0
FSCN1,0,4.16134881179391,0.712,0.055,0
NCF2,0,5.02201464618169,0.689,0.032,0
DTX4,0,3.98581118831276,0.716,0.061,0
TNFSF9,0,3.96497579643659,0.732,0.077,0
NFKB2,0,3.49482995561976,0.739,0.09,0
FAS,0,3.65817760591274,0.726,0.082,0
RHOV,0,3.94123945945277,0.713,0.07,0
ALPK2,0,5.50556492898294,0.669,0.026,0
CD37,0,5.10060542253322,0.671,0.029,0
IRF8,0,4.02726208056153,0.691,0.054,0
RUNX3,0,3.34488676793769,0.886,0.25,0
S100A6,0,5.12447309420388,0.667,0.035,0
KSR1,0,3.57710858448622,0.72,0.09,0
IL4I1,0,4.57132215312012,0.675,0.047,0
IFI30,0,3.63154927542966,0.767,0.14,0
PTK2B,0,3.29378510257815,0.822,0.195,0
LY75,0,5.36670991215986,0.65,0.023,0
GPR183,0,4.45867332175443,0.659,0.033,0
CCDC50,0,5.02984562806793,0.648,0.023,0
MSC,0,5.09587665935882,0.645,0.021,0
TRAF1,0,4.01748205894867,0.678,0.062,0
GTSF1,0,4.37116449126352,0.652,0.037,0
TNFRSF14,0,3.53025953279853,0.696,0.083,0
KLF6,0,2.52999342531616,0.841,0.229,0
SCARB1,0,3.20341686577524,0.745,0.133,0
TIMP1,0,3.19769920515241,0.728,0.122,0
LAMP3,0,3.28950178574326,0.701,0.097,0
IL21R,0,3.65126495460371,0.655,0.052,0
NFKBIA,0,3.90862752241057,0.925,0.323,0
AL390719.1,0,4.3823084381827,0.643,0.041,0
LTA,0,5.18683508093783,0.638,0.036,0
ZNF90,0,2.70079333740888,0.756,0.157,0
AC011447.1,0,2.69870627810843,0.755,0.157,0
SGPP2,0,5.39058492274098,0.619,0.022,0
RELB,0,2.96540205835581,0.685,0.089,0
IRF4,0,4.59222310910406,0.62,0.024,0
DMKN,0,4.60738364800337,0.629,0.036,0
IFIH1,0,4.0143109898707,0.638,0.045,0
GOLIM4,0,5.6407518268622,0.616,0.023,0
RPL24P8,0,2.29762526892683,0.757,0.165,0
NCF4,0,5.65923672332546,0.609,0.022,0
ELL2,0,4.10671223018067,0.627,0.041,0
P3H2,0,5.19982789980734,0.608,0.022,0
CXXC5,0,3.34797591919686,0.658,0.073,0
IER5,0,2.83017795968608,0.874,0.289,0
S100A11,0,5.2026497770505,0.608,0.023,0
CD274,0,4.60280605852408,0.612,0.03,0
BIRC3,0,2.36222802166034,0.8,0.219,0
RPL41P2,0,2.48825464425602,0.763,0.183,0
CTSH,0,4.06550183299637,0.629,0.049,0
LSP1,0,3.80010600157999,0.637,0.058,0
CCL3,0,5.48201009678245,0.607,0.028,0
TFPI2,0,5.27803099157949,0.606,0.027,0
HSD17B12,0,4.96216719422644,0.601,0.023,0
NCALD,0,4.97047186492565,0.601,0.023,0
PPP1R15A,0,2.13450042461389,0.868,0.291,0
RPS19P1,0,2.7128329174675,0.692,0.117,0
CD48,0,3.52691567107102,0.892,0.319,0
SLC7A11,0,2.67631833527808,0.753,0.18,0
AL669983.1,0,2.67451219417911,0.696,0.123,0
CTH,0,3.77325020733592,0.631,0.058,0
ENTPD1,0,4.81387112856357,0.597,0.026,0
AC116533.1,0,2.3517917260239,0.774,0.204,0
LILRB1,0,5.36156660175298,0.593,0.023,0
TNFRSF10D,0,4.7881705029175,0.596,0.027,0
UST,0,3.22015953190623,0.63,0.064,0
AL033519.3,0,2.26702132298612,0.724,0.159,0
