,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PCNA,0,-1.32912366355945,0.972,0.997,0
MCM6,1.21853888379139e-227,-1.54001680690578,0.745,0.955,3.3680414747994e-223
MCM4,6.58534223270651e-203,-1.43903571409953,0.731,0.945,1.82018859312008e-198
FAM111B,1.42724928322262e-191,-1.99681157616254,0.473,0.86,3.94491701882732e-187
MCM5,3.41894981876652e-191,-1.54491907639833,0.637,0.91,9.44997729907065e-187
MCM3,3.6777703983857e-187,-1.21599865876651,0.829,0.967,1.01653573811381e-182
DUT,3.24451659185969e-179,-0.713822070502894,0.993,0.999,8.96784385990017e-175
MCM2,2.56106308171334e-163,-1.07265098891707,0.848,0.977,7.07877835785568e-159
RRM2,1.71088126401191e-161,-0.99678356161931,0.93,0.983,4.72887581372891e-157
GINS2,1.07889768909646e-155,-1.48753619488487,0.574,0.876,2.98207321266263e-151
CDC6,2.23761502931506e-151,-1.56177475560896,0.501,0.846,6.18476794102681e-147
CCNE2,4.15886371523241e-151,-2.54065245701795,0.172,0.61,1.14950993089024e-146
UNG,4.10223922436219e-139,-1.87289477219583,0.371,0.733,1.13385892161371e-134
SLBP,4.12655138909966e-132,-1.21750990293797,0.666,0.89,1.14057880394715e-127
MCM7,4.75163165356336e-121,-0.642465075856042,0.969,0.997,1.31335098904491e-116
FEN1,2.74706498641327e-115,-0.886087896672113,0.833,0.951,7.59288762244628e-111
CLSPN,1.37389129784814e-107,-1.02232356871844,0.712,0.916,3.79743554725227e-103
CDC25A,1.73162464618897e-103,-1.17926443183736,0.591,0.838,4.78621052206632e-99
DHFR,1.93378406795788e-97,-0.701375990080406,0.917,0.984,5.34497916383559e-93
RFC4,6.23637473649442e-96,-0.80043304658631,0.839,0.941,1.72373397716706e-91
CHAF1A,4.54288474430306e-94,-0.874696361800116,0.746,0.91,1.25565334332537e-89
HELLS,7.32540402795748e-92,-0.91036574986029,0.773,0.922,2.02474167332745e-87
TOP2A,1.20450888469281e-91,0.883743294848552,0.977,0.952,3.32926255729092e-87
CCNB1,2.33176626082461e-87,1.46405688717889,0.816,0.646,6.44500194491922e-83
HMMR,3.72341452775277e-85,1.6066944306833,0.689,0.4,1.02915177547087e-80
ATAD2,1.30584932084824e-83,-0.774673867725645,0.836,0.938,3.60936752282454e-79
DLGAP5,4.40174568463661e-83,1.23978033635964,0.814,0.582,1.21664250723356e-78
PLK1,2.47943631723961e-80,2.15534726839478,0.457,0.155,6.85316198085028e-76
PCLAF,7.43346304478353e-79,-0.507675341324953,0.965,0.99,2.05460918557817e-74
CASP8AP2,2.20999118935179e-77,-1.11397752954348,0.578,0.805,6.10841564736834e-73
PAICS,2.12544015283794e-76,-0.551257476936948,0.947,0.979,5.87471658244408e-72
MCM10,9.90794851590394e-75,-1.0937413217985,0.543,0.779,2.73855696979585e-70
WDR76,2.39536285113344e-74,-0.981618278100249,0.544,0.78,6.62078292053284e-70
LDHB,2.75642621493331e-72,-0.2944357842828,0.999,0.999,7.61876205807566e-68
CDCA7L,4.25942678636905e-72,-0.723655820735945,0.835,0.936,1.17730556375241e-67
UHRF1,5.8101826296845e-72,-1.11833613577854,0.489,0.737,1.6059344788448e-67
EXO1,1.16859214478165e-71,-1.05355512041842,0.52,0.761,3.22998868817648e-67
E2F2,2.17867047061535e-71,-1.41674629307237,0.278,0.57,6.02184518078081e-67
MSH6,7.44513668856089e-70,-1.57748590564076,0.314,0.582,2.05783578071823e-65
DTL,1.61449755958267e-69,-1.06249498109808,0.501,0.739,4.46247125468651e-65
H1F0,1.11094272630257e-68,1.45115357689976,0.712,0.441,3.07064569550031e-64
RBBP8,1.2770489522036e-68,-0.676229620664823,0.857,0.933,3.52976330389075e-64
ARL6IP1,1.80135138943221e-68,0.807146652957571,0.928,0.85,4.97893524039064e-64
GMPS,2.91243559196777e-67,-0.698848668985164,0.843,0.934,8.04997197619891e-63
H1FX,3.63578793988841e-67,0.903910956338767,0.939,0.852,1.00493178658516e-62
BRI3BP,1.98912161907127e-65,-0.708786011385245,0.805,0.918,5.497932155113e-61
PTTG1,4.62410505025045e-65,0.999509695109864,0.845,0.686,1.27810263588922e-60
FUS,4.01436315402345e-64,-0.421582610285482,0.991,0.999,1.10956997577208e-59
NPM1,6.79128575646697e-64,-0.299410946568466,1,1,1.87711138308747e-59
PRR11,2.22536518238011e-63,1.197848837352,0.667,0.4,6.15090936409861e-59
CENPE,2.67348335543177e-63,1.35866815132873,0.695,0.455,7.38950799441341e-59
CENPA,7.33751780263222e-62,1.45471864860344,0.59,0.336,2.02808992064755e-57
CENPU,2.68581370971352e-61,-0.530750736985551,0.908,0.971,7.42358909364818e-57
PIF1,4.18368391160199e-60,3.71441696448616,0.223,0.027,1.15637023316679e-55
KPNA2,1.43788454453779e-59,0.829553231521265,0.904,0.818,3.97431288110246e-55
UBE2S,4.18550972901915e-59,0.593126706993183,0.967,0.923,1.15687488910089e-54
KLHL23,4.73081747617851e-59,-0.872340219664309,0.602,0.791,1.30759795041574e-54
RFC2,5.85686749011918e-59,-0.802295252563247,0.664,0.832,1.61883817426894e-54
CDC20,5.10096566839797e-57,1.13498881134832,0.762,0.598,1.4099069107452e-52
ASPM,2.63614699904477e-56,0.997732896410142,0.837,0.678,7.28631030535974e-52
SLC20A1,4.7675148306286e-56,-0.796787266349893,0.671,0.826,1.31774109918574e-51
NASP,7.46606718348084e-56,-0.432016812580073,0.981,0.992,2.0636209695141e-51
KIF20A,1.10976564131532e-55,1.81290585229645,0.408,0.163,3.06739223259555e-51
RAD51,4.28064572216172e-54,-1.16221774581117,0.416,0.629,1.1831704776055e-49
USP1,1.97390717456454e-53,-0.486040745331134,0.959,0.982,5.45587943049639e-49
AURKA,2.20274294239378e-53,1.33962219989415,0.64,0.436,6.0883814927764e-49
CENPF,4.31257765409206e-53,0.847493705385928,0.911,0.837,1.19199646359105e-48
SRSF7,7.40381785616476e-53,-0.478838380002765,0.942,0.974,2.04641525544394e-48
SLC29A1,1.13254393544032e-51,-0.724036434053305,0.709,0.848,3.13035143755705e-47
DNAJC9,1.29153749368005e-50,-0.447160329098138,0.943,0.977,3.56980963253166e-46
TUBB4B,1.63352227001386e-50,0.527341405856253,0.981,0.952,4.51505555431831e-46
PSMC3IP,3.41995959445762e-50,-0.815793166411585,0.571,0.764,9.45276831908088e-46
CHAF1B,3.63355512287922e-50,-1.1712537302507,0.3,0.539,1.00431463596382e-45
ASF1B,6.0499272157682e-49,-0.683091807316828,0.67,0.817,1.67219988243833e-44
NOP56,1.67444800593171e-48,-0.415694544233527,0.992,0.998,4.62817428839523e-44
HNRNPF,1.91214710314599e-48,-0.44567948077835,0.942,0.971,5.28517459309552e-44
KLF6,2.72374750169509e-48,1.38951939173547,0.512,0.269,7.52843809468522e-44
CDCA3,2.81484551054134e-48,1.16772547806806,0.622,0.394,7.78023299113626e-44
UBB,7.68762912022362e-48,0.275222319973669,0.998,0.996,2.12486068882981e-43
DEK,2.13588388549627e-47,-0.375016643546231,0.988,0.993,5.90358305951168e-43
PAQR4,2.43781816326144e-47,-1.43155459683198,0.202,0.43,6.73812940325461e-43
CCNB2,2.79250894151246e-47,0.976217890876717,0.742,0.578,7.71849471434045e-43
DSCC1,3.55557286626563e-47,-0.778044492742768,0.577,0.759,9.82760340235821e-43
ARGLU1,5.23058938973045e-47,-0.48796677240933,0.922,0.971,1.4457349073215e-42
GMNN,3.16260908938612e-46,-0.541075168638802,0.839,0.92,8.74145152306325e-42
SCD,4.56127318514932e-46,-0.570165399795423,0.921,0.967,1.26073590837527e-41
CKS1B,1.40984582298529e-45,0.444272381186886,0.961,0.924,3.89681385473133e-41
CALR,1.95358565452804e-45,-0.426535185405269,0.982,0.995,5.3997107491155e-41
E2F7,1.95962157010091e-45,-1.08627225344069,0.347,0.572,5.41639401975892e-41
SUN2,5.62007210561818e-45,1.09665989273893,0.577,0.343,1.55338792999286e-40
PSRC1,5.67985287431539e-45,1.82940208738262,0.346,0.136,1.56991133446077e-40
DCTPP1,6.1793122514734e-45,-0.692459683257103,0.706,0.832,1.70796190630725e-40
TMEM97,8.68815653899566e-45,-0.65899968064264,0.783,0.903,2.4014064673784e-40
NOLC1,1.27109112034544e-44,-0.527921555989622,0.896,0.945,3.5132958566348e-40
NCL,1.68177979595966e-44,-0.358075232176014,0.997,0.999,4.64843935603249e-40
HNRNPU,1.89435288524182e-44,-0.333290501535901,0.995,0.999,5.23599137480839e-40
TRBC2,2.16578992629994e-44,0.846905272130455,0.874,0.76,5.98624335629304e-40
PSMG1,2.7548871211725e-44,-0.631786796405384,0.735,0.846,7.61450800292078e-40
HNRNPAB,6.86753174436434e-44,-0.378835499627343,0.977,0.991,1.8981857741423e-39
SRSF2,4.89714096738331e-43,-0.374935932660156,0.985,0.995,1.35356976338475e-38
RIF1,7.89040080502889e-43,-0.625606940987429,0.773,0.881,2.18090678250999e-38
PKMYT1,2.29304533409779e-42,-0.899467852740446,0.423,0.616,6.33797730344628e-38
HMGB2,4.13806135464662e-42,0.367265288736407,0.999,0.995,1.14376015842433e-37
HSPD1,2.14903897676288e-41,-0.419304369988005,0.998,1,5.93994373177259e-37
FADS1,2.41847918418756e-41,-0.616856282231689,0.85,0.922,6.68467646509442e-37
KPNB1,1.42974854751245e-40,-0.334297484773892,0.99,0.999,3.9518249853244e-36
MCMBP,2.20493944269519e-40,-0.623245626982931,0.691,0.822,6.0944526196095e-36
TUBA1B,2.27719392417497e-40,0.225338753882417,0.999,0.999,6.29416400641961e-36
EXOSC9,3.43423873836483e-40,-0.468849741109232,0.898,0.952,9.49223587284039e-36
CDCA7,5.24486475087962e-40,-0.513278814829358,0.847,0.924,1.44968061714313e-35
CDT1,5.85254878658733e-40,-0.53242445525483,0.757,0.873,1.61764448461274e-35
NME1-NME2,2.77626827998554e-39,-0.268507241278207,0.994,0.997,7.67360552588002e-35
AURKB,2.93227898523454e-39,0.739104392144218,0.789,0.637,8.10481911518826e-35
GGCT,2.70064141849144e-38,-0.582065377484489,0.752,0.851,7.46457288071034e-34
NME2,4.47266005654692e-38,-0.266367433649092,0.993,0.997,1.23624323962957e-33
DHX15,5.40791664338821e-38,-0.496914304055097,0.849,0.916,1.4947481602325e-33
CDC45,6.10118783426671e-38,-0.643904574306273,0.609,0.767,1.68636831739132e-33
CCNE1,7.34262033882547e-38,-2.42685714300094,0.064,0.223,2.02950026165136e-33
TYMS,8.06832092467468e-38,-0.29712778353376,0.998,0.999,2.23008390358008e-33
KIF14,8.47987193082936e-38,0.896530643315513,0.715,0.523,2.34383660168123e-33
PM20D2,1.03808005311656e-37,-0.865651869209191,0.466,0.643,2.86925326681418e-33
MYH10,1.47556797971538e-37,-0.600549105287715,0.76,0.867,4.07846989593331e-33
TUBA1C,1.50376927607259e-37,0.515937274279072,0.96,0.918,4.15641827906464e-33
PEBP1,3.36082489631232e-37,-0.375510814153087,0.959,0.984,9.28932001340727e-33
ZNF367,3.50728457453216e-37,-1.36950348642851,0.16,0.35,9.6941345640069e-33
CKS2,4.13941230880692e-37,0.45900166270913,0.951,0.911,1.14413356215423e-32
AC010197.2,4.19947104408165e-37,-0.419896337564719,0.922,0.959,1.16073379658417e-32
IPO5,5.48172402815212e-37,-0.461564305328928,0.857,0.91,1.51514852138125e-32
RRM1,8.52771155596106e-37,-0.376975310783393,0.949,0.982,2.35705947406764e-32
HDAC2,1.98661849720577e-36,-0.398519401334715,0.918,0.964,5.49101352627675e-32
FKBP5,3.1690556326408e-36,-0.911535777131027,0.413,0.595,8.75926976861918e-32
CDKN3,3.31264263897681e-36,0.741881391257706,0.789,0.664,9.1561442541319e-32
NME4,5.49418670949973e-36,-0.562366577825022,0.743,0.862,1.51859320650572e-31
BAZ1B,6.99833085216073e-36,-0.405443560404218,0.938,0.971,1.93433864753723e-31
TPX2,7.30490611384576e-36,0.580586587856628,0.9,0.858,2.01907604986697e-31
RMI1,1.00939530967367e-35,-0.680581374503286,0.583,0.745,2.78996863593802e-31
TXNDC5,1.03361343115103e-35,-0.558801012129389,0.723,0.843,2.85690752370145e-31
FBXO5,1.14955237640598e-35,-0.622321107234782,0.708,0.826,3.17736276838613e-31
LEF1,1.25618055460555e-35,0.57948831304426,0.934,0.876,3.47208305292973e-31
HMGN2,1.67915406074099e-35,0.386842519453239,0.999,0.996,4.64118182388809e-31
CENPV,3.8648904741356e-35,-0.498254942736207,0.804,0.894,1.06825572705108e-30
SMC5,4.14105749234112e-35,-0.609720748673654,0.71,0.806,1.14458829088309e-30
E2F1,5.05480782868778e-35,-1.02946931144524,0.248,0.445,1.3971488838493e-30
BLOC1S5-TXNDC5,5.98035324670331e-35,-0.54604882683605,0.727,0.843,1.65296963738879e-30
KNSTRN,8.64243286948501e-35,0.91274941302631,0.659,0.497,2.38876844512566e-30
MRM2,1.23926474591363e-34,-0.485462451859358,0.82,0.885,3.42532775770527e-30
ZMYND19,1.32726014346588e-34,-0.876426245274063,0.458,0.618,3.66854703653968e-30
PFKP,1.39381714797402e-34,-0.485426890783246,0.836,0.912,3.85251059700019e-30
BTG3,2.57425092652209e-34,-0.786101882355781,0.553,0.695,7.11522956090706e-30
RBBP4,2.76622841396452e-34,-0.434857122088664,0.891,0.938,7.64585533619794e-30
AC069288.1,5.03283565557413e-34,-0.429221463847352,0.883,0.92,1.39107577520069e-29
RAD23A,1.09925410233015e-33,0.382543255802273,0.962,0.922,3.03833833884052e-29
RFC5,1.15596812001534e-33,-0.486589895475014,0.751,0.853,3.19509588372241e-29
CCT2,3.81395008839833e-33,-0.331616637657015,0.978,0.995,1.0541758044333e-28
PIGX,5.22068552534342e-33,-0.523973225101428,0.768,0.864,1.44299747920492e-28
