,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
TOP2A,0,1.07208136010944,0.999,0.858,0,0,TOP2A
TUBA1B,0,0.875582531967052,1,0.991,0,0,TUBA1B
TUBB,0,0.833162142126448,0.999,0.992,0,0,TUBB
CDK1,9.66272259548598e-257,0.937659115661288,0.978,0.766,1.9325445190972e-253,0,CDK1
NUSAP1,1.711000972605e-242,0.939690382928707,0.98,0.802,3.42200194521001e-239,0,NUSAP1
AC087721.2,1.45096054753875e-219,0.865187410305344,0.978,0.816,2.90192109507749e-216,0,AC087721.2
H2AFX,2.70923564828308e-204,1.02070134003437,0.945,0.755,5.41847129656616e-201,0,H2AFX
NCAPG,1.17665559816016e-191,0.862368635922242,0.958,0.791,2.35331119632032e-188,0,NCAPG
TYMS,7.50641801508069e-189,0.617596975634183,0.999,0.96,1.50128360301614e-185,0,TYMS
AURKB,4.11049082404583e-186,0.903353628094486,0.927,0.716,8.22098164809166e-183,0,AURKB
HMGB2,8.63702069369694e-186,0.647066560660797,1,0.943,1.72740413873939e-182,0,HMGB2
CKS1B,2.18211327756756e-182,0.746288465811198,0.975,0.848,4.36422655513512e-179,0,CKS1B
TUBB4B,3.94327607547719e-178,0.628931440246704,0.996,0.878,7.88655215095438e-175,0,TUBB4B
SPC25,5.1389955834283e-174,1.01275877799926,0.889,0.707,1.02779911668566e-170,0,SPC25
HMGN2,4.44095428229618e-169,0.532568458277197,0.999,0.977,8.88190856459236e-166,0,HMGN2
CDCA5,6.17906137804473e-166,0.724792405241276,0.967,0.833,1.23581227560895e-162,0,CDCA5
TUBA1C,1.65488408575173e-158,0.592272095467683,0.976,0.84,3.30976817150345e-155,0,TUBA1C
NCAPH,7.85405288525212e-157,0.922104794553521,0.915,0.752,1.57081057705042e-153,0,NCAPH
MELK,1.90278864083813e-156,0.916021123813972,0.907,0.736,3.80557728167627e-153,0,MELK
NDC80,2.53859702609087e-156,0.828677065047398,0.914,0.737,5.07719405218175e-153,0,NDC80
HJURP,2.21815300880401e-155,0.860646321370363,0.893,0.722,4.43630601760801e-152,0,HJURP
TPX2,3.2560735029373e-153,0.57442550651111,0.969,0.825,6.5121470058746e-150,0,TPX2
RRM2,2.77493843890564e-147,0.617171617448127,0.967,0.821,5.54987687781129e-144,0,RRM2
FOXM1,2.1088936479823e-143,0.909566487319782,0.894,0.726,4.2177872959646e-140,0,FOXM1
DLGAP5,3.96147483864358e-141,0.5212157749285,0.944,0.74,7.92294967728716e-138,0,DLGAP5
SMC4,6.84717120300524e-141,0.535940218747391,0.993,0.948,1.36943424060105e-137,0,SMC4
H1FX,9.0200590953892e-140,0.701436974300694,0.98,0.866,1.80401181907784e-136,0,H1FX
PCLAF,1.46533112840005e-138,0.599536516490067,0.986,0.899,2.93066225680011e-135,0,PCLAF
FANCI,1.65746764712943e-138,0.67886077843822,0.955,0.85,3.31493529425886e-135,0,FANCI
GTSE1,1.95349035075957e-136,0.658527607038899,0.923,0.766,3.90698070151914e-133,0,GTSE1
H2AFZ,1.76018727308823e-134,0.401393757326506,1,0.994,3.52037454617646e-131,0,H2AFZ
KIF11,1.58969503675872e-133,0.73418479785558,0.928,0.772,3.17939007351744e-130,0,KIF11
MKI67,9.40637441065058e-132,0.747940816028847,0.908,0.768,1.88127488213012e-128,0,MKI67
KIF2C,1.26762706912611e-129,0.660748292757904,0.918,0.748,2.53525413825223e-126,0,KIF2C
MYBL2,1.90126553955544e-129,0.737522796592547,0.921,0.781,3.80253107911089e-126,0,MYBL2
RRM1,6.61166449759043e-129,0.561867095006258,0.978,0.9,1.32233289951809e-125,0,RRM1
STMN1,4.71169227109603e-128,0.418971420492694,0.999,0.997,9.42338454219207e-125,0,STMN1
ASPM,1.89980123707414e-127,0.406821545622402,0.95,0.772,3.79960247414829e-124,0,ASPM
