,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,1.07208136010944,0.999,0.858,0,0,TOP2A
2,2.70923564828308e-204,1.02070134003437,0.945,0.755,5.41847129656616e-201,0,H2AFX
3,5.1389955834283e-174,1.01275877799926,0.889,0.707,1.02779911668566e-170,0,SPC25
4,9.64982765523889e-44,2.0019570429062,0.072,0.218,1.92996553104778e-40,0,LHX1-DT
5,2.76942939888502e-41,1.09430935948176,0.611,0.487,5.53885879777003e-38,0,TUBA4A
6,5.75121030522547e-41,1.14503535921244,0.101,0.163,1.15024206104509e-37,0,NR4A3
7,1.25585190186182e-38,1.36114642965557,0.054,0.06,2.51170380372365e-35,0,AC005487.1
8,2.93959900876268e-35,1.67133447593608,0.078,0.219,5.87919801752537e-32,0,MB
9,7.8402642302372e-34,1.00635976847031,0.445,0.27,1.56805284604744e-30,0,AL023803.3
10,4.07632776773685e-33,1.07051264627137,0.184,0.289,8.15265553547369e-30,0,AL671277.2
11,0,3.2244343126981,0.996,0.182,0,1,SERPINF2
12,0,1.33692841732634,0.968,0.17,0,1,ZNF233
13,0,1.48150420044819,0.968,0.181,0,1,DLL4
14,0,2.78171607072515,0.98,0.207,0,1,SYNM
15,0,1.84968520123698,0.975,0.205,0,1,AC010327.7
16,0,1.91737495422978,0.945,0.177,0,1,ZNF556
17,0,2.48639582391922,0.967,0.202,0,1,SILC1
18,0,2.02025310364116,0.962,0.199,0,1,ZBTB44-DT
19,0,2.42554567439183,0.896,0.134,0,1,AC008969.1
20,0,1.86014769961052,0.966,0.205,0,1,PRDM6
21,0,1.75765301197341,0.917,0.674,0,2,FAM111B
22,0,1.47601074019587,0.951,0.749,0,2,MCM5
23,0,1.46092722503479,0.959,0.783,0,2,MCM4
24,0,1.49095426957428,0.982,0.816,0,2,MCM6
25,0,1.30082167483384,0.985,0.834,0,2,MCM3
26,0,1.23749028994452,0.99,0.864,0,2,MCM2
27,0,1.46900462661722,0.999,0.942,0,2,PCNA
28,0,1.07930504233903,0.999,0.968,0,2,DUT
29,3.92295790019549e-304,1.52654389346713,0.924,0.73,7.84591580039097e-301,2,GINS2
30,1.1389578762451e-296,1.30267525688835,0.965,0.823,2.2779157524902e-293,2,RRM2
31,0,2.75718375789253,0.978,0.632,0,3,PLK1
32,0,2.61726494331975,0.948,0.602,0,3,KIF20A
33,0,3.09695603784238,0.914,0.569,0,3,PIF1
34,0,2.47037534081881,0.99,0.661,0,3,AURKA
35,0,2.19187501046151,0.927,0.619,0,3,PIMREG
36,0,2.35063865108705,0.98,0.678,0,3,CENPA
37,0,2.13321997906376,0.948,0.653,0,3,CDCA3
38,0,2.0573196164888,0.974,0.68,0,3,KIF23
39,0,2.38484395920169,0.911,0.623,0,3,PSRC1
40,0,2.27826989105876,0.99,0.703,0,3,HMMR
41,5.89051963131684e-64,1.1957487503742,0.084,0.145,1.17810392626337e-60,4,AL162274.2
42,3.70346295320674e-60,1.9700134233235,0.043,0.196,7.40692590641348e-57,4,RRAD
43,4.90913935883611e-59,1.21565960211352,0.097,0.265,9.81827871767223e-56,4,LINC01277
44,5.44892276468733e-59,1.37061367982873,0.079,0.169,1.08978455293747e-55,4,AL353579.1
45,2.12449348877602e-58,1.54746254443321,0.124,0.214,4.24898697755204e-55,4,LINC02666
46,1.15515449010122e-57,3.3793647082461,0.096,0.235,2.31030898020244e-54,4,CACNA1C
47,7.97820081452309e-57,2.32267644640911,0.06,0.115,1.59564016290462e-53,4,CFAP57
48,1.80290029922282e-54,1.51130656830888,0.186,0.319,3.60580059844564e-51,4,AL359878.1
49,6.40767790961783e-54,1.02654905974236,0.111,0.272,1.28153558192357e-50,4,AL512652.1
50,3.44321116148923e-53,1.05959003629472,0.115,0.182,6.88642232297847e-50,4,AC073046.4
51,1.10006904968236e-166,1.15901932297049,0.049,0.325,2.20013809936471e-163,5,SMAD9
52,6.92250712980878e-161,2.18888143464192,0.004,0.175,1.38450142596176e-157,5,AL353579.1
53,2.6458621092787e-160,1.12025382588503,0.014,0.362,5.2917242185574e-157,5,CSMD1
54,3.11660176841327e-159,2.4071988270519,0.016,0.119,6.23320353682654e-156,5,CFAP57
55,8.5034921957443e-157,1.25388115693461,0.028,0.218,1.70069843914886e-153,5,MATN1
56,9.57612147720425e-155,1.56004770107333,0.005,0.242,1.91522429544085e-151,5,CACNA1C
57,1.31400694409903e-149,1.14564006422074,0.012,0.286,2.62801388819807e-146,5,ANKRD20A7P
58,6.75075282125823e-149,1.18126336203301,0.04,0.484,1.35015056425165e-145,5,GVINP2
59,6.48158081574071e-148,1.24776378851167,0.016,0.291,1.29631616314814e-144,5,ANKRD20A8P
60,3.38388516748206e-147,1.15691452911062,0.013,0.155,6.76777033496411e-144,5,RPS3AP25
61,3.25728378671456e-296,1.92710688320789,0.937,0.756,6.51456757342912e-293,6,CDC20
62,1.32169786487276e-293,1.25135046402163,0.974,0.929,2.64339572974552e-290,6,UBE2S
63,1.60648822523759e-270,1.54400851845882,0.942,0.854,3.21297645047517e-267,6,PTTG1
64,5.6281825800565e-236,1.582841241985,0.947,0.794,1.1256365160113e-232,6,CCNB1
65,4.27839249093074e-201,1.51592518785549,0.901,0.79,8.55678498186147e-198,6,CCNB2
66,2.9846700746791e-173,1.15860375635629,0.941,0.874,5.9693401493582e-170,6,CENPF
67,5.68000238369985e-168,1.69188547297527,0.862,0.719,1.13600047673997e-164,6,HMMR
68,6.46748087617076e-154,1.36261046243809,0.872,0.783,1.29349617523415e-150,6,CDKN3
69,9.38640033299486e-117,1.44541378583907,0.836,0.751,1.87728006659897e-113,6,CENPE
70,5.90192883789568e-113,1.93509162638597,0.044,0.22,1.18038576757914e-109,6,KIF26B
71,2.83192289132856e-250,1.55851557896285,0.997,0.83,5.66384578265712e-247,7,RRM2
72,3.5278032586961e-182,1.06773641401427,1,0.945,7.0556065173922e-179,7,PCNA
73,9.11833750191615e-179,1.06897749212587,0.991,0.905,1.82366750038323e-175,7,PCLAF
74,3.94454996790963e-154,1.00256808371301,0.993,0.88,7.88909993581926e-151,7,DHFR
75,1.95222986386683e-147,1.03693809760896,0.987,0.841,3.90445972773366e-144,7,CDCA5
76,1.5047520197961e-141,1.08076912104892,0.962,0.789,3.00950403959219e-138,7,MYBL2
77,2.34753779823335e-135,1.11168571260738,0.975,0.807,4.6950755964667e-132,7,ATAD2
78,1.24271539698127e-124,1.02967300624054,0.962,0.809,2.48543079396254e-121,7,FAM111A
79,1.29447324044282e-123,1.32938513737093,0.923,0.688,2.58894648088565e-120,7,FAM111B
80,4.41632089441858e-122,1.15084954947722,0.942,0.713,8.83264178883716e-119,7,FBXO5
81,0,2.67592185185766,0.963,0.194,0,8,LCN12
82,0,2.2054821523758,0.925,0.16,0,8,LHX1-DT
83,0,1.99984818362111,0.974,0.222,0,8,LAIR2
84,0,2.21233770511082,0.992,0.257,0,8,PRDM6
85,0,2.18270105869609,0.959,0.23,0,8,ZNF556
86,0,1.54270537686125,0.945,0.231,0,8,ARFGEF3
87,0,2.22049874660646,1,0.298,0,8,AL139384.2
88,0,3.71333764366514,0.914,0.217,0,8,CD70
89,0,2.12108533646061,0.909,0.221,0,8,KIF25-AS1
90,0,2.6587818517284,0.859,0.177,0,8,SLC26A7
91,6.07553155966764e-130,1.29976399805946,0.998,0.947,1.21510631193353e-126,9,LEF1
92,2.60837589334214e-129,1.11176782695489,0.996,0.983,5.21675178668429e-126,9,SOX4
93,1.13890587604547e-121,1.34495293406554,0.978,0.876,2.27781175209095e-118,9,LAT
94,3.01324757280112e-121,1.64585153773351,0.96,0.819,6.02649514560225e-118,9,GATA3
95,1.19921895725539e-114,1.23222204932213,0.98,0.896,2.39843791451078e-111,9,AC109460.3
96,7.06549045375054e-95,1.47743355726731,0.903,0.73,1.41309809075011e-91,9,CASC15
97,1.03457905742391e-83,2.20244701280672,0.819,0.642,2.06915811484783e-80,9,HPGD
98,1.70995712884683e-82,1.01503393765399,0.954,0.88,3.41991425769367e-79,9,PTPN7
99,9.10857194192113e-82,1.98351802930111,0.83,0.654,1.82171438838423e-78,9,SLFN5
100,1.94160128180432e-74,1.22365314670141,0.932,0.847,3.88320256360864e-71,9,ALDH1A2
101,2.2819506964547e-108,2.08143373118747,0.838,0.624,4.5639013929094e-105,10,FYB1
102,1.74293612737981e-94,1.16136003929411,0.962,0.874,3.48587225475961e-91,10,TRBC1
103,9.75526579855038e-82,1.02197824769713,0.947,0.846,1.95105315971008e-78,10,ALDH1A2
104,3.00477235592222e-73,1.90374662961911,0.802,0.624,6.00954471184444e-70,10,MAL
105,1.28333727715215e-62,1.34628585716794,0.834,0.714,2.5666745543043e-59,10,SIX6
106,3.5717090794925e-54,1.2476979381259,0.8,0.718,7.143418158985e-51,10,NCAPG2
107,1.67754091884576e-45,1.54275549862077,0.8,0.648,3.35508183769152e-42,10,SCN3A
108,2.06942379840174e-38,1.48964184553037,0.034,0.225,4.13884759680348e-35,10,SHISA9
109,2.72280211175571e-37,1.37609279566777,0.722,0.627,5.44560422351143e-34,10,XRCC2
110,3.34234017510842e-36,1.63241115404141,0.669,0.579,6.68468035021684e-33,10,SPINK2
111,5.14375293326738e-145,1.91615522294706,0.992,0.914,1.02875058665348e-141,11,IGFBP2
112,2.86196568247819e-136,1.30066074030142,1,0.995,5.72393136495639e-133,11,CD2
113,5.34226979672521e-131,2.25600579780945,0.932,0.823,1.06845395934504e-127,11,BNIP3
114,1.60932328991135e-100,2.14266191003695,0.887,0.776,3.21864657982269e-97,11,P4HA1
115,3.94354672398609e-90,1.56578219117836,0.924,0.843,7.88709344797218e-87,11,GNA15
116,3.93416298943449e-88,1.86787812793618,0.887,0.783,7.86832597886898e-85,11,DDIT4
117,2.87485585851007e-85,3.11097548211855,0.003,0.144,5.74971171702014e-82,11,TNFRSF4
118,1.18101467028218e-79,1.02699901853473,0.008,0.428,2.36202934056436e-76,11,KLHL41
119,3.84405060515791e-78,2.00309677550018,0.008,0.21,7.68810121031582e-75,11,AC015871.7
120,9.62923345135313e-78,2.20512225770655,0.819,0.731,1.92584669027063e-74,11,JAM3
121,6.9133658213756e-217,2.61919989652902,0.974,0.289,1.38267316427512e-213,12,TRPS1
122,3.05391346975832e-205,3.93987398512531,0.472,0.091,6.10782693951663e-202,12,IRS3P
123,1.10199748915477e-204,2.67260200829764,0.901,0.251,2.20399497830953e-201,12,AC093635.1
124,3.87328166423585e-200,3.02338592626794,0.844,0.198,7.7465633284717e-197,12,MACROD2
125,5.38952269663182e-194,1.39262899708748,0.938,0.249,1.07790453932636e-190,12,CFAP58
126,1.48794441467024e-192,1.41718691234879,0.923,0.219,2.97588882934048e-189,12,TERB1
127,9.22684275675534e-181,2.94781771879971,0.795,0.149,1.84536855135107e-177,12,VWF
