,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ttr,0,1.38755023853651,1,0.924,0
Apoa2,0,1.23309651108451,1,0.937,0
Apoc3,3.02478472367872e-293,1.29536432158152,0.999,0.911,4.96488164544626e-289
Apoa1,1.20144107501772e-288,1.40462419309395,1,0.912,1.97204538053409e-284
Apoc1,2.62402724596622e-276,1.09525505365282,1,0.948,4.30707832152896e-272
Mup3,2.60258604450644e-264,1.2977999590124,1,0.918,4.27188473345287e-260
Gstp2,6.4827416494696e-238,1.92241732796524,0.935,0.557,1.06407721434394e-233
COX1,1.11220500652012e-225,-4.20996155705726,0.788,0.957,1.82557329770212e-221
COX2,1.2558389690302e-220,-3.48960357208236,0.704,0.938,2.06133408376617e-216
Malat1,5.30344583501129e-220,-5.24784821105662,0.278,0.836,8.70507599358753e-216
ND2,3.94249838972839e-218,-3.48882225728741,0.431,0.87,6.47121685690017e-214
Wfdc21,5.39865006248809e-210,1.32970862728259,0.986,0.838,8.86134421256796e-206
COX3,1.77256581277872e-206,-3.01927436215507,0.921,0.985,2.90948952509499e-202
ND1,3.16694086084541e-206,-2.92640163693829,0.788,0.958,5.19821672899165e-202
Rnr2,5.51911641518188e-204,-3.77280062934311,0.154,0.76,9.05907768387954e-200
CYTB,7.88214487829031e-204,-2.8404237203548,0.819,0.964,1.29377526032257e-199
ATP6,1.03597103418509e-203,-3.01465733203302,0.922,0.98,1.70044285551141e-199
ND4,1.2142679454475e-195,-2.82128104271236,0.725,0.94,1.99309940565753e-191
Chchd10,1.8761693231842e-195,1.28704304952067,0.993,0.809,3.07954432707455e-191
Prdx1,2.61873756823599e-195,1.12524012091881,1,0.973,4.29839584450255e-191
ND3,6.75956165466527e-192,-3.52901211133546,0.271,0.779,1.10951444999676e-187
Ass1,2.48780182405286e-189,1.22554548981597,0.996,0.836,4.08347791400037e-185
Mup20,1.42504514222949e-188,1.20365723382193,1,0.913,2.33906909645548e-184
Serpina1c,2.85270392472495e-186,0.889116206854693,1,0.913,4.68242822204353e-182
Aldob,2.55559763997095e-185,1.0728081313028,1,0.889,4.19475796624832e-181
Ndufa4,1.16816119463026e-180,1.16400546077395,0.979,0.915,1.9174197848661e-176
Fabp1,1.07980235886634e-174,0.986341353905829,1,0.946,1.77238759184322e-170
Apoc4,4.23804901997587e-173,0.992294267116913,0.996,0.888,6.9563336613884e-169
Hspa5,3.82027101802665e-166,-2.5718065265804,0.241,0.768,6.27059284898895e-162
Fbp1,8.38698979285006e-164,1.21413337761957,0.952,0.801,1.37664050459841e-159
Hsp90b1,1.30249674469637e-161,-2.59120331657068,0.191,0.751,2.13791815674462e-157
Cyb5a,3.61860392544749e-161,1.03901824824855,0.996,0.926,5.93957648322951e-157
ND5,5.07179718996884e-158,-3.49875270553361,0.105,0.665,8.32484790761486e-154
Dbi,2.11245117266657e-156,0.907454880408089,1,0.948,3.46737735481491e-152
Apoe,1.91359247477145e-154,0.662773127370508,1,0.999,3.14097068808985e-150
ND4L,2.1718919862205e-154,-4.01546915067718,0.065,0.626,3.56494350618232e-150
Ftl1,4.66872375809715e-149,0.699223073918917,1,0.998,7.66324317654067e-145
H2-K1,8.60662156330905e-149,-1.79768282874016,0.432,0.844,1.41269086340155e-144
Ddt,5.718244952683e-147,1.21916806965266,0.933,0.755,9.38592726533388e-143
