,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ttr,0,1.38755023853651,1,0.924,0
Apoa2,0,1.23309651108451,1,0.937,0
Apoc3,3.02478472367872e-293,1.29536432158152,0.999,0.911,4.96488164544626e-289
Apoa1,1.20144107501772e-288,1.40462419309395,1,0.912,1.97204538053409e-284
Apoc1,2.62402724596622e-276,1.09525505365282,1,0.948,4.30707832152896e-272
Mup3,2.60258604450644e-264,1.2977999590124,1,0.918,4.27188473345287e-260
Gstp2,6.4827416494696e-238,1.92241732796524,0.935,0.557,1.06407721434394e-233
Wfdc21,5.39865006248809e-210,1.32970862728259,0.986,0.838,8.86134421256796e-206
Chchd10,1.8761693231842e-195,1.28704304952067,0.993,0.809,3.07954432707455e-191
Prdx1,2.61873756823599e-195,1.12524012091881,1,0.973,4.29839584450255e-191
Ass1,2.48780182405286e-189,1.22554548981597,0.996,0.836,4.08347791400037e-185
Mup20,1.42504514222949e-188,1.20365723382193,1,0.913,2.33906909645548e-184
Aldob,2.55559763997095e-185,1.0728081313028,1,0.889,4.19475796624832e-181
Ndufa4,1.16816119463026e-180,1.16400546077395,0.979,0.915,1.9174197848661e-176
Fbp1,8.38698979285006e-164,1.21413337761957,0.952,0.801,1.37664050459841e-159
Cyb5a,3.61860392544749e-161,1.03901824824855,0.996,0.926,5.93957648322951e-157
Ddt,5.718244952683e-147,1.21916806965266,0.933,0.755,9.38592726533388e-143
Hrsp12,2.7939568340477e-136,1.12830050478553,0.932,0.769,4.58600074740589e-132
Ttc36,3.07721710005994e-136,1.07820988313354,0.946,0.81,5.05094414803839e-132
Cox6b1,8.77817828262692e-127,1.19084757510407,0.914,0.78,1.44085018331038e-122
Atp5j,2.04598312705911e-124,1.08960839283126,0.925,0.83,3.35827670475482e-120
Fabp2,2.21423059805586e-123,1.68485143776139,0.755,0.461,3.6344381036489e-119
Atp5j2,2.5268661303537e-117,1.14316030886092,0.899,0.787,4.14759806636257e-113
Mup21,3.6471520322374e-107,1.93284749165425,0.67,0.388,5.98643534571447e-103
Uqcrb,6.54100767998431e-106,1.08308993305601,0.888,0.727,1.07364100059262e-101
Gstp1,1.05155573175807e-103,1.00046214942027,0.84,0.588,1.72602357810769e-99
Akr1c6,7.31231176308852e-103,1.05929593606918,0.912,0.775,1.20024285279335e-98
Hist1h2bc,2.04723973486519e-102,1.39268211457735,0.783,0.556,3.36033930080772e-98
Nme2,4.61956810677273e-97,1.10825874152246,0.868,0.763,7.58255909045675e-93
Mdh1,5.40744408039562e-95,1.10937588056381,0.836,0.757,8.87577871356137e-91
Cox7b,5.28734952634989e-91,1.18600093910263,0.805,0.679,8.67865551255071e-87
Orm1,8.78359149983924e-88,1.09070323370451,0.839,0.738,1.44173870878361e-83
Etfb,3.02359017827504e-87,1.08917379893239,0.822,0.697,4.96292091862065e-83
Cox5b,2.63970607374844e-79,1.06634070386724,0.8,0.732,4.33281354945069e-75
Rarres2,7.56583109424418e-71,1.1100299641401,0.772,0.708,1.24185551580924e-66
Hspa8,2.35103356013646e-70,1.03118663913609,0.851,0.811,3.85898648560799e-66
Atp5h,1.16556841927634e-61,1.02493171157621,0.765,0.701,1.91316400340019e-57
Mup4,9.15412326946782e-61,2.43955709848863,0.354,0.153,1.50255779345045e-56
Prdx5,1.31160887802786e-58,1.22600089252616,0.667,0.518,2.15287481239492e-54
