"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"ST-HSC.SLC35F1",1.74361944566063e-34,2.89043406663393,0.93,0.274,4.26820604103265e-30,"ST-HSC"
"ST-HSC.S100A9",3.44869500242684e-17,1.06570515698708,0.988,0.587,8.44206049644067e-13,"ST-HSC"
"ST-HSC.XIST",1.25049180981753e-16,8.62278597412294,0.302,0,3.06107890125233e-12,"ST-HSC"
"ST-HSC.PHLDB2",2.2047025214498e-16,2.83834677665318,0.407,0.034,5.39689130225697e-12,"ST-HSC"
"ST-HSC.IFI44L",2.21342229845275e-13,3.47813241643779,0.419,0.072,5.41823644438248e-09,"ST-HSC"
"ST-HSC.NR4A2",4.92289323690127e-13,2.84073420260652,0.605,0.197,1.20507503546106e-08,"ST-HSC"
"ST-HSC.LTF",1.07267728147816e-12,1.6961487218148,0.651,0.236,2.62580671733038e-08,"ST-HSC"
"ST-HSC.S100A12",1.8391961379357e-12,1.28366008150507,0.593,0.188,4.50216822605281e-08,"ST-HSC"
"ST-HSC.CAMP",1.90039532820938e-12,1.75156799047289,0.628,0.197,4.65197772392374e-08,"ST-HSC"
"ST-HSC.HSPA1A",5.58889932373613e-12,2.33504248213495,0.849,0.668,1.36810666545737e-07,"ST-HSC"
"ST-HSC.HLA-DRB1",7.21330975632441e-12,1.19977202284692,0.942,0.697,1.76574609525065e-07,"ST-HSC"
"ST-HSC.ETV3",2.56668762505195e-11,3.38608450131665,0.326,0.043,6.28299463736466e-07,"ST-HSC"
"ST-HSC.NR4A1",3.75150501219629e-11,2.19331537321453,0.663,0.322,9.18330911935529e-07,"ST-HSC"
"ST-HSC.LYZ",5.12171446848421e-11,1.18102096323694,0.837,0.486,1.25374448474025e-06,"ST-HSC"
"ST-HSC.LCN2",2.69462383489789e-10,2.26099504167817,0.43,0.106,6.59616968544655e-06,"ST-HSC"
"ST-HSC.S100A4",7.85824612448189e-09,1.12098775505515,0.826,0.582,0.000192362006881192,"ST-HSC"
"ST-HSC.FGF16",4.07401281983999e-08,6.21488434007499,0.14,0,0.000997277598168631,"ST-HSC"
"ST-HSC.RGL4",4.16316665007122e-08,2.37388383072477,0.244,0.034,0.00101910156427093,"ST-HSC"
"ST-HSC.DNAJB1",4.98494483643379e-08,1.70592026006825,0.721,0.49,0.00122026464651063,"ST-HSC"
