"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"CD56dimCD16lo.S100A9",6.00193586658286e-23,1.35704613870935,0.955,0.693,1.46921388078082e-18,"CD56dimCD16lo"
"CD56dimCD16lo.S100A8",8.33828971218104e-23,1.25445462572132,0.981,0.765,2.0411299386448e-18,"CD56dimCD16lo"
"CD56dimCD16lo.GNLY",2.11662428637457e-18,1.55865496808187,0.877,0.719,5.1812845906163e-14,"CD56dimCD16lo"
"CD56dimCD16lo.ISG15",3.36930666589449e-14,3.02304389738855,0.465,0.111,8.24772578744312e-10,"CD56dimCD16lo"
"CD56dimCD16lo.GZMM",3.31275797217664e-13,2.0634261661467,0.543,0.19,8.10930024009121e-09,"CD56dimCD16lo"
"CD56dimCD16lo.CAMP",6.69114428701571e-13,1.97111794695536,0.517,0.163,1.63792521001857e-08,"CD56dimCD16lo"
"CD56dimCD16lo.AC099560.1",8.53123343447745e-13,1.00065387328808,0.862,0.654,2.08836063242574e-08,"CD56dimCD16lo"
"CD56dimCD16lo.LTF",1.93809486231553e-12,2.0183214945783,0.569,0.222,4.74426241346219e-08,"CD56dimCD16lo"
"CD56dimCD16lo.HCST",1.57743661993097e-11,1.08792882772368,0.84,0.582,3.86140710192901e-07,"CD56dimCD16lo"
"CD56dimCD16lo.PSME1",2.33933748762714e-10,1.18768357033363,0.669,0.366,5.72646423596246e-06,"CD56dimCD16lo"
"CD56dimCD16lo.XAF1",5.98882495682488e-10,1.75776726682365,0.543,0.235,1.46600446118116e-05,"CD56dimCD16lo"
"CD56dimCD16lo.RPS27",6.77794513004052e-10,1.02669909123829,0.788,0.569,1.65917318838262e-05,"CD56dimCD16lo"
"CD56dimCD16lo.CTSW",1.00123404157632e-09,1.09207065154665,0.706,0.431,2.45092081037468e-05,"CD56dimCD16lo"
"CD56dimCD16lo.MX1",1.51548405208324e-09,4.28499563043616,0.245,0.02,3.70975341109456e-05,"CD56dimCD16lo"
"CD56dimCD16lo.CD160",1.66958065194784e-09,2.94827011723637,0.309,0.059,4.08696647790312e-05,"CD56dimCD16lo"
"CD56dimCD16lo.SLC35F1",3.8443308934945e-09,2.85536625902815,0.283,0.046,9.41053759418519e-05,"CD56dimCD16lo"
"CD56dimCD16lo.LCN2",1.16301675557574e-08,2.35809512628986,0.331,0.085,0.000284694871597385,"CD56dimCD16lo"
"CD56dimCD16lo.XIST",1.53667518044574e-08,8.34692331149892,0.186,0,0.000376162717421312,"CD56dimCD16lo"
"CD56dimCD16lo.IFI6",1.56865269357466e-08,2.93727222824839,0.279,0.052,0.00038399049286014,"CD56dimCD16lo"
"CD56dimCD16lo.S100A12",5.94766242066794e-08,1.69370806870266,0.457,0.196,0.0014559282839553,"CD56dimCD16lo"
"CD56dimCD16lo.LY6E",1.01432412397105e-07,1.5558987702075,0.468,0.216,0.00248296402306874,"CD56dimCD16lo"
"CD56dimCD16lo.IFI44L",2.83189201614685e-07,8.0155609874963,0.156,0,0.00693218846632586,"CD56dimCD16lo"
"CD56dimCD16lo.FCER1G",4.07110990857425e-07,1.06922690981886,0.591,0.359,0.00996566994519891,"CD56dimCD16lo"
"CD56dimCD16lo.C1orf162",4.58935405067485e-07,1.92826351265642,0.316,0.098,0.011234279780647,"CD56dimCD16lo"
"CD56dimCD16lo.CD81",5.79974001497675e-07,1.19516815834803,0.439,0.19,0.0141971835826616,"CD56dimCD16lo"
"CD56dimCD16lo.S100A4",1.13320911215733e-06,1.00344748669406,0.725,0.575,0.0277398258564992,"CD56dimCD16lo"
"CD56dimCD16lo.GIMAP7",1.57111976722193e-06,1.02268891502082,0.636,0.438,0.0384594407818257,"CD56dimCD16lo"
"CD56dimCD16lo.IFITM3",1.81988541193081e-06,1.3747482174485,0.461,0.229,0.0445489749986542,"CD56dimCD16lo"
"CD56dimCD16lo.MYOM2",1.82331385294028e-06,3.98523455939359,0.175,0.02,0.044632899806125,"CD56dimCD16lo"
"CD56dimCD16lo.EIF2AK2",1.83222585190516e-06,2.07741491964483,0.264,0.072,0.0448510566287864,"CD56dimCD16lo"
"CD56dimCD16hi−IL32.NKG7",3.19513834250595e-23,1.10264417870255,0.995,0.965,7.82137914862032e-19,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.TMSB10",4.38766258506128e-19,1.00162076479757,0.99,0.951,1.07405592419715e-14,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.S100A8",4.5498021843612e-19,1.22867141766178,0.99,0.704,1.11374607670978e-14,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.S100A4",4.41367512574968e-18,1.63027993775442,0.858,0.549,1.08042353403227e-13,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.S100A9",1.13643802067936e-16,1.27912678456903,0.971,0.662,2.78188663082101e-12,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.ISG15",8.95517117264461e-15,3.9739152738889,0.441,0.063,2.19213635135167e-10,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.LGALS1",1.47505230781958e-13,2.78051186046608,0.515,0.141,3.61078054431156e-09,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.AC099560.1",1.03128343084417e-12,1.01197503603061,0.887,0.69,2.52447871036344e-08,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.GNLY",1.2988609618651e-12,1.13747879199755,0.931,0.859,3.17948174854958e-08,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.CYBA",1.30613203584125e-12,1.13852964511861,0.892,0.613,3.19728061053579e-08,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.GZMM",4.58304563846505e-12,1.60081215983328,0.618,0.239,1.12188374183986e-07,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.HCST",1.50224756041111e-11,1.11968311115847,0.848,0.556,3.67735180313036e-07,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.CAMP",4.3014346178127e-11,1.95828025220714,0.485,0.127,1.05294818009437e-06,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.S100A11",5.23139288004502e-11,2.04048220331317,0.51,0.162,1.28059266310622e-06,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.LYZ",8.14736086994242e-11,1.14667230791352,0.711,0.317,1.99439246735321e-06,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.LY6E",1.05032971629544e-10,2.1743058885802,0.529,0.204,2.57110211251962e-06,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.S100A12",4.64735335275957e-10,1.71087065044496,0.515,0.176,1.13762562722202e-05,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.LCN2",9.20733679318675e-10,2.14996166627503,0.417,0.106,2.25386397360418e-05,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.IL32",9.86120827723081e-10,1.00473871566404,0.814,0.493,2.41392517418333e-05,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.IFI6",1.33827183595774e-09,3.65974540144475,0.319,0.056,3.27595562724096e-05,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.SLC35F1",2.4164953263516e-09,4.41601528371336,0.25,0.014,5.91533890937608e-05,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.CD81",1.10099249180448e-08,1.43612651336052,0.485,0.169,0.00026951195206882,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.MX1",3.12482095413666e-08,3.41606252218578,0.26,0.035,0.000764924921363113,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.CTSW",3.94799899807496e-08,1.095528406438,0.721,0.437,0.00096643067473877,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.CD52",6.07649357612421e-08,1.44968451275332,0.676,0.444,0.00148746486249944,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.CX3CR1",7.09700067215011e-08,1.41140957545171,0.49,0.19,0.00173727479453563,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.EMP3",1.31845267018447e-07,1.27692987172972,0.642,0.373,0.00322744029134456,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.PSME1",1.89990257522008e-07,1.05622985650003,0.691,0.437,0.00465077151388123,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.XIST",2.12792051922202e-07,8.21239476519271,0.172,0,0.00520893663900357,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.XCL2",3.33328634217742e-07,4.51853719637811,0.196,0.014,0.0081595516370161,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.SAMD9L",5.70365093590977e-07,1.89044223618392,0.353,0.113,0.0139619671260135,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.ZAP70",1.02891711016709e-06,1.66660166998537,0.353,0.12,0.0251868619397801,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.MATK",1.06068366271566e-06,2.2073626626465,0.279,0.07,0.0259644753796167,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.FCER1G",1.58118585798443e-06,1.89355543305221,0.348,0.127,0.0387058486176009,"CD56dimCD16hi−IL32"
"CD56dimCD16hi−IL32.OAS1",1.7029626672769e-06,4.43755731582132,0.176,0.014,0.0416868231322712,"CD56dimCD16hi−IL32"
"CD56dimCD16hi-CX3CR1.TMSB10",3.86877135389689e-15,1.05112114225448,0.989,0.815,9.47036539720419e-11,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.S100A4",1.59144661677366e-14,1.39598933519095,0.885,0.565,3.89570217320024e-10,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.PSME1",1.58097336187859e-12,1.50133174365337,0.784,0.359,3.87006469254259e-08,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.ITGB2",5.08770790603655e-12,1.46350171837778,0.781,0.337,1.24542001831869e-07,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.MYL12A",9.31920911929089e-11,1.11449995434397,0.859,0.554,2.28124920031122e-06,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.TYROBP",1.07138765557113e-10,1.0592204831961,0.914,0.609,2.62264984207258e-06,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.S100A9",5.3722648215585e-10,1.09386741030592,0.941,0.652,1.31507670566931e-05,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.ARPC2",1.08372743715189e-09,1.05785123012592,0.848,0.587,2.65285639340411e-05,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.LGALS1",4.50844703674362e-09,2.64447361988482,0.494,0.152,0.000110362275012447,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.EFHD2",5.10281041708119e-09,1.07795164430753,0.814,0.478,0.00012491169619973,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.FCER1G",5.39315262190574e-09,1.79568384104293,0.554,0.185,0.000132018983031631,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.SPON2",1.61356519607469e-08,1.11961128110332,0.758,0.424,0.000394984624347123,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.GZMM",3.22362510938677e-08,1.50645386414194,0.647,0.315,0.000789111190526787,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.PLAAT4",4.59443429834585e-08,1.09156641788697,0.68,0.326,0.00112467157189208,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.ISG15",7.50764830831632e-08,3.15983974146763,0.364,0.065,0.00183779722939275,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.CX3CR1",7.6086912123716e-08,1.04498165280636,0.717,0.337,0.00186253152187645,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.EMP3",1.36141340933201e-07,1.16410012817076,0.714,0.391,0.00333260388470382,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.GLIPR2",1.76432326129865e-07,4.40784148767769,0.268,0.011,0.00431888691133297,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.IFI6",5.38084486922942e-07,3.5236951000033,0.286,0.033,0.0131717701553867,"CD56dimCD16hi-CX3CR1"
"CD56dimCD16hi-CX3CR1.CAMP",1.69964558673115e-06,1.54617179161947,0.468,0.163,0.0416056243175918,"CD56dimCD16hi-CX3CR1"
"Unknow.NKG7",4.4052283979764e-21,1.19134202447877,0.982,0.902,1.07835585954064e-16,"Unknow"
"Unknow.S100A9",1.50091003683576e-17,1.3174807478268,0.964,0.667,3.67407767917027e-13,"Unknow"
"Unknow.GNLY",9.91651874292948e-13,1.45803521799841,0.855,0.724,2.42746462308171e-08,"Unknow"
"Unknow.TMSB10",8.22467111365341e-12,1.03429744516463,0.952,0.821,2.01331724191122e-07,"Unknow"
"Unknow.IFI6",2.70285521341381e-10,4.52311251666014,0.321,0.024,6.61631927691566e-06,"Unknow"
"Unknow.PSME1",4.39895173219265e-10,1.67659505383671,0.667,0.333,1.07681939452344e-05,"Unknow"
"Unknow.RPS21",8.67373503568213e-10,1.11523559923847,0.848,0.585,2.12324359938463e-05,"Unknow"
"Unknow.LY6E",1.34206134831378e-09,2.66134181626942,0.43,0.114,3.28523197453731e-05,"Unknow"
"Unknow.S100A8",3.18862107278454e-09,1.05973808333309,0.964,0.772,7.80542552406926e-05,"Unknow"
"Unknow.GZMM",3.33408871366819e-09,1.94073083935751,0.503,0.171,8.16151576218836e-05,"Unknow"
"Unknow.XAF1",3.7857303173448e-09,1.84992841977578,0.576,0.244,9.26708924382834e-05,"Unknow"
"Unknow.TYROBP",4.41316386181981e-09,1.27227154607673,0.818,0.585,0.000108029838173487,"Unknow"
"Unknow.ISG15",5.90274221412328e-09,3.08860583511173,0.376,0.081,0.000144493226659524,"Unknow"
"Unknow.CAMP",1.29890977999736e-08,1.43543552819802,0.503,0.154,0.000317960125045555,"Unknow"
"Unknow.IL32",1.48150393916785e-08,1.68404911924156,0.6,0.301,0.000362657349268899,"Unknow"
"Unknow.HCST",1.78751126189249e-08,1.06721829063108,0.818,0.585,0.000437564881798662,"Unknow"
"Unknow.ATP5F1E",1.89358387692101e-08,1.10622252418092,0.788,0.537,0.000463530397231495,"Unknow"
"Unknow.PLAAT4",2.27248878404133e-08,1.44086704554861,0.63,0.333,0.000556282529445477,"Unknow"
"Unknow.S100A4",2.66931256693767e-08,1.45179399625734,0.703,0.52,0.000653421023260672,"Unknow"
"Unknow.GZMB",4.97253467541362e-08,1.0597904385199,0.818,0.553,0.0012172267631945,"Unknow"
"Unknow.CD160",6.05010891624304e-08,3.11243023507286,0.267,0.024,0.00148100616160713,"Unknow"
"Unknow.MYL12A",9.06147893215801e-08,1.02968712857529,0.77,0.545,0.00221815942780296,"Unknow"
"Unknow.S100A12",1.2395863186315e-07,1.74681167236778,0.473,0.171,0.00303438334937806,"Unknow"
"Unknow.S100A6",1.33419046192809e-07,1.23966460996742,0.655,0.341,0.00326596483175377,"Unknow"
"Unknow.PSME2",3.08918682377045e-07,1.99401554512117,0.406,0.13,0.00756202042590768,"Unknow"
"Unknow.CD81",3.51121520575419e-07,1.75384540648906,0.424,0.13,0.00859510370216568,"Unknow"
"Unknow.GIMAP7",5.98135406135025e-07,1.23509658760922,0.624,0.333,0.0146417566067793,"Unknow"
"Unknow.COX6B1",6.89094803192481e-07,1.45197354418542,0.455,0.171,0.0168683516873487,"Unknow"
"Unknow.FCER1G",9.47805341922396e-07,1.99431112500037,0.442,0.187,0.0232013269649183,"Unknow"
"Unknow.S100A11",1.0287940520286e-06,2.07039650820064,0.382,0.122,0.0251838495996081,"Unknow"
"Unknow.AL627171.4",1.04016597159084e-06,7.84564397914923,0.176,0,0.0254622228185722,"Unknow"
"Unknow.MX1",1.45526401532953e-06,3.22394264088987,0.236,0.033,0.0356234078312516,"Unknow"
"Unknow.LYZ",1.83638540260426e-06,1.00215924407287,0.685,0.382,0.0449528782703498,"Unknow"
"Unknow.CD52",2.02787176689386e-06,1.77356691653259,0.527,0.301,0.0496402729817948,"Unknow"
"CD56brightCD16lo-CCL3.TMSB10",2.2241551219577e-15,1.05556869275242,0.99,0.887,5.44450932304025e-11,"CD56brightCD16lo-CCL3"
"CD56brightCD16lo-CCL3.PFN1",2.7924143955326e-15,1.07122472024891,0.99,0.887,6.83555119882424e-11,"CD56brightCD16lo-CCL3"
"CD56brightCD16lo-CCL3.CD160",5.24124619463557e-12,2.46077499596574,0.495,0.099,1.28300465598484e-07,"CD56brightCD16lo-CCL3"
"CD56brightCD16lo-CCL3.S100A8",3.15432228765283e-11,1.13745928331398,0.981,0.732,7.72146552794537e-07,"CD56brightCD16lo-CCL3"
"CD56brightCD16lo-CCL3.S100A9",1.87453740659199e-10,1.09230927829238,0.971,0.641,4.58868011759654e-06,"CD56brightCD16lo-CCL3"
"CD56brightCD16lo-CCL3.HCST",3.78817964103737e-10,1.03269160704471,0.903,0.613,9.27308494329539e-06,"CD56brightCD16lo-CCL3"
"CD56brightCD16lo-CCL3.LY6E",2.44874007706426e-09,1.66276311077162,0.602,0.232,5.9942708346456e-05,"CD56brightCD16lo-CCL3"
"CD56brightCD16lo-CCL3.ISG15",3.04220365556648e-09,2.98394668885004,0.427,0.099,7.44701032846118e-05,"CD56brightCD16lo-CCL3"
"CD56brightCD16lo-CCL3.ITGB2",3.13255323332196e-09,1.19735442082902,0.757,0.345,7.66817705984883e-05,"CD56brightCD16lo-CCL3"
"CD56brightCD16lo-CCL3.PCED1B-AS1",3.20423406816376e-09,1.37674482177258,0.631,0.225,7.84364457545806e-05,"CD56brightCD16lo-CCL3"
"CD56brightCD16lo-CCL3.PSME1",3.4743651097178e-09,1.08683223749599,0.786,0.408,8.50489835207821e-05,"CD56brightCD16lo-CCL3"
