pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.952614379084967	0.952614379084967	0.03863723737086	0.342701743875722	0.600046383770854	2	CD74 B2M
HALLMARK_ANDROGEN_RESPONSE	0.413084112149533	0.948731642189586	0.0857844408075645	-0.833333333333333	-1.16917238359364	1	B2M
HALLMARK_APICAL_JUNCTION	0.721495327102804	0.952614379084967	0.057609110864425	-0.666666666666667	-0.935337906874908	1	ACTB
HALLMARK_COMPLEMENT	0.308411214953271	0.948731642189586	0.102821842840815	-0.888888888888889	-1.24711720916654	1	S100A9
HALLMARK_ESTROGEN_RESPONSE_LATE	0.308411214953271	0.948731642189586	0.102821842840815	-0.888888888888889	-1.24711720916654	1	S100A9
HALLMARK_HYPOXIA	0.603738317757009	0.948731642189586	0.066132620475844	-0.722222222222222	-1.01328273244782	1	BTG1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.952614379084967	0.952614379084967	0.03863723737086	0.342701743875722	0.600046383770854	2	CD74 B2M
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.898305084745763	0.952614379084967	0.0668966276500666	-0.3125	-0.640334487837017	3	B2M BTG1 CD74
HALLMARK_P53_PATHWAY	0.603738317757009	0.948731642189586	0.066132620475844	-0.722222222222222	-1.01328273244782	1	BTG1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.603738317757009	0.948731642189586	0.066132620475844	-0.722222222222222	-1.01328273244782	1	BTG1
HALLMARK_UV_RESPONSE_UP	0.603738317757009	0.948731642189586	0.066132620475844	-0.722222222222222	-1.01328273244782	1	BTG1
