pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.791023842917251	0.953010279001468	0.0401660980049421	0.311622517109941	0.738063812109036	5	CCL4 MMP9 CTSS IL18RAP ITGB2
HALLMARK_ANGIOGENESIS	0.343253968253968	0.906753752084491	0.0999276973731092	0.844827586206897	1.15237516364317	1	PGLYRP1
HALLMARK_APICAL_JUNCTION	0.380952380952381	0.906753752084491	0.0937465422491719	0.810344827586207	1.10533944267814	1	MMP9
HALLMARK_APOPTOSIS	0.486111111111111	0.906753752084491	0.0802023444698144	0.775862068965517	1.05830372171311	1	IER3
HALLMARK_COAGULATION	0.143928035982009	0.906753752084491	0.140406238523342	0.660714285714286	1.33234950725677	3	SERPINA1 MMP9 MMP8
HALLMARK_COMPLEMENT	0.190348525469169	0.906753752084491	0.112378519110475	0.480769230769231	1.25319832415345	7	SERPINA1 S100A12 LTF MMP8 S100A9 CTSS FCN1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.47948717948718	0.906753752084491	0.0952879846194844	-0.596491228070175	-1.0267039279615	2	VIM EMP3
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.280155642023346	0.906753752084491	0.11146266692298	-0.879310344827586	-1.1914476979826	1	FOS
HALLMARK_ESTROGEN_RESPONSE_LATE	0.497797356828194	0.906753752084491	0.0637845390312975	0.449749662516299	0.989876673018536	4	SERPINA1 LTF S100A9
HALLMARK_G2M_CHECKPOINT	0.698412698412698	0.953010279001468	0.0619762736001998	0.655172413793103	0.893678698335516	1	MT2A
HALLMARK_GLYCOLYSIS	0.883683360258481	0.953010279001468	0.0415717899246479	0.386821006947002	0.675288182812415	2	IER3 CXCR4
HALLMARK_HYPOXIA	0.919236417033774	0.953010279001468	0.0353157046479879	0.279810025938919	0.615847971967315	4	IER3 MT2A
HALLMARK_IL2_STAT5_SIGNALING	0.80952380952381	0.953010279001468	0.0550211117163117	0.603448275862069	0.823125116887975	1	IL1R2
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.80952380952381	0.953010279001468	0.0550211117163117	0.603448275862069	0.823125116887975	1	IL1R2
HALLMARK_INFLAMMATORY_RESPONSE	0.47948717948718	0.906753752084491	0.0952879846194844	-0.596491228070175	-1.0267039279615	2	IL18RAP EMP3
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.428015564202335	0.906753752084491	0.0860347242455604	-0.793103448275862	-1.07463910014117	1	IFITM2
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.696165191740413	0.953010279001468	0.0822054920415869	-0.380371736632107	-0.790629861174712	3	HLA-B IFITM2
HALLMARK_KRAS_SIGNALING_UP	0.953010279001468	0.953010279001468	0.0336033244336697	0.254545454545455	0.560241904947097	4	MMP9 CTSS ITGB2 CXCR4
HALLMARK_MTORC1_SIGNALING	0.18974358974359	0.906753752084491	0.161978948883402	-0.754385964912281	-1.29847849712778	2	CXCR4 ITGB2
HALLMARK_P53_PATHWAY	0.783521809369952	0.953010279001468	0.0470699590082662	0.440429795121782	0.76887508864011	2	IER3 FOS
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.507782101167315	0.906753752084491	0.0768736734126542	-0.758620689655172	-1.0279156610046	1	CXCR4
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.259370314842579	0.906753752084491	0.0999276973731092	0.59735469768311	1.20458306158038	3	CCL4 IER3
HALLMARK_UV_RESPONSE_DN	0.900778210116732	0.953010279001468	0.0491927521045191	-0.551724137931035	-0.747575026185164	1	SYNE1
HALLMARK_UV_RESPONSE_UP	0.280155642023346	0.906753752084491	0.11146266692298	-0.879310344827586	-1.1914476979826	1	FOS
HALLMARK_XENOBIOTIC_METABOLISM	0.698412698412698	0.953010279001468	0.0619762736001998	0.655172413793103	0.893678698335516	1	MT2A
