pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.927272727272727	0.927272727272727	0.0495901956956338	0.547826086956522	0.710450623202297	1	IDH1
HALLMARK_ALLOGRAFT_REJECTION	0.474358974358974	0.858278145695364	0.0596037042575973	0.468468468468469	0.996320214076116	5	CCL4 MMP9 IL16 CCL5 FGR
HALLMARK_ANDROGEN_RESPONSE	0.273504273504274	0.858278145695364	0.140406238523342	-0.666666666666667	-1.14320096269555	2	H1-0 DBI
HALLMARK_ANGIOGENESIS	0.923841059602649	0.927272727272727	0.0734381410838857	-0.309734513274336	-0.630435343363055	3	S100A4 LRPAP1 PGLYRP1
HALLMARK_APICAL_JUNCTION	0.737142857142857	0.927272727272727	0.0442407423477375	0.434681503071714	0.800563285340357	3	MMP9 PFN1 ACTB
HALLMARK_APOPTOSIS	0.37037037037037	0.858278145695364	0.118287526124085	-0.62280701754386	-1.06799037304452	2	H1-0 MCL1
HALLMARK_BILE_ACID_METABOLISM	0.927272727272727	0.927272727272727	0.0495901956956338	0.547826086956522	0.710450623202297	1	IDH1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.84040404040404	0.927272727272727	0.0541200569620232	0.6	0.778112587316801	1	S100A11
HALLMARK_COAGULATION	0.173154362416107	0.858278145695364	0.118815039412263	0.644816922663863	1.29483524054164	4	CTSH SERPINA1 MMP9 MMP8
HALLMARK_COMPLEMENT	0.104966139954853	0.858278145695364	0.142901149386948	0.541292462196479	1.38964175160578	10	CTSH SERPINA1 ITGAM LTF S100A9 FCN1 S100A12 MMP8
HALLMARK_DNA_REPAIR	0.439842209072978	0.858278145695364	0.0852884689790502	-0.773913043478261	-1.04226069246435	1	DAD1
HALLMARK_E2F_TARGETS	0.571992110453649	0.879987862236383	0.0714786287425507	-0.704347826086957	-0.948574338085534	1	NBN
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.447293447293447	0.858278145695364	0.105920292736253	-0.596491228070175	-1.02286401925391	2	AREG EMP3
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.27810650887574	0.858278145695364	0.112843355675562	-0.860869565217391	-1.15936863543788	1	AREG
HALLMARK_ESTROGEN_RESPONSE_LATE	0.308724832214765	0.858278145695364	0.0835990603684159	0.574431457073648	1.15349654723993	4	SERPINA1 LTF S100A9
HALLMARK_FATTY_ACID_METABOLISM	0.856375838926175	0.927272727272727	0.0344174840212229	0.347394452615727	0.697591151543026	4	G0S2 IDH1 XIST NBN
HALLMARK_G2M_CHECKPOINT	0.178899082568807	0.858278145695364	0.12563992130984	0.789473684210526	1.27457817867153	2	MT2A RASAL2
HALLMARK_GLYCOLYSIS	0.536423841059603	0.858278145695364	0.103958471559957	-0.460176991150443	-0.936646795853681	3	DDIT4 CXCR4 IDH1
HALLMARK_HEME_METABOLISM	0.704892966360856	0.927272727272727	0.0493910105981501	0.52456180654637	0.846887040518793	2	SLC30A1 H1-0
