pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.104743083003953	0.378168202764977	0.193813302725311	1	1.28951848249027	1	CCL4
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.411290322580645	0.668346774193548	0.0902635484340068	-0.857142857142857	-1.1097272387595	1	SLC39A6
HALLMARK_G2M_CHECKPOINT	0.203629032258065	0.378168202764977	0.136490437780413	-0.952380952380952	-1.23303026528833	1	MT2A
HALLMARK_HEME_METABOLISM	0.0967741935483871	0.378168202764977	0.204294756516886	-1	-1.29468177855275	1	HBD
HALLMARK_HYPOXIA	0.203629032258065	0.378168202764977	0.136490437780413	-0.952380952380952	-1.23303026528833	1	MT2A
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.828629032258064	0.828629032258064	0.0546808488785442	-0.619047619047619	-0.801469672437415	1	ACVR1B
HALLMARK_INFLAMMATORY_RESPONSE	0.828629032258064	0.828629032258064	0.0546808488785442	-0.619047619047619	-0.801469672437415	1	ACVR1B
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.203629032258065	0.378168202764977	0.136490437780413	-0.952380952380952	-1.23303026528833	1	MT2A
HALLMARK_MYOGENESIS	0.653225806451613	0.828629032258064	0.065981614400873	-0.714285714285714	-0.924772698966248	1	ATP6AP1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.653225806451613	0.828629032258064	0.065981614400873	-0.714285714285714	-0.924772698966248	1	ATP6AP1
HALLMARK_P53_PATHWAY	0.828629032258064	0.828629032258064	0.0546808488785442	-0.619047619047619	-0.801469672437415	1	ACVR1B
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.104743083003953	0.378168202764977	0.193813302725311	1	1.28951848249027	1	CCL4
HALLMARK_XENOBIOTIC_METABOLISM	0.203629032258065	0.378168202764977	0.136490437780413	-0.952380952380952	-1.23303026528833	1	MT2A
