"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"matureB.MT-CO1",9.33942345352585e-101,1.04221688636084,0.998,0.849,2.28619746718859e-96,"matureB"
"matureB.MT-CO2",5.25219819468343e-97,1.02435217838707,0.993,0.853,1.28568559607656e-92,"matureB"
"matureB.MT-CYB",2.04509031913579e-96,1.18359387133667,0.982,0.792,5.00617659221251e-92,"matureB"
"matureB.RPS27",1.59063664146326e-85,1.18653319912722,0.977,0.865,3.89371943463792e-81,"matureB"
"matureB.MT-ND4",2.88697625003053e-76,0.897278830611989,0.997,0.863,7.06702916244974e-72,"matureB"
"matureB.AC099560.1",1.21121773990479e-71,1.11808628823179,0.975,0.932,2.96493990551293e-67,"matureB"
"matureB.CD74",4.97890647360273e-68,0.847537466425512,0.997,0.994,1.21878651567321e-63,"matureB"
"matureB.MT-ATP6",4.40091826670856e-64,0.825588004223401,0.987,0.851,1.07730078250759e-59,"matureB"
"matureB.MT-CO3",2.0721384620727e-61,0.769171733950133,0.998,0.856,5.07238774130777e-57,"matureB"
"matureB.S100A8",5.07581666739492e-53,1.02550167809629,0.921,0.798,1.2425091620116e-48,"matureB"
"matureB.MT-ND4L",7.35417942836178e-52,1.56341501651716,0.736,0.496,1.80022958226868e-47,"matureB"
"matureB.CD52",3.33913122026114e-49,0.817217178872124,0.959,0.901,8.17385931407724e-45,"matureB"
"matureB.BTG1",9.67789732113658e-42,0.815135828283042,0.937,0.87,2.36905248524102e-37,"matureB"
"matureB.MT-ND5",1.34867651965136e-41,0.810090766529729,0.906,0.732,3.30142525245457e-37,"matureB"
"matureB.ACTB",3.66195654980628e-41,0.975504596346943,0.903,0.834,8.96410343827078e-37,"matureB"
"matureB.CAMP",4.15522172019238e-39,2.18084267700894,0.448,0.191,1.01715672488589e-34,"matureB"
"matureB.S100A9",6.12596524500578e-38,0.833519804614718,0.886,0.736,1.49957503232497e-33,"matureB"
"matureB.RPS18",1.6904220884015e-37,0.80766989858089,0.908,0.836,4.13798423019803e-33,"matureB"
"matureB.MT-ATP8",2.52131578360135e-31,1.44212059721968,0.568,0.367,6.17192890667775e-27,"matureB"
"matureB.H3-3B",1.80256049538556e-29,1.02621552783353,0.725,0.563,4.41248783665432e-25,"matureB"
"matureB.RPL29",9.48241367672397e-29,0.887016971869698,0.806,0.695,2.32120004392526e-24,"matureB"
"matureB.JUNB",1.45603639555049e-28,1.1179299896843,0.654,0.444,3.56423149266805e-24,"matureB"
"matureB.LTF",5.76583264828093e-28,1.42502624673141,0.512,0.305,1.41141817397269e-23,"matureB"
"matureB.S100A12",2.21379040276501e-27,1.81894008556464,0.41,0.204,5.41913752692848e-23,"matureB"
"matureB.RPS5",2.46592018700056e-27,0.837148890960071,0.83,0.762,6.03632602575868e-23,"matureB"
