pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.188679245283019	0.641509433962264	0.261663521711573	-0.349593495934959	-1.21162002407972	9	HLA-A MMP9 HLA-E B2M ITGB2 SPI1 FYB1 PTPN6 CTSS
HALLMARK_APICAL_JUNCTION	0.775	0.902777777777778	0.0956031492204301	-0.289778196365877	-0.756026542507525	5	MMP9 PFN1 MYH9 FYB1
HALLMARK_APOPTOSIS	0.274305555555556	0.777199074074074	0.156312403073186	-0.485150623891602	-1.15363991530642	4	TXNIP TSPO ISG20
HALLMARK_COAGULATION	0.555555555555556	0.902777777777778	0.0943563635421779	-0.441860465116279	-0.919480303436479	3	MMP9 LTA4H SERPINA1
HALLMARK_COMPLEMENT	0.076772667083103	0.326283835103188	0.287805130535564	-0.358333333333333	-1.43351094845875	12	PFN1 CDA FCER1G S100A9 S100A12 LTA4H HSPA1A CR1 FCN1 SERPINA1 LTF CTSS
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.353801169590643	0.859231411862991	0.123257226381337	-0.527131782945737	-1.09692387076633	3	VIM CXCL8 BASP1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.420833333333333	0.894270833333333	0.136490437780413	-0.393700787401575	-1.02715887121434	5	ISG20 S100A9 PTPN6 SERPINA1 LTF
HALLMARK_GLYCOLYSIS	0.763157894736842	0.902777777777778	0.0768736734126542	-0.369808673134439	-0.769545632233953	3	ISG20 PYGL
HALLMARK_HEME_METABOLISM	1.02178638965599e-05	0.000173703686241518	0.593325476396405	-1	-2.0809291077773	3	TFRC NFE2 TRAK2
HALLMARK_HYPOXIA	0.784722222222222	0.902777777777778	0.0845557442441281	-0.3203125	-0.761671256665543	4	ISG20 MYH9 S100A4 IER3
HALLMARK_INFLAMMATORY_RESPONSE	0.902777777777778	0.902777777777778	0.0770736734944102	-0.28125	-0.668784518047794	4	CSF3R CXCL8 EIF2AK2 C5AR1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.00945327411811426	0.0803528300039712	0.380730400722792	0.55554318837072	1.71668395037301	15	IFI27 ISG15 IFI44L IFIT3 IFI44
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0286624203821656	0.162420382165605	0.276500599254472	0.479057584766562	1.57430217512091	19	IFI27 ISG15 IFI44L IFIT3 IFI44 FGL2 XAF1
HALLMARK_KRAS_SIGNALING_UP	0.856435643564356	0.902777777777778	0.0999276973731092	-0.225853843663881	-0.699057129673018	7	MMP9 LCP1 ITGB2 RETN FCER1G
HALLMARK_MTORC1_SIGNALING	0.580562659846547	0.902777777777778	0.0500922874402106	0.386291724310276	0.913861558170411	6	FGL2 DAPP1 CORO1A LTA4H
HALLMARK_P53_PATHWAY	0.891812865497076	0.902777777777778	0.0689567351672811	-0.317829457364341	-0.66138056913852	3	TXNIP S100A4 IER3
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.742469879518072	0.902777777777778	0.0463227785794633	0.430362999877414	0.818793178162769	3	DAPP1 PFN1 CFL1
