pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.446451612903226	0.632258064516129	0.0628003977812234	0.47258534457693	1.02183721804555	5	MMP9 CD74 HLA-A HLA-DRA B2M
HALLMARK_COMPLEMENT	0.133783783783784	0.632258064516129	0.138022242496643	0.648148148148148	1.31554230794507	4	S100A12 LTF S100A9 PLSCR1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.505806451612903	0.632258064516129	0.0568864160475701	0.452830188679245	0.979122068758349	5	LTF CD9 S100A9 MYB XBP1
HALLMARK_HYPOXIA	0.421276595744681	0.632258064516129	0.0702812841717392	0.558771707934775	1.04592640352242	3	P4HA2 AKAP12
HALLMARK_IL2_STAT5_SIGNALING	1	1	0.069119845655101	0	0	3	
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0385964912280702	0.385964912280702	0.248911114434702	0.616759404675755	1.542061660039	9	MX1 OAS1 EPSTI1 ISG15
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.395505617977528	0.632258064516129	0.0619762736001998	0.4032965070472	1.06121651702061	11	MX1 EPSTI1 ISG15
HALLMARK_KRAS_SIGNALING_DN	0.236879432624114	0.632258064516129	0.102080107662747	0.632325311427091	1.18360634485512	3	MX1 ARPP21 VPREB1
HALLMARK_KRAS_SIGNALING_UP	0.326241134751773	0.632258064516129	0.0835990603684159	0.598809877239448	1.12087110424687	3	MMP9 AKAP12
HALLMARK_MTORC1_SIGNALING	0.970394736842105	1	0.0706196247122591	-0.272727272727273	-0.556917044479843	3	GAPDH XBP1 CD9
