"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"ST-HSC.SLC35F1",1.74361944566063e-34,2.89043406663393,0.93,0.274,4.26820604103265e-30,"ST-HSC"
"ST-HSC.RPS29",4.49022152306573e-23,0.855551184098574,1,1,1.09916132663126e-18,"ST-HSC"
"ST-HSC.RPL36",2.04748198702075e-18,0.776265210857159,1,1,5.0120311560281e-14,"ST-HSC"
"ST-HSC.AC099560.1",7.50883198071256e-18,0.928252123157042,1,0.99,1.83808698055863e-13,"ST-HSC"
"ST-HSC.S100A9",3.44869500242684e-17,1.06570515698708,0.988,0.587,8.44206049644067e-13,"ST-HSC"
"ST-HSC.RPL37",3.91742826959315e-17,0.615181809301501,1,1,9.58947266113708e-13,"ST-HSC"
"ST-HSC.XIST",1.25049180981753e-16,8.62278597412294,0.302,0,3.06107890125233e-12,"ST-HSC"
"ST-HSC.RPL31",1.45647846018074e-16,0.571445136326362,1,1,3.56531362267644e-12,"ST-HSC"
"ST-HSC.PHLDB2",2.2047025214498e-16,2.83834677665318,0.407,0.034,5.39689130225697e-12,"ST-HSC"
"ST-HSC.S100A8",1.61395955805805e-15,0.988438443595042,0.988,0.678,3.95081160217031e-11,"ST-HSC"
"ST-HSC.RPS27",9.10633020005695e-15,0.985642988693022,0.988,0.966,2.22913856967194e-10,"ST-HSC"
"ST-HSC.RPL38",8.12215254211986e-14,0.695415986016835,1,0.995,1.98822172078552e-09,"ST-HSC"
"ST-HSC.IFI44L",2.21342229845275e-13,3.47813241643779,0.419,0.072,5.41823644438248e-09,"ST-HSC"
"ST-HSC.RPS18",2.82582835855036e-13,0.704134972300344,1,1,6.91734523889542e-09,"ST-HSC"
"ST-HSC.B2M",4.36818247881772e-13,0.548366500630038,1,1,1.06928738898979e-08,"ST-HSC"
"ST-HSC.NR4A2",4.92289323690127e-13,2.84073420260652,0.605,0.197,1.20507503546106e-08,"ST-HSC"
"ST-HSC.LTF",1.07267728147816e-12,1.6961487218148,0.651,0.236,2.62580671733038e-08,"ST-HSC"
"ST-HSC.RPS21",1.1780681736245e-12,0.65812628586158,1,1,2.88379308221542e-08,"ST-HSC"
"ST-HSC.OOEP",1.24417160085236e-12,0.697942619696387,1,0.995,3.04560766172649e-08,"ST-HSC"
"ST-HSC.S100A12",1.8391961379357e-12,1.28366008150507,0.593,0.188,4.50216822605281e-08,"ST-HSC"
"ST-HSC.CAMP",1.90039532820938e-12,1.75156799047289,0.628,0.197,4.65197772392374e-08,"ST-HSC"
"ST-HSC.HSPA1A",5.58889932373613e-12,2.33504248213495,0.849,0.668,1.36810666545737e-07,"ST-HSC"
"ST-HSC.HLA-DRB1",7.21330975632441e-12,1.19977202284692,0.942,0.697,1.76574609525065e-07,"ST-HSC"
"ST-HSC.ETV3",2.56668762505195e-11,3.38608450131665,0.326,0.043,6.28299463736466e-07,"ST-HSC"
"ST-HSC.NR4A1",3.75150501219629e-11,2.19331537321453,0.663,0.322,9.18330911935529e-07,"ST-HSC"
"ST-HSC.HLA-B",3.99082846547655e-11,0.739132396414913,0.988,0.952,9.76914900064004e-07,"ST-HSC"
"ST-HSC.LYZ",5.12171446848421e-11,1.18102096323694,0.837,0.486,1.25374448474025e-06,"ST-HSC"
"ST-HSC.RPL28",2.27012729681933e-10,0.564026581943,1,0.99,5.55704460988404e-06,"ST-HSC"
"ST-HSC.LCN2",2.69462383489789e-10,2.26099504167817,0.43,0.106,6.59616968544655e-06,"ST-HSC"
"ST-HSC.RPS3A",8.18524641035474e-10,0.51830972548103,1,1,2.00366646879074e-05,"ST-HSC"
"ST-HSC.AIF1",8.4710184981224e-10,0.843285638085555,0.965,0.865,2.07362061815538e-05,"ST-HSC"
"ST-HSC.HLA-C",9.56316893993116e-10,0.791807102940182,0.942,0.764,2.34096812480575e-05,"ST-HSC"
"ST-HSC.RPL23A",2.30569601219701e-09,0.538359926183562,1,0.995,5.64411326825706e-05,"ST-HSC"
"ST-HSC.AL136454.1",3.55248433313899e-09,0.855667949831439,0.965,0.793,8.69612639909093e-05,"ST-HSC"
"ST-HSC.S100A4",7.85824612448189e-09,1.12098775505515,0.826,0.582,0.000192362006881192,"ST-HSC"
"ST-HSC.FGF16",4.07401281983999e-08,6.21488434007499,0.14,0,0.000997277598168631,"ST-HSC"
"ST-HSC.RGL4",4.16316665007122e-08,2.37388383072477,0.244,0.034,0.00101910156427093,"ST-HSC"
"ST-HSC.DNAJB1",4.98494483643379e-08,1.70592026006825,0.721,0.49,0.00122026464651063,"ST-HSC"
"ST-HSC.RPL35",6.80030122323729e-08,0.522581745974459,1,0.971,0.00166464573643626,"ST-HSC"
"ST-HSC.RPSA",1.12355284245623e-07,0.705633655748944,0.942,0.87,0.0027503450030486,"ST-HSC"
"ST-HSC.HSPB1",1.15907710583784e-07,1.40024139678604,0.884,0.697,0.00283730484738046,"ST-HSC"
"ST-HSC.RPS15",1.57096871208707e-07,0.504350797779714,1,1,0.00384557431031794,"ST-HSC"
"ST-HSC.RASAL2",2.89030972367421e-07,1.37246906245731,0.523,0.221,0.0070751891725821,"ST-HSC"
"ST-HSC.DAB1",5.63595040848988e-07,1.72926564858585,0.349,0.096,0.0137962430049424,"ST-HSC"
"ST-HSC.IL16",6.85831268059512e-07,1.5217564049544,0.419,0.154,0.0167884636108288,"ST-HSC"
"ST-HSC.GFI1B",7.04256694880439e-07,1.91440211638003,0.302,0.077,0.0172394996339783,"ST-HSC"
"ST-HSC.MYCN",7.97952818838394e-07,2.24812655845422,0.326,0.096,0.019533087052345,"ST-HSC"
"ST-HSC.RPS25",8.32089239669346e-07,0.570753149093432,1,0.928,0.0203687124978659,"ST-HSC"
"ST-HSC.CD74",1.10717940890883e-06,0.505839015686698,1,0.995,0.0271026447506793,"ST-HSC"
"ST-HSC.CERK",1.31611337130738e-06,1.92376736581186,0.302,0.082,0.0322171392162334,"ST-HSC"
"ST-HSC.FAM118A",1.58269310699807e-06,1.88438627989263,0.302,0.082,0.0387427445662057,"ST-HSC"
"pro_B.S100A8",3.09118257639343e-25,2.80871976042206,0.962,0.765,7.56690582875347e-21,"pro_B"
"pro_B.S100A9",7.52066910029776e-18,2.70239329173443,0.91,0.725,1.84098458906189e-13,"pro_B"
"pro_B.RPS29",5.92687432559783e-17,1.07249170902938,0.986,0.951,1.45083956616309e-12,"pro_B"
"pro_B.DNTT",9.54621677774612e-17,1.29761620505485,0.943,0.873,2.33681840502447e-12,"pro_B"
"pro_B.IGLL1",5.77962888519427e-16,1.94284598298818,0.821,0.441,1.41479535480671e-11,"pro_B"
"pro_B.CD74",2.20457780847173e-15,0.894139417324012,1,1,5.39658601735795e-11,"pro_B"
"pro_B.HLA-B",4.34587551694811e-15,1.21498683253711,0.92,0.784,1.06382686779373e-10,"pro_B"
"pro_B.B2M",1.76808830100842e-14,0.86982445827092,0.986,1,4.32810335203852e-10,"pro_B"
"pro_B.XIST",6.71310933879614e-13,8.72175716670939,0.387,0,1.64330203504391e-08,"pro_B"
"pro_B.TOP2B",2.69847829246319e-12,1.31880126612678,0.896,0.804,6.60560501212064e-08,"pro_B"
"pro_B.LTF",4.88881145024783e-11,3.416132759809,0.594,0.255,1.19673215490617e-06,"pro_B"
"pro_B.AKAP12",5.12178360596764e-11,1.78161676391799,0.679,0.324,1.25376140890482e-06,"pro_B"
"pro_B.CAMP",5.13567901354543e-11,3.23519783027585,0.561,0.235,1.25716286572579e-06,"pro_B"
"pro_B.LYZ",6.6083746083818e-11,2.2469236317162,0.684,0.363,1.61766402038578e-06,"pro_B"
"pro_B.HLA-A",1.09639923618707e-10,1.42674963937982,0.769,0.549,2.68387569026233e-06,"pro_B"
"pro_B.CMTM8",1.55466728354808e-10,4.01890844642312,0.392,0.049,3.80567004339735e-06,"pro_B"
"pro_B.TPT1",1.68500171050426e-10,0.657681842074077,0.995,1,4.12471568714337e-06,"pro_B"
"pro_B.VPREB3",3.33319889966081e-10,1.17749629703113,0.925,0.647,8.1593375864797e-06,"pro_B"
"pro_B.CD9",6.28840993964383e-10,1.83755479065781,0.675,0.382,1.53933986912541e-05,"pro_B"
"pro_B.S100A12",3.82476972384931e-09,3.16280948469454,0.486,0.196,9.36265380701072e-05,"pro_B"
"pro_B.SLC35F1",5.23324763410053e-08,3.00060588064546,0.392,0.118,0.00128104668835147,"pro_B"
"pro_B.HLA-C",1.23163040436641e-07,1.02983698598851,0.755,0.657,0.00301490806684853,"pro_B"
"pro_B.DEFA3",1.27029069856121e-07,2.00003863724183,0.698,0.461,0.00310954460100798,"pro_B"
"pro_B.CD81",1.9584990591616e-07,1.56630915443111,0.59,0.314,0.00479420984692168,"pro_B"
"pro_B.HLA-DRA",2.14296118620406e-07,0.572251544607044,0.972,0.961,0.00524575468770891,"pro_B"
"pro_B.XBP1",2.31112354170838e-07,1.20613035841669,0.75,0.5,0.00565739931774793,"pro_B"
"pro_B.IGLC2",4.37307892270865e-07,1.37776181563256,0.061,0.275,0.0107048598948985,"pro_B"
"pro_B.RAG2",5.21893628490981e-07,1.96812400671127,0.481,0.235,0.0127754341318307,"pro_B"
"pro_B.MEF2C",5.64218906076104e-07,1.41561590579723,0.618,0.382,0.013811514601837,"pro_B"
"pro_B.HLA-DRB1",1.05897896478768e-06,1.20810205256273,0.708,0.569,0.0259227460790376,"pro_B"
"pro_B.MX1",1.42878406451982e-06,4.1626388226238,0.274,0.049,0.0349752051153808,"pro_B"
"pro_B.VPREB1",1.59107699439511e-06,0.768565986896361,0.896,0.853,0.0389479737457979,"pro_B"
"LT-HSC.PHLDB2",2.59273696878685e-13,5.6112939854072,0.312,0.005,6.34676082589333e-09,"LT-HSC"
"LT-HSC.RASAL2",7.48330083148381e-13,4.31989914024149,0.562,0.048,1.83183721053892e-08,"LT-HSC"
"LT-HSC.NR4A1",3.01177899727994e-10,3.25651421716266,0.75,0.163,7.37253380744155e-06,"LT-HSC"
"LT-HSC.AL121974.1",3.77712369581749e-10,6.573532208148,0.188,0,9.24602109499164e-06,"LT-HSC"
"LT-HSC.SLC35F1",4.6667124506021e-10,2.96872090898663,0.812,0.202,1.14236454078289e-05,"LT-HSC"
"LT-HSC.LTB",1.22930544208121e-09,3.36557650142222,0.312,0.014,3.0092167916706e-05,"LT-HSC"
"LT-HSC.FREM1",1.22930544208121e-09,3.10476932240337,0.312,0.014,3.0092167916706e-05,"LT-HSC"
"LT-HSC.FOLR3",8.35971115940496e-09,6.08490693825701,0.25,0.01,0.000204637369471074,"LT-HSC"
"LT-HSC.LTF",1.86677901429817e-08,2.51813327228886,0.812,0.197,0.000456968834910048,"LT-HSC"
"LT-HSC.ELMSAN1",1.11102912982751e-07,2.98956143948274,0.438,0.053,0.00271968820690476,"LT-HSC"
"LT-HSC.SLC2A10",1.23837342168592e-07,4.53747424212148,0.188,0.005,0.00303141429894496,"LT-HSC"
"LT-HSC.AC107464.3",1.36209902111032e-07,4.63375016169155,0.188,0.005,0.00333428219377594,"LT-HSC"
"LT-HSC.VSIG10",1.36209902111032e-07,4.03619152893251,0.188,0.005,0.00333428219377594,"LT-HSC"
"LT-HSC.S100A9",1.80455390225415e-07,1.90759368804286,1,0.51,0.00441736749732794,"LT-HSC"
"LT-HSC.S100A8",2.32712876944177e-07,1.92645568293729,1,0.543,0.00569657851471652,"LT-HSC"
"LT-HSC.WDCP",3.42980306746555e-07,5.93400160350712,0.125,0,0.00839581492884891,"LT-HSC"
