pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.724550898203593	0.974638844301766	0.0605092988656667	0.641414141414141	0.86639742400262	1	TOB1
HALLMARK_ALLOGRAFT_REJECTION	0.817073170731707	0.974638844301766	0.0273074724591201	0.236397324503638	0.679817977692054	14	CCL4 MMP9 IL18RAP IGSF6 CCL5 CTSS CAPG HLA-DRA CD74
HALLMARK_ANDROGEN_RESPONSE	0.796242774566474	0.974638844301766	0.0412376090540066	0.401830226647533	0.752434990675751	3	RRP12 CCND3 MYL12A
HALLMARK_ANGIOGENESIS	0.711001642036125	0.974638844301766	0.0522693317499306	0.512690355329949	0.844085819794866	2	PGLYRP1 S100A4
HALLMARK_APICAL_JUNCTION	0.181636726546906	0.974638844301766	0.144630528034484	0.898989898989899	1.2143207989958	1	MMP9
HALLMARK_APICAL_SURFACE	0.976237623762376	0.990147783251231	0.0463227785794633	-0.51010101010101	-0.683926963952223	1	PLAUR
HALLMARK_APOPTOSIS	0.722495894909688	0.974638844301766	0.051530912208539	0.50761421319797	0.835728534450363	2	IER3 MCL1
HALLMARK_BILE_ACID_METABOLISM	0.405940594059406	0.974638844301766	0.0899860794997137	-0.803030303030303	-1.07667710166736	1	PRDX5
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.588383838383838	0.974638844301766	0.0828962134571565	-0.512690355329949	-0.892805191898847	2	CPEB2 PLAUR
HALLMARK_COAGULATION	0.0563583815028902	0.974638844301766	0.227987202850442	0.799602434469309	1.49727126140752	3	CTSH MMP9
HALLMARK_COMPLEMENT	0.889887640449438	0.974638844301766	0.0234376252595191	0.214880849021799	0.606729552048663	13	CTSH S100A12 LTF GNG2 CCL5 CTSS PLAUR
HALLMARK_DNA_REPAIR	0.886363636363636	0.974638844301766	0.0621124188949471	-0.390862944162437	-0.680653463130804	2	HCLS1 PDE4B
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0853096426055462	0.974638844301766	0.287805130535564	-0.424083769633508	-1.43616201967699	8	FLNA LGALS1 EMP3 CAPG VIM PLAUR AREG CXCL8
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.605405405405405	0.974638844301766	0.0507027937029348	0.43320766566787	0.883558268185763	4	RRP12 TOB1 AREG
HALLMARK_ESTROGEN_RESPONSE_LATE	0.885390428211587	0.974638844301766	0.0297064584935533	0.274815198971798	0.631933337166695	6	LTF TOB1 AREG SNX10
HALLMARK_FATTY_ACID_METABOLISM	0.701511335012595	0.974638844301766	0.0407403526717903	0.350493199078686	0.805953738281972	6	VNN1 XIST G0S2 LGALS1 SERINC1
HALLMARK_G2M_CHECKPOINT	0.810606060606061	0.974638844301766	0.066436413766281	-0.436548223350254	-0.76021036141882	2	MARCKS CHMP1A
HALLMARK_GLYCOLYSIS	0.731601731601732	0.974638844301766	0.101350743797099	-0.304123711340206	-0.804679151918612	5	PGK1 PYGL IRS2 IER3 CXCR4
HALLMARK_HEME_METABOLISM	0.334653465346535	0.974638844301766	0.101350743797099	-0.843434343434343	-1.13084953445566	1	CCND3
HALLMARK_HYPOXIA	0.887931034482759	0.974638844301766	0.135002033828631	-0.171122994652406	-0.702087184097891	12	FOS PGK1 DUSP1 PRDX5 KLF6 IRS2 TES PLAUR S100A4 IER3 CXCR4 MT1E
HALLMARK_IL2_STAT5_SIGNALING	0.937027707808564	0.979619876345317	0.0268158762373842	0.245575797188858	0.564697781001741	6	CKAP4 IL1R2 SELL CAPG
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.622754491017964	0.974638844301766	0.0678338263479455	0.676767676767677	0.914151612727173	1	IL1R2
HALLMARK_INFLAMMATORY_RESPONSE	0.35751840168244	0.974638844301766	0.0636424081651019	0.359298997565989	1.10656810153382	19	OSM C5AR1 PTAFR IL18RAP SGMS2 RGS1 NAMPT FPR1 PDE4B CCL5 CXCL8 SELL RNF144B PLAUR PTPRE
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.63258785942492	0.974638844301766	0.0919686140000427	-0.423469387755102	-0.867841873802954	3	IFITM2 CD74 SELL
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.782248520710059	0.974638844301766	0.0327241935806629	0.283825384444707	0.727562085053881	9	PTGS2 NAMPT FPR1 PDE4B CCL5
HALLMARK_KRAS_SIGNALING_DN	0.597701149425287	0.974638844301766	0.0603786357920401	0.563451776649746	0.927658673239902	2	NR4A2 SKIL
