"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"NDN_4.MT-CO3",5.84942479998081e-157,0.622715144773886,0.979,0.925,1.4318806967873e-152,"NDN_4"
"NDN_4.MT-CO2",2.38441944116151e-151,0.749723412376787,0.948,0.857,5.83682035001926e-147,"NDN_4"
"NDN_4.AL139042.1",1.90927182544188e-148,9.29920656893693,0.228,0.001,4.67370650149919e-144,"NDN_4"
"NDN_4.MT-CO1",6.50012067800993e-85,0.503778094689546,0.957,0.869,1.59116454077005e-80,"NDN_4"
"NDN_4.MMP9",3.82222438436179e-78,1.54305055757117,0.381,0.166,9.35642307047922e-74,"NDN_4"
"NDN_4.CXCR4",2.40158822500111e-74,0.879783887140661,0.669,0.486,5.87884781598021e-70,"NDN_4"
"NDN_4.CYBA",5.04761670421709e-68,0.559929488145099,0.897,0.798,1.2356060930253e-63,"NDN_4"
"NDN_4.IVNS1ABP",7.42284035422188e-64,0.843450048530629,0.685,0.567,1.81703709030997e-59,"NDN_4"
"NDN_4.ZFAND5",3.02352033351524e-62,1.08456368292197,0.507,0.331,7.40127542441195e-58,"NDN_4"
"NDN_4.IRS2",7.41754415819274e-59,1.32199393589358,0.399,0.224,1.815740634484e-54,"NDN_4"
"NDN_4.S100A12",2.46778982403784e-58,0.685439061958732,0.834,0.702,6.04090271026223e-54,"NDN_4"
"NDN_4.RNF149",1.500932164083e-56,0.978861552905715,0.571,0.432,3.67413184445878e-52,"NDN_4"
"NDN_4.RFLNB",2.4509955420143e-51,0.524123130866391,0.823,0.755,5.99979198729681e-47,"NDN_4"
"NDN_4.MT-CYB",5.20667874490485e-50,0.712050126856365,0.644,0.526,1.27454288996526e-45,"NDN_4"
"NDN_4.IER3",2.67187180427598e-46,1.20513013807657,0.371,0.224,6.54047498968718e-42,"NDN_4"
"NDN_4.LINC02009",1.17030397792061e-45,1.18942706715279,0.429,0.297,2.86478710755185e-41,"NDN_4"
"NDN_4.IL18RAP",2.95858106882386e-41,0.897359589750472,0.426,0.282,7.24231059837394e-37,"NDN_4"
"NDN_4.PTPRE",3.46501784136251e-41,0.974326374452172,0.42,0.284,8.4820171738713e-37,"NDN_4"
"NDN_4.HP",3.3771048867065e-40,0.645839860116201,0.663,0.567,8.26681505216885e-36,"NDN_4"
"NDN_4.RRP12",3.75969789291009e-37,1.81254298045595,0.172,0.064,9.2033644720546e-33,"NDN_4"
"NDN_4.FOSB",4.23448649970754e-36,1.04906083175609,0.298,0.165,1.03655995026341e-31,"NDN_4"
"NDN_4.TSC22D3",2.18648604516606e-31,1.08125135217366,0.315,0.196,5.352299189962e-27,"NDN_4"
"NDN_4.STK17B",2.74679058180267e-29,0.756624363976901,0.451,0.341,6.72386866519476e-25,"NDN_4"
"NDN_4.XIST",2.05509958512583e-28,1.85427183051475,0.142,0.055,5.03067827442952e-24,"NDN_4"
"NDN_4.MYADM",7.99924216776985e-28,1.41076997755202,0.226,0.126,1.95813449024838e-23,"NDN_4"
"NDN_4.MCL1",3.2168453629144e-27,0.603159768226715,0.533,0.431,7.87451576387817e-23,"NDN_4"
"NDN_4.NAMPT",4.4160001607635e-27,1.13053612011697,0.29,0.183,1.0809926793533e-22,"NDN_4"
"NDN_4.MPO",2.93240861734063e-26,0.633833199157976,0.391,0.283,7.17824305438814e-22,"NDN_4"
"NDN_4.S100A4",5.17064729576223e-26,0.819164716350157,0.368,0.255,1.26572275152964e-21,"NDN_4"
"NDN_4.DUSP6",1.16640770595909e-25,1.06483411243354,0.255,0.151,2.85524942341726e-21,"NDN_4"
"NDN_4.ADGRE5",2.97896467864495e-25,1.34413868631689,0.202,0.109,7.29220763685497e-21,"NDN_4"
"NDN_4.CTSH",4.20605783403273e-25,3.29794867722639,0.056,0.006,1.02960089719287e-20,"NDN_4"
"NDN_4.CKAP4",1.76377200734589e-23,0.564332073034275,0.57,0.511,4.31753749678201e-19,"NDN_4"
"NDN_4.KBTBD7",3.75891585999357e-22,0.925767216606624,0.351,0.264,9.20145013367827e-18,"NDN_4"
"NDN_4.PDE4B",5.4604346212449e-20,2.13728305172046,0.061,0.014,1.33665979093454e-15,"NDN_4"
"NDN_4.NAV3",6.55492416137059e-19,1.11331021712409,0.13,0.059,1.60457988546191e-14,"NDN_4"
"NDN_4.CLEC4E",1.75426331756339e-18,0.954339903620694,0.256,0.176,4.29426117506341e-14,"NDN_4"
"NDN_4.NCF4",3.27937973031429e-18,0.528953278583545,0.535,0.485,8.02759364183636e-14,"NDN_4"
"NDN_4.PER1",7.47551851148994e-18,1.57724421347445,0.084,0.03,1.82993217642762e-13,"NDN_4"
"NDN_4.KLF2",9.07443736680374e-18,1.10969023104711,0.224,0.149,2.22133152301989e-13,"NDN_4"
"NDN_4.SMAP2",9.39292073644115e-18,0.627749076249384,0.409,0.335,2.29929306707343e-13,"NDN_4"
"NDN_4.CCL4",1.09007242727004e-17,2.88622315850197,0.048,0.009,2.66838829471433e-13,"NDN_4"
"NDN_4.RGCC",1.87656650524938e-17,0.659378671434033,0.449,0.383,4.59364714819997e-13,"NDN_4"
"NDN_4.RNF144B",3.36253428092392e-17,0.849321677536886,0.241,0.16,8.23114766627367e-13,"NDN_4"
"NDN_4.WTAP",1.62076434478113e-15,0.509834021185461,0.481,0.423,3.96746903958973e-11,"NDN_4"
"NDN_4.C16orf54",2.11200078741818e-15,1.49557635893745,0.125,0.066,5.16996672752095e-11,"NDN_4"
"NDN_4.CEACAM21",5.55681356795604e-15,0.801812781399025,0.194,0.122,1.36025239329996e-10,"NDN_4"
"NDN_4.ZFP36L2",7.4336095873427e-15,0.667064719512936,0.345,0.277,1.81967329088562e-10,"NDN_4"
"NDN_4.YPEL5",1.43117837091256e-14,0.608613552905617,0.401,0.344,3.50338153415685e-10,"NDN_4"
"NDN_4.RAB11FIP1",1.43814676901954e-14,0.993100397892881,0.256,0.189,3.52043947588294e-10,"NDN_4"
"NDN_4.FLVCR1",2.9573116530562e-14,0.809684018931631,0.221,0.149,7.23920319551627e-10,"NDN_4"
"NDN_4.CCL5",6.23508308803434e-14,1.6162186867319,0.052,0.015,1.52628598911993e-09,"NDN_4"
"NDN_4.EMP3",1.57077656991373e-13,0.506690083336921,0.453,0.401,3.84510396549182e-09,"NDN_4"
"NDN_4.RNF145",1.59475927276294e-13,0.635612692055504,0.355,0.295,3.90381122379639e-09,"NDN_4"
"NDN_4.ATP2A3",1.71245149877306e-13,0.6507668672634,0.296,0.23,4.19191002384658e-09,"NDN_4"
"NDN_4.NLRP12",6.35316971913828e-13,0.97867178617041,0.155,0.096,1.55519241554786e-08,"NDN_4"
"NDN_4.OSCAR",8.00864878611802e-13,0.546444691626971,0.406,0.353,1.96043713635383e-08,"NDN_4"
"NDN_4.OGFRL1",1.49846345353917e-12,0.500439612359712,0.373,0.309,3.66808868791854e-08,"NDN_4"
"NDN_4.ACAD8",1.70822132730376e-12,1.05753887165121,0.15,0.092,4.18155498710687e-08,"NDN_4"
"NDN_4.LONRF1",1.71617618692734e-12,0.940733238550301,0.153,0.094,4.20102768797942e-08,"NDN_4"
"NDN_4.AGFG1",2.86986614692133e-12,0.533986566823424,0.367,0.306,7.02514534104871e-08,"NDN_4"
"NDN_4.PRDX5",3.13561157734325e-12,0.603912365454842,0.394,0.347,7.67566358017853e-08,"NDN_4"
"NDN_4.SERPINA1",4.9953945879364e-12,0.74370130361896,0.291,0.234,1.22282264118095e-07,"NDN_4"
"NDN_4.TRPS1",7.2088723210612e-12,1.17510274338965,0.084,0.04,1.76465985547257e-07,"NDN_4"
