"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"NDN_4.LYZ",0,0.775524666789683,0.999,0.999,0,"NDN_4"
"NDN_4.FOLR3",8.32510498399135e-286,2.84178986453815,0.66,0.278,2.03790244903124e-281,"NDN_4"
"NDN_4.LCN2",1.17736805905699e-271,0.697153574364169,0.997,0.994,2.88207927176561e-267,"NDN_4"
"NDN_4.CAMP",4.10473654787641e-216,0.65692492078005,0.999,0.99,1.00479845955467e-211,"NDN_4"
"NDN_4.CRISP3",5.31501846157735e-178,0.695423746856648,0.975,0.878,1.30106336920952e-173,"NDN_4"
"NDN_4.HP",6.01957182532664e-173,0.92685489523488,0.875,0.567,1.47353098712171e-168,"NDN_4"
"NDN_4.IER3",6.68250406240173e-164,1.62743287122007,0.573,0.224,1.63581016943532e-159,"NDN_4"
"NDN_4.HSPA1A",4.20215098949881e-143,0.930423492373278,0.809,0.469,1.02864454071941e-138,"NDN_4"
"NDN_4.LTA4H",7.99164025801941e-124,0.567207179827578,0.977,0.835,1.95627361876057e-119,"NDN_4"
"NDN_4.OLR1",4.58466938817293e-123,0.764154699279897,0.861,0.554,1.12228121953085e-118,"NDN_4"
"NDN_4.CD52",1.7735142116645e-120,3.56227330284592,0.247,0.032,4.34138543873354e-116,"NDN_4"
"NDN_4.GAPDH",8.71593952248577e-105,0.505989260077683,0.968,0.847,2.13357483570929e-100,"NDN_4"
"NDN_4.S100A12",7.27844150060923e-101,1.00573821552367,0.912,0.702,1.78168969493413e-96,"NDN_4"
"NDN_4.LST1",3.44724756779522e-93,0.718168982436275,0.746,0.462,8.43851732120593e-89,"NDN_4"
"NDN_4.C5AR1",8.40318217139248e-91,1.15808082053233,0.382,0.136,2.05701496373517e-86,"NDN_4"
"NDN_4.XAF1",3.9431507400772e-85,2.98125287769104,0.171,0.016,9.65243869663497e-81,"NDN_4"
"NDN_4.IFI6",7.63046660548572e-82,3.63395887223389,0.166,0.017,1.86786192035685e-77,"NDN_4"
"NDN_4.TPM1",4.25905849815707e-78,1.25557202468123,0.343,0.127,1.04257492976387e-73,"NDN_4"
"NDN_4.MX1",2.60722758885153e-75,5.24207629368121,0.128,0.004,6.38223241474965e-71,"NDN_4"
"NDN_4.ADARB2",1.08711572234415e-71,1.10189058295184,0.295,0.095,2.66115057672626e-67,"NDN_4"
"NDN_4.ISG15",1.24177916553132e-69,2.97226351560344,0.175,0.033,3.03975121930411e-65,"NDN_4"
"NDN_4.S100A4",3.15498981612556e-69,0.96791441528962,0.484,0.255,7.72309957089376e-65,"NDN_4"
"NDN_4.SAMD9L",2.02007964520465e-68,0.910078836007062,0.467,0.238,4.94495296349646e-64,"NDN_4"
"NDN_4.TSPAN2",1.12397932897231e-64,0.646218362400975,0.525,0.274,2.75138899939131e-60,"NDN_4"
"NDN_4.IFI44",7.57709341816526e-61,2.61352862607296,0.138,0.019,1.85479669783267e-56,"NDN_4"
"NDN_4.SLC35F1",5.67447420841347e-60,1.5825188419057,0.195,0.049,1.38905454147753e-55,"NDN_4"
"NDN_4.DNAJB1",6.15300639689179e-60,0.835741272291271,0.428,0.215,1.50619443589514e-55,"NDN_4"
"NDN_4.AC020656.1",1.05030362963218e-55,0.880455523435862,0.367,0.171,2.57103825497661e-51,"NDN_4"
"NDN_4.LGALS3",3.06827164094949e-55,0.573561412795613,0.582,0.336,7.51082214988026e-51,"NDN_4"
"NDN_4.MX2",5.2048594693985e-53,1.98028777588358,0.162,0.039,1.27409754951406e-48,"NDN_4"
"NDN_4.ORM1",1.22138426817966e-52,0.837182339179465,0.319,0.139,2.98982655007698e-48,"NDN_4"
"NDN_4.MYADM",5.83319568740719e-51,0.966556857456098,0.294,0.126,1.42790797232041e-46,"NDN_4"
"NDN_4.PTAFR",7.27051447518025e-50,0.676091331048518,0.405,0.207,1.77974923837937e-45,"NDN_4"
"NDN_4.HMGN2",2.23023893071696e-49,0.546224563199128,0.559,0.329,5.45940187850205e-45,"NDN_4"
"NDN_4.FAM118A",4.07363639768583e-49,2.14340228442851,0.126,0.022,9.97185453789515e-45,"NDN_4"
"NDN_4.NCF1",8.36254605570797e-48,0.645476083816413,0.403,0.207,2.04706764897675e-43,"NDN_4"
"NDN_4.BMX",1.85020001935833e-43,0.704724336648368,0.262,0.11,4.52910462738727e-39,"NDN_4"
"NDN_4.FAM217B",2.01310008881973e-43,0.708188660350162,0.278,0.123,4.92786770742182e-39,"NDN_4"
"NDN_4.IGSF6",2.34820061835023e-43,1.03345424323165,0.208,0.076,5.74816029365953e-39,"NDN_4"
"NDN_4.TAGAP",2.49340182240018e-43,0.897076212910926,0.286,0.131,6.10359832105341e-39,"NDN_4"
"NDN_4.DRC1",3.77517880932618e-42,1.53977777928509,0.125,0.028,9.24126020734956e-38,"NDN_4"
"NDN_4.STAT1",4.15148874349894e-42,0.848424918899274,0.295,0.141,1.01624292952111e-37,"NDN_4"
"NDN_4.RGS2",4.21403482446897e-42,1.14722967882868,0.239,0.1,1.03155358468176e-37,"NDN_4"
"NDN_4.CD101",9.63587647447485e-42,0.984238156469061,0.205,0.076,2.3587662021867e-37,"NDN_4"
"NDN_4.SP110",2.17917654319948e-41,0.813859630369187,0.309,0.152,5.33440626009801e-37,"NDN_4"
"NDN_4.CSTB",2.40170825770847e-40,0.824807680866694,0.274,0.128,5.87914164404456e-36,"NDN_4"
"NDN_4.IL1RN",2.85614860267406e-40,1.70861592054722,0.115,0.024,6.99156616448584e-36,"NDN_4"
"NDN_4.PSME1",5.74622082621363e-39,0.544165585174186,0.336,0.168,1.40661739604884e-34,"NDN_4"
"NDN_4.NRBF2",8.16948680091707e-39,0.680373892912498,0.3,0.146,1.99980867399649e-34,"NDN_4"
"NDN_4.CITED2",3.82699231058325e-38,0.643274610290866,0.294,0.143,9.36809447707674e-34,"NDN_4"
"NDN_4.XIST",1.15894220165888e-37,1.51808337506912,0.162,0.055,2.83697461544078e-33,"NDN_4"
"NDN_4.RNF213",3.38631840320515e-37,0.714066045480318,0.34,0.183,8.28936881920589e-33,"NDN_4"
"NDN_4.HSH2D",3.708691049264e-37,1.09212034696962,0.168,0.059,9.07850481949334e-33,"NDN_4"
