pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.458521870286576	0.940146809712027	0.069119845655101	0.584761215210522	1.03465046895242	3	C3 ORM1
HALLMARK_ALLOGRAFT_REJECTION	0.394348894348894	0.926657883179622	0.066436413766281	0.476900550909042	1.0618986144927	7	TNF GPR65 GBP2 LTB IGSF6
HALLMARK_ANDROGEN_RESPONSE	0.145161290322581	0.587797619047619	0.16440575583821	0.928813559322034	1.22756523391892	1	STEAP4
HALLMARK_ANGIOGENESIS	0.870860927152318	0.96791005881915	0.0433636987883266	0.435374149659864	0.692877593137219	2	S100A4 OLR1
HALLMARK_APICAL_JUNCTION	0.98991935483871	0.98991935483871	0.0465084048719157	0.508474576271186	0.672024763094301	1	FBN1
HALLMARK_APOPTOSIS	0.119791666666667	0.587797619047619	0.143758989039275	0.666167581199008	1.36586392706912	5	TNF TNFSF10 IER3 CD14
HALLMARK_BILE_ACID_METABOLISM	0.838612368024133	0.96791005881915	0.0408229003677776	0.409056071461603	0.723765607493677	3	AQP9 HSD17B11 SULT1B1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.93815987933635	0.981047937569677	0.0356176233437444	0.323963867332791	0.573207248601193	3	MVK LGALS3 CD9
HALLMARK_COAGULATION	0.813267813267813	0.96791005881915	0.0326513265618535	0.319737758344977	0.711949445099906	7	C3 CTSH F12 FBN1 OLR1
HALLMARK_COMPLEMENT	0.884279475982533	0.96791005881915	0.0221551238181839	0.249203929001547	0.634257973268206	12	C3 CTSH LAP3 S100A12 BRPF3 HSPA1A F5 OLR1 IRF7
HALLMARK_DNA_REPAIR	0.895316804407714	0.96791005881915	0.0335297167141207	0.318095679346566	0.613278798666052	4	CMPK2 PDE4B CETN2 ERCC8
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.841597796143251	0.96791005881915	0.0364548541965309	0.356850003400599	0.687995957188278	4	TPM1 FSTL3 FBN1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.8675	0.96791005881915	0.0626618230932492	-0.418367346938776	-0.705291446309496	2	TFF3 BHLHE40
HALLMARK_ESTROGEN_RESPONSE_LATE	0.15	0.587797619047619	0.181383128498408	-0.80952380952381	-1.36471027822488	2	CD9 TFF3
HALLMARK_FATTY_ACID_METABOLISM	0.532156368221942	0.940146809712027	0.053457214108991	0.447459296591609	0.963928942974056	6	XIST G0S2 UBE2L6 HSPH1
HALLMARK_G2M_CHECKPOINT	0.258893280632411	0.739695087521175	0.11776578836269	-0.888135593220339	-1.16325687307128	1	HMGN2
HALLMARK_GLYCOLYSIS	0.639322916666667	0.940146809712027	0.0465084048719157	0.437369709722707	0.89675259823921	5	PPFIA4 IER3 PGAM1
HALLMARK_HEME_METABOLISM	0.159274193548387	0.587797619047619	0.156312403073186	0.922033898305085	1.21860490374433	1	C3
HALLMARK_HYPOXIA	0.751842751842752	0.96791005881915	0.0363783055518278	0.353479296710085	0.787080607713292	7	PPFIA4 IER3 S100A4 BHLHE40
HALLMARK_IL2_STAT5_SIGNALING	0.337837837837838	0.851197982345523	0.0741758965588009	0.500862349286615	1.11525355495019	7	GPR65 TNFSF10 DRC1 LTB BHLHE40 SELL
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.340479192938209	0.851197982345523	0.0751181635276302	0.513093308476055	1.10531951007331	6	TNF IRF9 CD14 LTB
HALLMARK_INFLAMMATORY_RESPONSE	0.638766519823789	0.940146809712027	0.038875878582578	0.342626787042837	0.861774643277553	11	AQP9 TNFSF10 LY6E CD14 C5AR1 PDE4B SELL BEST1 OLR1 IRF7 PTAFR
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.000151988546620625	0.00303977093241249	0.518848077743792	0.62254346796699	1.87083136422924	33	OAS1 IFIT3 MX1 IFIT2 RSAD2 EPSTI1 DDX60 ISG15 IFI44 HERC6 CMPK2 IFI44L DHX58 HELZ2 GBP2 IRF9 UBE2L6 LAP3 LY6E
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.15828062559615e-06	8.63312250238461e-05	0.627256739718528	0.646912721243263	1.97365991261878	42	IFIT1 IFIT3 MX1 OAS3 IFIT2 OAS2 RSAD2 EPSTI1 DDX60 XAF1 ISG15 IFI44 ST3GAL5 HERC6 MX2 CMPK2 IFI44L DHX58 TNFSF10 HELZ2 IRF9 UBE2L6 LAP3 LY6E
HALLMARK_KRAS_SIGNALING_DN	0.0215497458894291	0.215497458894291	0.352487857583619	0.860068259385666	1.52176650016727	3	MX1 RSAD2 IFI44L
HALLMARK_KRAS_SIGNALING_UP	0.956521739130435	0.981047937569677	0.0762797180809272	-0.255370979211557	-0.578333179123968	4	ADAM8 GADD45G PTGS2
HALLMARK_MTORC1_SIGNALING	0.115384615384615	0.587797619047619	0.276500599254472	-0.550753239893844	-1.41381762221829	5	GAPDH FGL2 CD9 LTA4H
HALLMARK_MYOGENESIS	0.796380090497738	0.96791005881915	0.0431901998334182	0.430034256885942	0.760883475133461	3	PPFIA4 BHLHE40
HALLMARK_NOTCH_SIGNALING	0.618768328445748	0.940146809712027	0.0883594442500905	-0.42320819112628	-0.87728109890935	3	ARRB1 NOTCH1 ST3GAL6
HALLMARK_P53_PATHWAY	0.610192837465565	0.940146809712027	0.0512184348540341	0.469426436749651	0.90503989800583	4	IER3 ZFP36L1 S100A4
HALLMARK_PEROXISOME	0.658102766798419	0.940146809712027	0.0646484568421928	-0.691525423728814	-0.905741992773054	1	HSD17B11
HALLMARK_PROTEIN_SECRETION	0.41699604743083	0.926657883179622	0.0883594442500905	-0.816949152542373	-1.0700187267564	1	ARFIP1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.576612903225807	0.940146809712027	0.0721797965581253	0.71864406779661	0.949794998506613	1	HHEX
HALLMARK_TGF_BETA_SIGNALING	0.539525691699605	0.940146809712027	0.0745500777420554	-0.752542372881356	-0.985660403900088	1	SKI
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.176339285714286	0.587797619047619	0.105520936843198	0.530554089784635	1.31002826852014	10	IFIT2 TNF SLC16A6 IER3 G0S2
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.00659332017607798	0.0879109356810397	0.407017918923954	0.941765465115287	1.49877568357841	2	IFIT1 SDAD1
HALLMARK_UV_RESPONSE_DN	0.63049853372434	0.940146809712027	0.0873098257637931	-0.419795221843003	-0.8702062513375	3	CITED2 DBP BHLHE40
HALLMARK_UV_RESPONSE_UP	0.235099337748344	0.723382577687214	0.112378519110475	0.756503782566242	1.20394038202131	2	CDO1 DNAJB1
