pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.163398692810458	0.706164047151277	0.120985142145252	0.673006242171461	1.37508680968113	5	CCL4 MMP9 CCL5 GZMA
HALLMARK_ANGIOGENESIS	0.711198428290766	0.834885111471769	0.060640400949416	-0.634615384615385	-0.864747756112659	1	S100A4
HALLMARK_APICAL_JUNCTION	0.681159420289855	0.834885111471769	0.048505983646947	0.463294606544917	0.832930865931468	3	MMP9 PFN1
HALLMARK_APOPTOSIS	0.383104125736739	0.706164047151277	0.0928481214159878	-0.807692307692308	-1.10058805323429	1	ANXA1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.789783889980354	0.852966601178782	0.0557104226766671	-0.615384615384615	-0.8385432786547	1	S100A11
HALLMARK_COAGULATION	0.411954765751212	0.706164047151277	0.0780892306943345	0.647835181618725	1.03679215129058	2	MMP9 ANXA1
HALLMARK_COMPLEMENT	0.302992518703242	0.706164047151277	0.0806388495950661	0.535769474967967	1.16344181709163	6	CCL5 S100A12 LTF GZMA S100A9 PFN1
HALLMARK_E2F_TARGETS	0.50682261208577	0.760233918128655	0.0770736734944102	0.730769230769231	1.00787401574803	1	NBN
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.623781676413255	0.834885111471769	0.0665892104103933	0.673076923076923	0.928305014504766	1	EMP3
HALLMARK_ESTROGEN_RESPONSE_LATE	0.788368336025848	0.852966601178782	0.046788296531803	0.490196078431373	0.78450732706607	2	LTF S100A9
HALLMARK_FATTY_ACID_METABOLISM	0.50682261208577	0.760233918128655	0.0770736734944102	0.730769230769231	1.00787401574803	1	NBN
HALLMARK_G2M_CHECKPOINT	0.212475633528265	0.706164047151277	0.130777137971974	0.903846153846154	1.24658101947783	1	MT2A
HALLMARK_HYPOXIA	0.856946354883081	0.889905830070892	0.0355420211253902	0.36344067843822	0.699046607556944	4	MT2A MT1E
HALLMARK_IL2_STAT5_SIGNALING	0.418467583497053	0.706164047151277	0.0878312634480124	-0.788461538461538	-1.07438357577633	1	LTB
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.418467583497053	0.706164047151277	0.0878312634480124	-0.788461538461538	-1.07438357577633	1	LTB
HALLMARK_INFLAMMATORY_RESPONSE	0.591304347826087	0.834885111471769	0.0550211117163117	0.502920248612339	0.904171540642642	3	CCL5 EMP3
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.221458046767538	0.706164047151277	0.104343952581949	0.642319347700725	1.2354455282988	4	MT2A CCL5 GZMA
HALLMARK_KRAS_SIGNALING_UP	0.245614035087719	0.706164047151277	0.120433371642259	0.884615384615385	1.22005801906341	1	MMP9
HALLMARK_MYC_TARGETS_V1	0.337628865979382	0.706164047151277	0.11776578836269	-0.666666666666667	-1.13656387665198	2	RPS5 PSMA7
HALLMARK_P53_PATHWAY	0.355670103092784	0.706164047151277	0.114266502484433	-0.647058823529412	-1.10313552733869	2	BTG1 S100A4
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.889980353634578	0.889980353634578	0.0501934252649434	-0.557692307692308	-0.759929846280821	1	PFN1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.196463654223969	0.706164047151277	0.137250779610133	-0.923076923076923	-1.25781491798205	1	JUNB
HALLMARK_TGF_BETA_SIGNALING	0.196463654223969	0.706164047151277	0.137250779610133	-0.923076923076923	-1.25781491798205	1	JUNB
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.196698762035763	0.706164047151277	0.111918316325105	0.660648616981683	1.27070028724574	4	CCL4 CCL5
HALLMARK_UV_RESPONSE_DN	0.676413255360624	0.834885111471769	0.0626618230932492	0.653846153846154	0.901782014090344	1	MT1E
HALLMARK_UV_RESPONSE_UP	0.0183212301690975	0.494673214565632	0.352487857583619	-0.941176470588235	-1.60456076703809	2	BTG1 JUNB
HALLMARK_XENOBIOTIC_METABOLISM	0.212475633528265	0.706164047151277	0.130777137971974	0.903846153846154	1.24658101947783	1	MT2A
