pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.19349593495935	0.605	0.124434168630393	0.789473684210526	1.24745449366081	2	CCL5 MMP9
HALLMARK_ANGIOGENESIS	0.806	0.829268292682927	0.0555947097758869	0.6	0.868959512407488	1	S100A4
HALLMARK_APICAL_JUNCTION	0.506	0.761968085106383	0.0785029047348687	0.75	1.08619939050936	1	MMP9
HALLMARK_COAGULATION	0.506	0.761968085106383	0.0785029047348687	0.75	1.08619939050936	1	MMP9
HALLMARK_COMPLEMENT	0.507978723404255	0.761968085106383	0.0580983576873206	0.529411764705882	0.982274414631054	4	CCL5 S100A12 S100A9 LTF
HALLMARK_ESTROGEN_RESPONSE_LATE	0.829268292682927	0.829268292682927	0.044774889329693	0.473684210526316	0.748472696196486	2	S100A9 LTF
HALLMARK_FATTY_ACID_METABOLISM	0.0536585365853659	0.402439024390244	0.248911114434702	0.894736842105263	1.41378175948225	2	XIST G0S2
HALLMARK_HYPOXIA	0.578861788617886	0.789356984478936	0.0614364107201271	0.631578947368421	0.997963594928648	2	MT1E S100A4
HALLMARK_IL2_STAT5_SIGNALING	0.822992700729927	0.829268292682927	0.0503964322442957	-0.6	-0.83479587943533	1	AHNAK
HALLMARK_INFLAMMATORY_RESPONSE	0.242	0.605	0.123257226381337	0.9	1.30343926861123	1	CCL5
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.242	0.605	0.123257226381337	0.9	1.30343926861123	1	CCL5
HALLMARK_KRAS_SIGNALING_UP	0.19349593495935	0.605	0.124434168630393	0.789473684210526	1.24745449366081	2	G0S2 MMP9
HALLMARK_P53_PATHWAY	0.806	0.829268292682927	0.0555947097758869	0.6	0.868959512407488	1	S100A4
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0536585365853659	0.402439024390244	0.248911114434702	0.894736842105263	1.41378175948225	2	CCL5 G0S2
HALLMARK_UV_RESPONSE_DN	0.418	0.761968085106383	0.088894528862045	0.8	1.15861268320998	1	MT1E
