pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.944773175542406	0.944773175542406	0.0476387259290825	-0.524390243902439	-0.711627146361406	1	UCP2
HALLMARK_ALLOGRAFT_REJECTION	0.369845360824742	0.874179943767573	0.072003313661988	0.477660952677273	1.10730347273461	6	CCL4 MMP9 SIT1 IL16
HALLMARK_ANGIOGENESIS	0.819512195121951	0.944773175542406	0.0453152441270267	0.469135802469136	0.770925379013293	2	PGLYRP1 S100A4
HALLMARK_APICAL_JUNCTION	0.578402366863905	0.885318029650885	0.0570059526582387	0.490125853343523	0.913388121190325	3	MMP9 PFN1 ACTB
HALLMARK_APOPTOSIS	0.783037475345168	0.944773175542406	0.0562940749700968	-0.609756097560976	-0.827473426001635	1	ANXA1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.85207100591716	0.944773175542406	0.0523759084097997	-0.573170731707317	-0.777825020441537	1	S100A11
HALLMARK_COAGULATION	0.347633136094675	0.874179943767573	0.0824344091527096	0.59445480558943	1.10781333876981	3	MMP9 MMP8
HALLMARK_COMPLEMENT	0.270618556701031	0.874179943767573	0.0886261133285098	0.518807811284953	1.20268924620643	6	S100A12 FCN1 MMP8 LTF S100A9
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.619329388560158	0.894586894586895	0.0675188953767744	0.682926829268293	0.920867050144617	1	EMP3
HALLMARK_ESTROGEN_RESPONSE_LATE	0.578861788617886	0.885318029650885	0.0614364107201271	0.580246913580247	0.953512968779599	2	LTF S100A9
HALLMARK_G2M_CHECKPOINT	0.170731707317073	0.874179943767573	0.133554954557592	0.765432098765432	1.25782561839011	2	MT2A RASAL2
HALLMARK_HEME_METABOLISM	0.775609756097561	0.944773175542406	0.0478299633114229	0.481481481481482	0.791212888987327	2	SLC30A1 UCP2
HALLMARK_HYPOXIA	0.305593451568895	0.874179943767573	0.0850427463764322	0.56309128963459	1.15873002729323	4	ANXA2 MT2A MT1E
HALLMARK_IL2_STAT5_SIGNALING	0.295165394402036	0.874179943767573	0.126253987849115	-0.691358024691358	-1.19239543726236	2	LTB AHNAK
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.532544378698225	0.885318029650885	0.0751181635276302	-0.74390243902439	-1.00951757972199	1	LTB
HALLMARK_INFLAMMATORY_RESPONSE	0.892011834319527	0.944773175542406	0.0370705393657621	0.3625	0.6755472939711	3	EMP3 RGS1 GPR183
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.485207100591716	0.885318029650885	0.0799858801499946	0.768292682926829	1.03597543141269	1	MT2A
HALLMARK_KRAS_SIGNALING_UP	0.173570019723866	0.874179943767573	0.147331213699377	0.926829268292683	1.24974813948198	1	MMP9
HALLMARK_MITOTIC_SPINDLE	0.497041420118343	0.885318029650885	0.0787113806986485	0.75609756097561	1.01953137694583	1	RASAL2
HALLMARK_MYC_TARGETS_V1	0.0737913486005089	0.874179943767573	0.266350657088526	-0.864197530864198	-1.49049429657795	2	RPS5 PSMA7
HALLMARK_P53_PATHWAY	0.921104536489152	0.944773175542406	0.0487989701682839	-0.536585365853659	-0.728176614881439	1	S100A4
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.73767258382643	0.944773175542406	0.0590954798717342	-0.634146341463415	-0.8605723630417	1	PFN1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.284552845528455	0.874179943767573	0.0992333343771191	0.701459622602652	1.15270039628461	2	CCL4 GPR183
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.175542406311637	0.874179943767573	0.14641623786055	-0.914634146341463	-1.24121013900245	1	FUS
HALLMARK_UV_RESPONSE_DN	0.245528455284553	0.874179943767573	0.108394255853397	0.71604938271605	1.17667557849397	2	ANXA2 MT1E
HALLMARK_XENOBIOTIC_METABOLISM	0.485207100591716	0.885318029650885	0.0799858801499946	0.768292682926829	1.03597543141269	1	MT2A
