"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"CD4+ naive T.RPS27",5.08335061450391e-257,1.27792846388902,0.973,0.907,1.24435339692441e-252,"CD4+ naive T"
"CD4+ naive T.MT-CO1",2.34045770096264e-186,0.865694298789259,0.992,0.899,5.72920640618645e-182,"CD4+ naive T"
"CD4+ naive T.AC099560.1",2.42218969481778e-178,1.1007157437713,0.973,0.948,5.92927815394445e-174,"CD4+ naive T"
"CD4+ naive T.S100A8",1.46266358173034e-176,1.31337392012368,0.875,0.66,3.58045418171771e-172,"CD4+ naive T"
"CD4+ naive T.MT-CO2",8.18859362572393e-175,0.941837991548107,0.977,0.882,2.00448583364096e-170,"CD4+ naive T"
"CD4+ naive T.CD52",2.4362770014454e-169,1.34157142842869,0.835,0.583,5.96376247183819e-165,"CD4+ naive T"
"CD4+ naive T.MT-CYB",7.92465787699766e-158,0.876174884875872,0.971,0.854,1.93987700171026e-153,"CD4+ naive T"
"CD4+ naive T.S100A9",6.74185672124801e-142,1.21696191735637,0.831,0.612,1.6503391067943e-137,"CD4+ naive T"
"CD4+ naive T.RPS18",5.83723030491259e-106,0.76255163651722,0.941,0.916,1.42889560633955e-101,"CD4+ naive T"
"CD4+ naive T.ACTB",5.14756568984064e-78,0.768974142877428,0.945,0.919,1.26007260521609e-73,"CD4+ naive T"
"CD4+ naive T.PFN1",8.52009311030005e-71,0.932671762049401,0.792,0.719,2.08563359247035e-66,"CD4+ naive T"
"CD4+ naive T.MT-ND4L",3.92066276110828e-67,1.18448186966648,0.654,0.521,9.59739037291697e-63,"CD4+ naive T"
"CD4+ naive T.ZFP36L2",9.22528784305699e-67,0.905535287229017,0.738,0.616,2.25825821110192e-62,"CD4+ naive T"
"CD4+ naive T.MT-ND4",2.24085324555715e-66,0.515697456449886,0.985,0.915,5.48538465979935e-62,"CD4+ naive T"
"CD4+ naive T.S100A12",4.02514036772341e-59,1.87495669230826,0.328,0.149,9.85314110615014e-55,"CD4+ naive T"
"CD4+ naive T.RPL29",1.37366658434066e-57,0.716339406910055,0.814,0.779,3.36259843180751e-53,"CD4+ naive T"
"CD4+ naive T.MT-ND5",1.67210952364653e-54,0.558197687008541,0.913,0.814,4.09315690293434e-50,"CD4+ naive T"
"CD4+ naive T.RPS5",3.55274277419678e-53,0.663099490540502,0.84,0.816,8.69675903695629e-49,"CD4+ naive T"
"CD4+ naive T.CAMP",4.18452551078599e-51,1.96916911717202,0.327,0.165,1.0243299997853e-46,"CD4+ naive T"
"CD4+ naive T.LTF",5.52277941014517e-48,1.58147685592593,0.4,0.248,1.35192117180944e-43,"CD4+ naive T"
"CD4+ naive T.EMP3",2.40921573692253e-46,1.39480985106053,0.444,0.299,5.89751920241265e-42,"CD4+ naive T"
"CD4+ naive T.ARHGDIB",4.03976281994132e-46,0.747087375357824,0.74,0.699,9.88893540693437e-42,"CD4+ naive T"
"CD4+ naive T.MT2A",2.64667474813552e-45,1.72579536129602,0.402,0.238,6.47879511596094e-41,"CD4+ naive T"
"CD4+ naive T.ARL4C",2.88200586740569e-42,1.41802073844544,0.365,0.219,7.05486216282238e-38,"CD4+ naive T"
"CD4+ naive T.BCAS3",1.11780263483875e-34,2.02635299839087,0.179,0.069,2.73626906982177e-30,"CD4+ naive T"
"CD4+ naive T.RPS7",2.67421719438174e-33,0.501284197075426,0.851,0.851,6.54621627012707e-29,"CD4+ naive T"
"CD4+ naive T.SH3BGRL3",3.38818838132758e-30,0.911451595396882,0.486,0.393,8.29394633865179e-26,"CD4+ naive T"
"CD4+ naive T.MMP9",1.15836292707061e-27,2.21131585196285,0.136,0.048,2.83555660917614e-23,"CD4+ naive T"
"CD4+ naive T.S100A4",3.54136509070704e-27,1.02742943032603,0.425,0.321,8.66890760554175e-23,"CD4+ naive T"
"CD4+ naive T.NOP53",3.81344728584707e-25,0.681449323510948,0.592,0.545,9.33493761102504e-21,"CD4+ naive T"
"CD4+ naive T.IL16",5.45892793530521e-24,1.21834977207522,0.281,0.179,1.33629096928336e-19,"CD4+ naive T"
"CD4+ naive T.RPL18A",3.96932583865424e-20,0.721196771327309,0.484,0.433,9.71651272044171e-16,"CD4+ naive T"
"CD4+ naive T.GPR183",6.15291507660532e-20,0.930295306226979,0.346,0.252,1.50617208160222e-15,"CD4+ naive T"
"CD4+ naive T.LCN2",1.56798793226099e-19,1.36998824351346,0.2,0.115,3.83827765938168e-15,"CD4+ naive T"
"CD4+ naive T.TRAC",2.82868428755064e-19,0.599640338518293,0.575,0.54,6.92433626749522e-15,"CD4+ naive T"
"CD4+ naive T.MT-ATP8",7.71082902062792e-19,0.970282540693408,0.406,0.349,1.88753383595951e-14,"CD4+ naive T"
"CD4+ naive T.TRBC2",2.86589085137474e-18,0.558960437465033,0.675,0.638,7.01541421508024e-14,"CD4+ naive T"
"CD4+ naive T.RASAL2",3.10469690640279e-18,1.61567191826529,0.175,0.098,7.5999875571834e-14,"CD4+ naive T"
"CD4+ naive T.CRISP3",1.2771368661019e-14,2.0907212725155,0.077,0.029,3.12630333453084e-10,"CD4+ naive T"
"CD4+ naive T.ANXA1",3.82572860454562e-14,0.942612049166802,0.277,0.205,9.36500105106723e-10,"CD4+ naive T"
"CD4+ naive T.ABO",8.31795081674364e-14,1.97883547072878,0.062,0.02,2.03615118043068e-09,"CD4+ naive T"
"CD4+ naive T.PADI4",1.72528479337384e-13,1.59756030751071,0.122,0.064,4.22332464569983e-09,"CD4+ naive T"
"CD4+ naive T.CD27",2.57770755435267e-13,1.11900429469526,0.244,0.178,6.30997032229989e-09,"CD4+ naive T"
"CD4+ naive T.PSMA7",1.33461440310883e-12,0.66797770815498,0.448,0.409,3.26700259737012e-08,"CD4+ naive T"
"CD4+ naive T.CD3G",6.36666398093439e-12,0.757721649791996,0.359,0.31,1.55849567589293e-07,"CD4+ naive T"
"CD4+ naive T.FCN1",1.07162981751248e-11,1.8342726415982,0.085,0.039,2.6232426302888e-07,"CD4+ naive T"
