"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"CD4+ naive T.CD52",0,1.49368637751091,0.942,0.583,0,"CD4+ naive T"
"CD4+ naive T.RPS29",1.098646640205e-277,0.74947280321216,0.997,0.988,2.68937711055781e-273,"CD4+ naive T"
"CD4+ naive T.S100A8",1.2690624450158e-235,1.16990582120175,0.955,0.66,3.10653795915418e-231,"CD4+ naive T"
"CD4+ naive T.TMSB4X",1.06774112110299e-223,0.63226756696673,0.998,0.982,2.61372349034801e-219,"CD4+ naive T"
"CD4+ naive T.AC099560.1",2.13433367771111e-222,0.738438740181575,0.988,0.948,5.22463540966903e-218,"CD4+ naive T"
"CD4+ naive T.S100A9",6.31999892595733e-221,1.17414771405702,0.946,0.612,1.5470725370851e-216,"CD4+ naive T"
"CD4+ naive T.RPS27",5.5039061854396e-211,0.829977317320073,0.968,0.907,1.34730119513376e-206,"CD4+ naive T"
"CD4+ naive T.SLC35F1",2.61106572429703e-205,2.05787598976778,0.568,0.158,6.39162778650669e-201,"CD4+ naive T"
"CD4+ naive T.LTB",6.71321066477602e-181,1.76931732558196,0.668,0.288,1.64332683863052e-176,"CD4+ naive T"
"CD4+ naive T.CAMP",1.50676795450356e-162,1.88945188886726,0.529,0.165,3.68841727582928e-158,"CD4+ naive T"
"CD4+ naive T.S100A12",1.93561477240817e-159,1.86348903148574,0.506,0.149,4.73819140137796e-155,"CD4+ naive T"
"CD4+ naive T.RPS18",5.84328433826058e-158,0.696168841609509,0.972,0.916,1.43037757316281e-153,"CD4+ naive T"
"CD4+ naive T.RPS3A",1.89204302173838e-139,0.732618814729483,0.953,0.815,4.63153211291339e-135,"CD4+ naive T"
"CD4+ naive T.RPL37",1.32255153189026e-138,0.50117354851213,0.994,0.976,3.23747389491418e-134,"CD4+ naive T"
"CD4+ naive T.ACTB",4.6590625927278e-135,0.637880603015055,0.985,0.919,1.14049193207384e-130,"CD4+ naive T"
"CD4+ naive T.LTF",3.68384422990764e-120,1.34833006287459,0.583,0.248,9.01768229039092e-116,"CD4+ naive T"
"CD4+ naive T.EMP3",6.62300412617255e-117,1.29490958202702,0.619,0.299,1.62124518004578e-112,"CD4+ naive T"
"CD4+ naive T.TRAC",9.21208406294038e-116,0.986423008626963,0.809,0.54,2.25502605776717e-111,"CD4+ naive T"
