pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.283203125	0.800764618993831	0.11101149245045	-0.869109947643979	-1.16125234438102	1	RTN3
HALLMARK_ALLOGRAFT_REJECTION	0.892818863879957	0.895595432300163	0.0204893625108019	0.214095405237048	0.644899315564772	15	CCL5 PRF1 IGSF6 SPI1 LTB GZMA FLNA
HALLMARK_ANDROGEN_RESPONSE	0.0764525993883792	0.538336052202284	0.287857117255149	-0.751322751322751	-1.52562370233662	3	B2M MYL12A NCOA4
HALLMARK_ANGIOGENESIS	0.825192802056555	0.890756302521008	0.066436413766281	-0.436842105263158	-0.749174149723166	2	S100A4 PGLYRP1
HALLMARK_APICAL_JUNCTION	0.177377892030848	0.730931040790196	0.16823816568964	-0.736842105263158	-1.26366724049691	2	PFN1 SKAP2
HALLMARK_APOPTOSIS	0.841269841269841	0.890756302521008	0.034566432206351	0.347184521815428	0.717998241191264	4	PRF1 CASP1 IFITM3
HALLMARK_BILE_ACID_METABOLISM	0.76218611521418	0.890756302521008	0.0442407423477375	0.436565903833902	0.810775495600279	3	AQP9 OPTN PRDX5
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.357259380097879	0.800764618993831	0.0862865626267245	0.673684210526316	1.09644497954745	2	FBXO6 S100A11
HALLMARK_COMPLEMENT	0.813348416289593	0.890756302521008	0.0285743975105342	0.269435951994509	0.73062604477391	10	CCL5 MSRB1 GZMK CASP1 GZMA S100A9 S100A12 LTF PSMB9
HALLMARK_DNA_REPAIR	0.451171875	0.81865889212828	0.0833634065110386	-0.780104712041885	-1.04232891152272	1	NT5C3A
HALLMARK_E2F_TARGETS	0.328125	0.800764618993831	0.101713902282311	-0.842931937172775	-1.12627486412858	1	NAA38
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.356275303643725	0.800764618993831	0.147331213699377	-0.48936170212766	-1.09773606340988	4	EMP3 IL32 FLNA BASP1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.376146788990826	0.800764618993831	0.122107920287081	-0.518518518518519	-1.05289523119006	3	ISG20 LTF S100A9
HALLMARK_FATTY_ACID_METABOLISM	0.0101703565743475	0.366132836676511	0.380730400722792	0.853196049984269	1.58452697335105	3	XIST G0S2
HALLMARK_G2M_CHECKPOINT	0.629690048939641	0.885705387729679	0.057609110864425	0.560679913463676	0.91252647255911	2	RASAL2 MT2A
HALLMARK_GLYCOLYSIS	0.576171875	0.885705387729679	0.0706196247122591	-0.717277486910995	-0.958382958916863	1	ISG20
HALLMARK_HEME_METABOLISM	0.609254498714653	0.885705387729679	0.0819778796501272	-0.521052631578947	-0.893593262922812	2	NCOA4 OPTN
HALLMARK_HYPOXIA	0.0684014251521947	0.538336052202284	0.287805130535564	-0.582887700534759	-1.51183215421441	5	GAPDH ISG20 MT2A PRDX5 S100A4
HALLMARK_IL2_STAT5_SIGNALING	0.477477477477478	0.81865889212828	0.132846300606183	-0.385026737967914	-0.998641422967314	5	GBP4 AHNAK IFITM3 LTB FGL2
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.553846153846154	0.885705387729679	0.0523759084097997	0.423503876615969	0.942285335085969	5	CSF2RB CSF3R LTB STAT2
HALLMARK_INFLAMMATORY_RESPONSE	0.0465116279069768	0.538336052202284	0.219250346703755	0.539020179512851	1.50831336509412	11	FFAR2 CCL5 AQP9 PTAFR C5AR1 FPR1 CSF3R
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.719919110212336	0.890756302521008	0.0290688186426821	0.23617201494245	0.839611052662977	36	ISG15 IFIT2 OAS1 MX1 OASL IFIT3 IFI44L EPSTI1 SAMD9L HELZ2 HERC6 TRIM21 CASP1 RSAD2 LY6E PARP12 STAT2 IFIH1 IFITM3 EIF2AK2 SAMD9 DDX60 BST2 IFI35 PSME2 PARP14 PARP9
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.223340040241449	0.730931040790196	0.0855356947987884	0.32560598440347	1.19366249963214	47	CSF2RB CCL5 TNFAIP2 ISG15 IFIT2 MX1 OASL IFIT3 PTGS2 IFI44L IFIT1 FPR1 EPSTI1 SAMD9L HELZ2 HERC6 FGL2 TRIM21 CASP1 ITGB7 RSAD2 XAF1 LY6E OAS2 PARP12 GZMA STAT2 IFIH1 IFITM3 EIF2AK2
HALLMARK_KRAS_SIGNALING_DN	0.378138847858198	0.800764618993831	0.0778840111977068	0.587301587301587	1.09071673103551	3	MX1 IFI44L RSAD2
HALLMARK_KRAS_SIGNALING_UP	0.0897226753670473	0.538336052202284	0.190023305279108	0.810526315789474	1.31916036601803	2	G0S2 PTGS2
HALLMARK_MITOTIC_SPINDLE	0.735725938009788	0.890756302521008	0.0503964322442957	0.512138845655616	0.833524160691892	2	RASAL2 FLNA
HALLMARK_MTORC1_SIGNALING	0.639676113360324	0.885705387729679	0.105520936843198	-0.382978723404255	-0.859097788755559	4	GAPDH CORO1A SKAP2 FGL2
HALLMARK_MYOGENESIS	0.212890625	0.730931040790196	0.130777137971974	-0.895287958115183	-1.19622982463346	1	LSP1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.12890625	0.662946428571429	0.172324344900946	-0.93717277486911	-1.25219379303736	1	ATP5F1E
HALLMARK_P53_PATHWAY	0.895595432300163	0.895595432300163	0.0414044273760278	0.431578947368421	0.702410065022587	2	CASP1 S100A4
HALLMARK_PEROXISOME	0.818359375	0.890756302521008	0.05378728077603	-0.586387434554974	-0.783495557654662	1	PRDX5
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.74293059125964	0.890756302521008	0.0716527366829457	-0.473684210526316	-0.812357511748011	2	PFN1 STAT2
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.212890625	0.730931040790196	0.130777137971974	-0.895287958115183	-1.19622982463346	1	LSP1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0624263839811543	0.538336052202284	0.193813302725311	0.574650434858649	1.46086754038182	8	G0S2 CCL5 TNFAIP2 IFIT2 PTGS2 TNIP1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.477551020408163	0.81865889212828	0.0826646449123753	0.769633507853403	1.01964594740276	1	IFIT1
HALLMARK_XENOBIOTIC_METABOLISM	0.460032626427406	0.81865889212828	0.0728938564822936	0.634635038108866	1.0328910645475	2	AQP9 MT2A
