pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.831372549019608	0.915094339622642	0.0880945010398517	-0.240143369175627	-0.697849711689675	6	MGST3 NDUFB7 REEP5 ACAA2 UCP2 ESYT1
HALLMARK_ALLOGRAFT_REJECTION	0.720806794055202	0.915094339622642	0.0314209215415833	0.227279296637556	0.805654140153169	24	LTB TNF CXCR3 GZMA MMP9 CCL5 STAT1 ITGB2 PTPN6 ITGAL
HALLMARK_ANDROGEN_RESPONSE	0.644808743169399	0.915094339622642	0.0822054920415869	-0.397163120567376	-0.840881965638547	3	B2M MYL12A GSR
HALLMARK_ANGIOGENESIS	0.080895008605852	0.330934126114849	0.206587922696891	0.819787985865725	1.37877699543223	2	PGLYRP1 S100A4
HALLMARK_APICAL_JUNCTION	0.730769230769231	0.915094339622642	0.127505315300183	-0.207272727272727	-0.782718428010056	10	GNAI2 ACTG1 ARPC2 ACTB CNN2 MYL12B RHOF PFN1 ZYX MMP9
HALLMARK_APOPTOSIS	0.888888888888889	0.915094339622642	0.0325057651164641	0.269026382934118	0.651243422089683	6	TNF IRF1 GSR CASP1
HALLMARK_BILE_ACID_METABOLISM	0.0409713730239969	0.252732240437159	0.321775918075361	-0.848056537102474	-1.47538111091642	2	LCK GSTK1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.362559241706161	0.812457684495599	0.107554375265169	-0.632508833922262	-1.10038841189183	2	ACTG1 S100A11
HALLMARK_COAGULATION	0.905109489051095	0.915094339622642	0.0357690767485421	0.284958190995606	0.608089566918253	4	MMP9 PLEK LTA4H
HALLMARK_COMPLEMENT	0.645989304812834	0.915094339622642	0.036993251998507	0.248965219215625	0.865244332226562	22	S100A12 LTF FCN1 GZMA APOBEC3G S100A9 CCL5 IRF1 HSPA1A GZMK PLEK PFN1 CTSC LTA4H CASP1
HALLMARK_DNA_REPAIR	0.79204107830552	0.915094339622642	0.035996889024589	0.284172661870504	0.727904237750946	7	PNP DAD1 TSG101 APRT POLR2G VPS28 RBX1
HALLMARK_E2F_TARGETS	0.151658767772512	0.42654028436019	0.175204047558551	-0.752650176678445	-1.30940073593832	2	TUBB NAA38
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.888888888888889	0.915094339622642	0.0325057651164641	0.269227864140201	0.651731156075863	6	LGALS1 EMP3 IL32
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.139937106918239	0.42654028436019	0.14641623786055	0.684397163120567	1.31773107114197	3	CISH AQP3 SLC9A3R1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0505464480874317	0.252732240437159	0.234392647294686	0.664285714285714	1.52560197626281	5	CISH LTF S100A9 SLC9A3R1 PTPN6
HALLMARK_FATTY_ACID_METABOLISM	0.745649263721553	0.915094339622642	0.0407403526717903	0.321810514819024	0.779020178799739	6	LGALS1 PDHB PSME1 UBE2L6 ACAA2
HALLMARK_G2M_CHECKPOINT	0.222030981067126	0.555077452667814	0.118815039412263	0.71483133453058	1.20225352976363	2	RASAL2
HALLMARK_GLYCOLYSIS	0.803317535545024	0.915094339622642	0.0637845390312975	-0.431095406360424	-0.749985398049179	2	PPIA RBCK1
HALLMARK_HEME_METABOLISM	0.499270072992701	0.915094339622642	0.0633597010643758	0.457421232623592	0.976118911597044	4	CCDC28A AQP3 UCP2
HALLMARK_HYPOXIA	0.915094339622642	0.915094339622642	0.0387166740042594	0.31728326554479	0.610893849202153	3	S100A4 ANXA2
HALLMARK_IL2_STAT5_SIGNALING	0.123159303882195	0.426320667284523	0.143758989039275	0.563278193563821	1.36355109251434	6	LTB CISH PNP
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.148907103825137	0.42654028436019	0.130777137971974	0.578358054585691	1.32826007256863	5	LTB TNF STAT1 IRF1
HALLMARK_INFLAMMATORY_RESPONSE	0.0937081659973226	0.35140562248996	0.166933848713193	0.580016817490471	1.40407097985094	6	CD82 EMP3 LY6E CCL5 IRF1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0605095541401274	0.272292993630573	0.186432558434075	0.421675433614754	1.49474485322071	24	OASL OAS1 ISG15 IFI44L RSAD2 IFIT2 MX1 IFI35 PSME2 DDX60 LY6E IRF1 PSME1 SAMD9L EPSTI1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.00230993765903639	0.0635585925418997	0.431707695803346	0.483085052530361	1.86538695018203	34	IFIT1 OASL ISG15 IFI44L RSAD2 IFIT2 MX1 HLA-DRB1 SLAMF7 IFI35 PNP PSME2 GZMA DDX60 LY6E CCL5 STAT1 ITGB7 XAF1 IRF1 PTPN6 PSME1 SAMD9L
HALLMARK_KRAS_SIGNALING_DN	0.00282482633519554	0.0635585925418997	0.431707695803346	0.890070921985816	1.71373315469759	3	IFI44L RSAD2 MX1
HALLMARK_KRAS_SIGNALING_UP	0.22043795620438	0.555077452667814	0.108394255853397	0.589392422258668	1.25774023741504	4	PCSK1N MMP9 ITGB2
HALLMARK_MITOTIC_SPINDLE	0.42896174863388	0.8774217585693	0.0675188953767744	0.448654220476447	1.03038158234895	5	RASAL2 BIN1 SUN2 RHOF
HALLMARK_MTORC1_SIGNALING	0.752955082742317	0.915094339622642	0.0344919215094074	0.268233034692718	0.765313689872656	10	PNP ITGB2 CORO1A SLC9A3R1 GSR CTSC LTA4H
HALLMARK_MYC_TARGETS_V1	0.013728012299244	0.173817085167187	0.380730400722792	-0.843971631205674	-1.78687417698191	3	RPL6 SNRPG PPIA
HALLMARK_MYOGENESIS	0.869496855345912	0.915094339622642	0.0410713282497468	0.345695297873796	0.665598076238271	3	BIN1 LSP1
HALLMARK_NOTCH_SIGNALING	0.528957528957529	0.915094339622642	0.0743625384422526	-0.721830985915493	-0.974816736109195	1	RBX1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0469927061980839	0.252732240437159	0.321775918075361	-0.323546795391848	-1.6061494926417	16	ATP5F1D ATP5ME NDUFA4 MGST3 NDUFB2 NDUFB7 NDUFB1 NDUFA2 NDUFA3 COX6B1 ACAA2 NDUFS7 ATP5PB NDUFC1
HALLMARK_P53_PATHWAY	0.766393442622951	0.915094339622642	0.0404114482034376	0.333918156471207	0.766878149668293	5	S100A4 CD82
HALLMARK_PEROXISOME	0.0409713730239969	0.252732240437159	0.321775918075361	-0.848056537102474	-1.47538111091642	2	TSPO GSTK1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.3625	0.812457684495599	0.126253987849115	-0.441281138790036	-1.06307576094698	4	LCK CFL1 PPP1CA PFN1
HALLMARK_PROTEIN_SECRETION	0.559375	0.915094339622642	0.0978773277424561	-0.373665480427046	-0.90018512015672	4	CD63 TSG101 CTSC RER1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.576642335766423	0.915094339622642	0.0565299525056311	0.428934108157393	0.91532850891069	4	CDKN2D GSR LSP1
HALLMARK_SPERMATOGENESIS	0.0154504075704166	0.173817085167187	0.380730400722792	0.992957746478873	1.33906782134864	1	PCSK1N
HALLMARK_TGF_BETA_SIGNALING	0.37914691943128	0.812457684495599	0.104732821580651	-0.621908127208481	-1.08194614800537	2	TGFB1 PPP1CA
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.493116395494368	0.915094339622642	0.0566484183613995	0.367380547682916	0.984845583187936	8	TNF IFIT2 CCL5 IRF1 PLEK
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0499139414802065	0.252732240437159	0.266350657088526	0.85081661015473	1.43096311441324	2	IFIT1 BANF1
HALLMARK_UV_RESPONSE_DN	0.654044750430293	0.915094339622642	0.0583452776743612	0.522968197879859	0.879564635017114	2	DBP ANXA2
HALLMARK_UV_RESPONSE_UP	0.672955974842767	0.915094339622642	0.052805004567129	0.445553021819297	0.857863083498862	3	AQP3 IRF1
HALLMARK_XENOBIOTIC_METABOLISM	0.770961145194274	0.915094339622642	0.0587185879555941	0.605633802816902	0.81673640167364	1	GSR
