pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.893700787401575	0.964560862865948	0.0843144320642653	-0.25	-0.675174546344607	5	NDUFB7 UCP2 ECH1 SQOR ACAA2
HALLMARK_ALLOGRAFT_REJECTION	0.850210970464135	0.964560862865948	0.0224414263839237	0.176976353995905	0.666902708048457	27	LTB CXCR3 PTPN6 TNF FGR STAT1 IRF7 FASLG LYN ZAP70 CCL5 IL2RB GZMA CD3D TGFB1 ITGAL WAS ITGB2 IL27RA IL16 CSK CD74 EIF5A B2M MMP9 CD3G
HALLMARK_ANDROGEN_RESPONSE	0.960975609756098	0.964560862865948	0.0566484183613995	-0.351254480286738	-0.616238488384607	2	B2M MYL12A
HALLMARK_ANGIOGENESIS	0.255067567567568	0.675178855325914	0.108394255853397	0.702508960573477	1.17647361424322	2	PGLYRP1 S100A4
HALLMARK_APICAL_JUNCTION	0.13490011300322	0.562178142284951	0.249246554383295	-0.376865348329815	-1.40680665551138	10	ITGB1 ZYX ARPC2 MMP9 MYL12B CNN2 ACTG1 RHOF
HALLMARK_APICAL_SURFACE	0.494607087827427	0.927388289676425	0.066436413766281	0.511843294513671	0.98763815525031	3	CD160 LYN IL2RB
HALLMARK_APOPTOSIS	0.355463347164592	0.799792531120332	0.0776798560117236	0.510555862492606	1.10270351396956	4	TNF FASLG IRF1
HALLMARK_BILE_ACID_METABOLISM	0.431707317073171	0.844644750795334	0.0985499803531691	-0.580645161290323	-1.0186799501868	2	PRDX5 GSTK1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.964560862865948	0.964560862865948	0.0353157046479879	0.298561151079137	0.576095042451185	3	S100A11 ECH1 ACTG1
HALLMARK_COAGULATION	0.594366197183099	0.964560862865948	0.0883594442500905	-0.410071942446043	-0.895401626767532	3	MMP9 LTA4H PLEK
HALLMARK_COMPLEMENT	0.391351351351351	0.838610038610039	0.060640400949416	0.314408194422549	1.08613985106593	19	S100A12 FCN1 LTF HSPA1A PFN1 IRF7 IRF1 CTSC LYN PLEK LTA4H S100A9 CCL5 GZMA PSMB9
HALLMARK_DNA_REPAIR	0.0470099897013952	0.423089907312557	0.321775918075361	-0.723021582733813	-1.57873444719539	3	TMED2 APRT DAD1
HALLMARK_E2F_TARGETS	0.158102766798419	0.562178142284951	0.155241966228839	0.914285714285714	1.23090985261073	1	PRDX4
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.824474660074166	0.964560862865948	0.0322878452489437	0.27262786784213	0.70341068764279	7	EMP3 LGALS1 IL32
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.172890733056708	0.562178142284951	0.120985142145252	0.598096840381492	1.29177536883599	4	CISH KLF10 MYBL1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.174899866488652	0.562178142284951	0.11776578836269	0.558214073389135	1.28432769464422	5	CISH PTPN6 LTF
HALLMARK_FATTY_ACID_METABOLISM	0.140914709517923	0.562178142284951	0.127505315300183	0.520045397649263	1.34177585608293	7	G0S2 LGALS1 UBE2L6 ACAA2 PSME1
HALLMARK_G2M_CHECKPOINT	0.898648648648649	0.964560862865948	0.042845050912155	0.39426523297491	0.660265803912011	2	RASAL2 TGFB1
HALLMARK_GLYCOLYSIS	0.656394453004623	0.964560862865948	0.0530212512043078	0.442446043165468	0.853731207487901	3	PGAM1 G6PD CHST12
HALLMARK_HEME_METABOLISM	0.536	0.964560862865948	0.0755015292281669	-0.732142857142857	-0.98931334622824	1	UCP2
HALLMARK_HYPOXIA	0.792857142857143	0.964560862865948	0.0855356947987884	-0.313838229926282	-0.768355949268431	4	PLAC8 PRDX5
HALLMARK_IL2_STAT5_SIGNALING	0.290482076637825	0.687983865721163	0.0824344091527096	0.45373283406952	1.17068195318818	7	CISH LTB FGL2 GLIPR2 CD81 IL2RB HOPX
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.242990654205607	0.675178855325914	0.096887770327544	0.528767931133535	1.21657860374493	5	LTB TNF STAT1 IRF1
HALLMARK_INFLAMMATORY_RESPONSE	0.19406674907293	0.582200247218789	0.105920292736253	0.492700729927007	1.27122352525146	7	EMP3 IRF7 IRF1 LY6E LYN CCL5 IL2RB
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0164567502962253	0.206121166225954	0.352487857583619	0.486975051795333	1.76321127169501	23	IFI44L OAS1 IFIT3 IFIT2 ISG15 MX1 IFI44 IFI35 UBE2L6 DDX60 PSME2 IRF7 PSME1 IRF1 LY6E
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0153503113494643	0.206121166225954	0.380730400722792	0.434751302409349	1.69968663861741	33	IFI44L IFIT3 ITGB7 IFIT2 ISG15 MX1 IFI44 PTPN6 HLA-DRB1 IFI35 UBE2L6 FGL2 DDX60 PSME2 XAF1 STAT1 IRF7 PSME1 IRF1 LY6E
HALLMARK_KRAS_SIGNALING_DN	0.018321881442307	0.206121166225954	0.352487857583619	0.910394265232975	1.52461376539682	2	IFI44L MX1
HALLMARK_KRAS_SIGNALING_UP	0.568464730290456	0.964560862865948	0.0546808488785442	0.426142855153952	0.920387480298673	4	G0S2 PSMB8 ITGB2 MMP9
HALLMARK_MITOTIC_SPINDLE	0.890202702702703	0.964560862865948	0.0432768714901103	0.403162478859671	0.675165791827196	2	RASAL2 RHOF
HALLMARK_MTORC1_SIGNALING	0.824519230769231	0.964560862865948	0.030918431706181	0.260557428404087	0.699265797116061	8	CORO1A FGL2 CTSC G6PD LTA4H SLC9A3R1 ITGB2
HALLMARK_MYC_TARGETS_V1	0.14410480349345	0.562178142284951	0.248911114434702	-0.445932696163654	-1.33006775885807	6	UBE2L3 APEX1 SNRPG PHB2 SNRPB2
HALLMARK_MYOGENESIS	0.276056338028169	0.687983865721163	0.13880510939114	-0.525179856115108	-1.14674243428123	3	ITGB1 TGFB1 LSP1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0120529914839573	0.206121166225954	0.380730400722792	-0.510385978697676	-1.90522794120941	10	NDUFA3 NDUFB7 NDUFB2 ATP5F1D PHB2 NDUFB1 ATP6V0E1 NDUFA4 ECH1
HALLMARK_P53_PATHWAY	0.922563417890521	0.964560862865948	0.0305608138615649	0.270652813595135	0.622712541128092	5	NINJ1 S100A4 CD81 TGFB1
HALLMARK_PEROXISOME	0.16056338028169	0.562178142284951	0.186432558434075	-0.58273381294964	-1.27241283803807	3	PRDX5 ECH1 GSTK1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.724409448818898	0.964560862865948	0.096240602328129	-0.300724637681159	-0.812166483284092	5	ACTR3 CFL1 PPP1CA FASLG PFN1
HALLMARK_PROTEIN_SECRETION	0.632142857142857	0.964560862865948	0.0985499803531691	-0.36101083032491	-0.883846494085938	4	TMED2 CD63 RER1 CTSC
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.420470262793914	0.844644750795334	0.069119845655101	0.483754512635379	1.04481769806216	4	PRDX4 CDKN2D G6PD LSP1
HALLMARK_TGF_BETA_SIGNALING	0.907330567081604	0.964560862865948	0.0330894161454377	0.296426778392934	0.640225436983009	4	KLF10 TGFB1 PPP1CA
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.126040428061831	0.562178142284951	0.132846300606183	0.491552526139931	1.36390040076337	9	IFIT2 G0S2 KLF10 NINJ1 TNF IRF1 PLEK
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.702	0.964560862865948	0.0621124188949471	-0.635714285714286	-0.859013539651838	1	IMP3
HALLMARK_UV_RESPONSE_DN	0.664	0.964560862865948	0.0647943366000727	-0.660714285714286	-0.892794970986461	1	ANXA2
HALLMARK_UV_RESPONSE_UP	0.778120184899846	0.964560862865948	0.0452247443372884	0.398452418121594	0.768842369152353	3	IRF1 LYN
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.164	0.562178142284951	0.153158808683073	-0.917857142857143	-1.24026112185687	1	TCF7
HALLMARK_XENOBIOTIC_METABOLISM	0.912172573189522	0.964560862865948	0.0379271467108098	0.338129496402878	0.652444987836282	3	NINJ1 ADH5 ECH1
