pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.819607843137255	0.924685771744595	0.0352404270679709	0.27630716171385	0.688480556006953	7	RMDN3 RETN UQCRC1
HALLMARK_ALLOGRAFT_REJECTION	0.987027027027027	0.987893462469734	0.0141641602737639	0.127985004026731	0.420635051363301	18	FASLG IRF7 STAT1 TIMP1 GZMB MMP9 ITGB2 PTPN6 ZAP70
HALLMARK_ANDROGEN_RESPONSE	0.413793103448276	0.812241923730872	0.117249716749792	-0.413284132841328	-1.00614875541893	4	B2M DBI MYL12A STK39
HALLMARK_ANGIOGENESIS	0.204651162790698	0.708045977011494	0.117249716749792	0.661764705882353	1.27708319060464	3	PGLYRP1 S100A4 TIMP1
HALLMARK_APICAL_JUNCTION	0.24031007751938	0.708045977011494	0.178219874951973	-0.408921933085502	-1.21691349387283	6	ACTB ARPC2 VCL MMP9 PFN1 ICAM2
HALLMARK_APICAL_SURFACE	0.227504244482173	0.708045977011494	0.116234148779716	0.714346705644697	1.21422886236714	2	CD160 IL2RB
HALLMARK_APOPTOSIS	0.125	0.708045977011494	0.142901149386948	0.577457690525818	1.37124336644186	6	FASLG CD38 IFITM3 IRF1 TIMP1
HALLMARK_BILE_ACID_METABOLISM	0.758620689655172	0.924685771744595	0.0590954798717342	0.609489051094891	0.827432024169185	1	PRDX5
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.182945736434109	0.708045977011494	0.125033367555272	0.672794117647059	1.29836791044805	3	S100A11 PLSCR1 FBXO6
HALLMARK_COAGULATION	0.670698924731183	0.924685771744595	0.04577044581081	0.345998005328719	0.821614253984743	6	RABIF TIMP1 MMP9 PRSS23 PLEK
HALLMARK_COMPLEMENT	0.455128205128205	0.827714658223133	0.0530212512043078	0.304660248101873	1.01612130768683	20	IRF7 S100A12 FCER1G LTF FCN1 RABIF PLSCR1 IRF1 TIMP1 S100A9 GZMB PFN1
HALLMARK_DNA_REPAIR	0.786924939467312	0.924685771744595	0.0658311958368866	-0.428571428571429	-0.755900081837524	2	APRT POLR2G
HALLMARK_E2F_TARGETS	0.68762677484787	0.924685771744595	0.0637845390312975	0.638686131386861	0.867069486404834	1	NAA38
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.549019607843137	0.894698620188816	0.0536769600638127	0.376164456324877	0.937297145807652	7	LGALS1 IL32 EMP3 TIMP1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.424581005586592	0.812241923730872	0.107972360317345	-0.496323529411765	-1.02113624406344	3	CLIC3 SLC9A3R1 PRSS23
HALLMARK_ESTROGEN_RESPONSE_LATE	0.816455696202532	0.924685771744595	0.0338984188001938	0.263025544785492	0.681465858373734	8	LTF S100A9 PRSS23 PTPN6 SLC9A3R1 COX6C LLGL2
HALLMARK_FATTY_ACID_METABOLISM	0.202513966480447	0.708045977011494	0.11101149245045	0.559214929110273	1.26756588159605	5	LGALS1 G0S2 PSME1 UBE2L6
HALLMARK_G2M_CHECKPOINT	0.600389863547758	0.924685771744595	0.0684714904492088	-0.68978102189781	-0.937765287334044	1	TGFB1
HALLMARK_GLYCOLYSIS	0.282131661442006	0.728540305010893	0.14551614609036	-0.474790382026607	-1.1558869891198	4	TPI1 PPIA CHST12
HALLMARK_HEME_METABOLISM	0.317191283292978	0.734548234994265	0.11776578836269	-0.633699633699634	-1.11769841160591	2	BSG UCP2
HALLMARK_HYPOXIA	0.908496732026144	0.951758481170246	0.0302754424728262	0.234007552289333	0.583081700491119	7	CHST2 S100A4 PRDX5 PLAC8
HALLMARK_IL2_STAT5_SIGNALING	0.298039215686275	0.728540305010893	0.0840745577910723	0.471400149538298	1.17459799102855	7	IFITM3 CD81 PLSCR1 GLIPR2 ANXA4
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.374816983894583	0.787177440808726	0.0778840111977068	0.516209233718811	1.09277736011472	4	STAT1 CD38 IRF1
