pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.565737051792829	0.859277708592777	0.0530212512043078	0.408737863868324	0.930310315023909	5	NDUFB7 UCP2 MGST3 ACAA2 SDHC
HALLMARK_ALLOGRAFT_REJECTION	0.0957860671485098	0.588235294117647	0.287805130535564	-0.29755794946449	-1.48902838788103	17	B2M GZMA TAP1 CSK ZAP70 IL2RB RPS3A FLNA RPL9 CCL5 ITGAL ITGB2 TGFB1 PTPN6 LYN
HALLMARK_ANDROGEN_RESPONSE	0.117647058823529	0.588235294117647	0.252961123069611	-0.540925266903915	-1.35620131289333	4	B2M DBI MYL12A ADRM1
HALLMARK_ANGIOGENESIS	0.106779661016949	0.588235294117647	0.176694268938498	0.795053003533569	1.34185617426043	2	S100A4 PGLYRP1
HALLMARK_APICAL_JUNCTION	0.588235294117647	0.859277708592777	0.118287526124085	-0.301075268817204	-0.902580605067734	6	ZYX ARPC2 MYL12B PFN1 VCL ITGB1
HALLMARK_APICAL_SURFACE	0.5	0.859277708592777	0.0602484086158019	0.461311456542913	0.981784270471285	4	CD160 FLOT2 LYN
HALLMARK_APOPTOSIS	0.555697823303457	0.859277708592777	0.0521630305460055	0.382266143318817	0.924202352675754	6	TNFSF10 IRF1 CDC25B
HALLMARK_BILE_ACID_METABOLISM	0.492753623188406	0.859277708592777	0.0902635484340068	-0.561837455830389	-0.987250996015936	2	PRDX5 GSTK1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0474576271186441	0.427118644067797	0.271288554688953	0.869257950530035	1.46709608385807	2	ETHE1 S100A11
HALLMARK_COAGULATION	0.654237288135593	0.865902293120638	0.057609110864425	0.519434628975265	0.876679367183483	2	PRSS23 PLEK
HALLMARK_COMPLEMENT	0.878409090909091	0.933085838464324	0.0247790185105207	0.215117977980535	0.640933615331719	12	S100A12 IRF1 S100A9 LTF PFN1 LYN PLEK CALM3 CCL5
HALLMARK_DNA_REPAIR	0.117647058823529	0.588235294117647	0.252961123069611	-0.540925266903915	-1.35620131289333	4	APRT DAD1 RPA2 ADRM1
HALLMARK_E2F_TARGETS	0.707831325301205	0.872404160075393	0.048505983646947	0.421985815602837	0.8238439236456	3	CDC25B ASF1A RPA2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.522781774580336	0.859277708592777	0.0519512476197082	0.357995915812923	0.951828542538871	8	LGALS1 EMP3 ITGB1 IL32 TGFB1 VIM TGFBR3
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.810092961487384	0.933085838464324	0.0365314928349125	0.316002181774765	0.719238698594929	5	PRSS23 CLIC3 SLC9A3R1 ADD3 BHLHE40
HALLMARK_ESTROGEN_RESPONSE_LATE	0.423570595099183	0.859277708592777	0.0605092988656667	0.380434782608696	1.05177634021778	9	PRSS23 S100A9 LLGL2 CLIC3 LTF SLC9A3R1 PTPN6 COX6C ADD3
HALLMARK_FATTY_ACID_METABOLISM	0.258642765685019	0.843568196509373	0.0908241419007155	0.490748894596577	1.18648039039364	6	G0S2 LGALS1 PSME1 ACAA2
HALLMARK_G2M_CHECKPOINT	0.604109589041096	0.859277708592777	0.0514264916187015	0.423487544483986	0.901285680244554	4	RASAL2 CDC25B TGFB1 RPA2
HALLMARK_GLYCOLYSIS	0.338855421686747	0.859277708592777	0.0847985102819124	0.568536710009319	1.10995558758655	3	PYGL SDHC CHST12
HALLMARK_HEDGEHOG_SIGNALING	0.842942345924453	0.933085838464324	0.0532386494755899	-0.584507042253521	-0.783688977081433	1	ADGRG1
HALLMARK_HEME_METABOLISM	0.623287671232877	0.859277708592777	0.0499913914024592	0.416581438597738	0.886587787891872	4	SLC10A3 UCP2 MGST3
HALLMARK_HYPOXIA	0.912350597609562	0.933085838464324	0.0308468245215279	0.267816600214128	0.609565610966013	5	S100A4 ANXA2 NR3C1 BHLHE40
HALLMARK_IL2_STAT5_SIGNALING	0.63013698630137	0.859277708592777	0.143758989039275	-0.228260869565217	-0.858533666381059	9	CD81 IL2RB CST7 EOMES BHLHE40 HOPX FGL2 GLIPR2 TNFSF10
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.703389830508475	0.872404160075393	0.0542315935495841	0.498233215547703	0.840896535869872	2	IRF1 TGFB1
HALLMARK_INFLAMMATORY_RESPONSE	0.283547257876313	0.850641773628938	0.0806388495950661	0.422714018033442	1.16866444176654	9	RTP4 TNFSF10 EMP3 IRF1 LY6E
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.00929997778106376	0.305239642630842	0.380730400722792	0.514580865661173	1.74469512126498	20	IFI44L IFIT3 OAS1 ISG15 RTP4 MX1 PSME2 IFI44 IRF1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0283169877211854	0.318566111863336	0.352487857583619	0.430794631909768	1.59454924954563	29	IFI44L IFIT3 ISG15 RTP4 MX1 HLA-DRB1 PSME2 ITGB7 IFI44 TNFSF10 IRF1 XAF1
HALLMARK_KRAS_SIGNALING_DN	0.0135662063391485	0.305239642630842	0.380730400722792	0.915194346289753	1.54462555170423	2	IFI44L MX1
HALLMARK_KRAS_SIGNALING_UP	0.413698630136986	0.859277708592777	0.0694481442003175	0.491759363105164	1.04658490637055	4	G0S2 ST6GAL1 ITGB2
HALLMARK_MITOTIC_SPINDLE	0.545180722891566	0.859277708592777	0.060640400949416	0.468271212075921	0.914207014602588	3	RASAL2 VCL
HALLMARK_MTORC1_SIGNALING	0.262443438914027	0.843568196509373	0.184706471207739	-0.397849462365591	-1.19269579955379	6	BHLHE40 ADD3 ITGB2 FGL2 CORO1A SLC9A3R1
