pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	1	1	0.0443293451680314	0	0	1	
HALLMARK_APICAL_JUNCTION	0.10873786407767	0.393715341959335	0.188204146308491	-1	-1.41915444348576	1	ACTB
HALLMARK_COMPLEMENT	0.696750902527076	0.760091893665901	0.0934449219410994	-0.384615384615385	-0.855430069182689	4	S100A9 LTF FCN1 S100A12
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.69126213592233	0.760091893665901	0.0614364107201271	-0.6875	-0.975668679896462	1	MYBL1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.3925	0.523333333333333	0.105920292736253	-0.666666666666667	-1.1731843575419	2	S100A9 LTF
HALLMARK_IL2_STAT5_SIGNALING	0.236598890942699	0.523333333333333	0.119348440591015	0.9375	1.31664499349805	1	CKAP4
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.360443622920518	0.523333333333333	0.0928481214159878	0.875	1.22886866059818	1	TNFRSF1A
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.131238447319778	0.393715341959335	0.165656695205483	1	1.40442132639792	1	IFI44L
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0544	0.393715341959335	0.245041785430996	0.866666666666667	1.43978737366134	2	IFI44L XAF1
HALLMARK_KRAS_SIGNALING_DN	0.131238447319778	0.393715341959335	0.165656695205483	1	1.40442132639792	1	IFI44L
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.360443622920518	0.523333333333333	0.0928481214159878	0.875	1.22886866059818	1	TNFRSF1A
HALLMARK_XENOBIOTIC_METABOLISM	0.360443622920518	0.523333333333333	0.0928481214159878	0.875	1.22886866059818	1	TNFRSF1A
