pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.0457796852646638	0.928716904276986	0.252961123069611	0.671379976582735	1.54900340722072	5	CCL5 MMP9 SOCS1
HALLMARK_ANGIOGENESIS	0.222972972972973	0.928716904276986	0.117249716749792	0.692307692307692	1.19551327208443	2	PGLYRP1 S100A4
HALLMARK_APICAL_JUNCTION	0.826771653543307	0.992125984251968	0.0434506826723125	0.372549019607843	0.736333836437573	3	MMP9 ACTB PFN1
HALLMARK_APOPTOSIS	0.608076009501188	0.928716904276986	0.0778840111977068	-0.519230769230769	-0.915919554155561	2	CD69 ISG20
HALLMARK_COAGULATION	0.301369863013699	0.928716904276986	0.107140237276725	0.867924528301887	1.15806101293316	1	MMP9
HALLMARK_COMPLEMENT	0.129076086956522	0.928716904276986	0.141225119642531	0.554233556866757	1.35908719169941	6	CCL5 S100A12 FCN1 LTF
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.569471624266145	0.928716904276986	0.0713052987340038	0.69811320754717	0.931483858228849	1	EMP3
HALLMARK_ESTROGEN_RESPONSE_LATE	0.93010752688172	1	0.0628003977812234	-0.294117647058824	-0.600718330697576	3	S100A9 ISG20 LTF
HALLMARK_GLYCOLYSIS	1	1	0.0465084048719157	-0.509433962264151	-0.671539515760621	1	ISG20
HALLMARK_HYPOXIA	0.733727810650888	0.928716904276986	0.0795564677235957	-0.34	-0.781981230249978	4	BTG1 KLF6 ISG20 S100A4
HALLMARK_IL2_STAT5_SIGNALING	0.714527027027027	0.928716904276986	0.053347785067549	0.496136499627356	0.856754556767798	2	SOCS1 KLF6
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.328767123287671	0.928716904276986	0.101713902282311	0.849056603773585	1.13288577352157	1	SOCS1
HALLMARK_INFLAMMATORY_RESPONSE	0.381974248927039	0.928716904276986	0.0756946307932749	0.466593479318997	1.07652136563687	5	CCL5 GPR183 EMP3
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.608076009501188	0.928716904276986	0.0778840111977068	-0.519230769230769	-0.915919554155561	2	CD74 ISG20
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.548913043478261	0.928716904276986	0.0554793308704233	0.374978055201469	0.919518253051556	6	CCL5 SOCS1
HALLMARK_KRAS_SIGNALING_UP	0.301369863013699	0.928716904276986	0.107140237276725	0.867924528301887	1.15806101293316	1	MMP9
HALLMARK_MYC_TARGETS_V1	0.194774346793349	0.928716904276986	0.153158808683073	-0.730769230769231	-1.28907196510783	2	RPS5 PSMA7
HALLMARK_P53_PATHWAY	0.568503937007874	0.928716904276986	0.0607719451853533	0.475304006248866	0.939426502219166	3	SOCS1 S100A4
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.735234215885947	0.928716904276986	0.0607719451853533	-0.641509433962264	-0.845642353180042	1	PFN1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.968688845401174	1	0.0461379160269737	0.528301886792453	0.704906703524534	1	JUNB
HALLMARK_TGF_BETA_SIGNALING	0.968688845401174	1	0.0461379160269737	0.528301886792453	0.704906703524534	1	JUNB
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.520215633423181	0.928716904276986	0.057609110864425	0.377257381170844	0.955126445186961	7	CCL5 GPR183 KLF9
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.391389432485323	0.928716904276986	0.0913924325943768	0.792452830188679	1.0573600552868	1	HERPUD1
HALLMARK_UV_RESPONSE_UP	0.693586698337292	0.928716904276986	0.0711327399327894	-0.480769230769231	-0.848073661255149	2	BTG1 JUNB
