pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.23538961038961	0.858456821665815	0.11101149245045	0.75	1.24988725151298	2	NCF4 MMP9
HALLMARK_APICAL_JUNCTION	0.23538961038961	0.858456821665815	0.11101149245045	0.75	1.24988725151298	2	LAMB3 MMP9
HALLMARK_APOPTOSIS	0.467961165048544	0.858456821665815	0.0810802057550866	0.783783783783784	1.04041320583514	1	BTG2
HALLMARK_COAGULATION	0.56504854368932	0.858456821665815	0.0713052987340038	0.72972972972973	0.968660570949957	1	MMP9
HALLMARK_COMPLEMENT	0.373376623376623	0.858456821665815	0.0835990603684159	0.666666666666667	1.11101089023376	2	CDA S100A9
HALLMARK_DNA_REPAIR	0.510679611650486	0.858456821665815	0.0764767053228531	0.756756756756757	1.00453688839255	1	CDA
HALLMARK_E2F_TARGETS	0.574948665297741	0.858456821665815	0.0732558655828455	-0.72972972972973	-0.966202783300202	1	TFRC
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.806981519507187	0.880343475826022	0.0567672387487446	-0.621621621621622	-0.82306163021869	1	SLC2A1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.720388349514563	0.864466019417476	0.059476028695732	0.648648648648649	0.861031618622184	1	S100A9
HALLMARK_FATTY_ACID_METABOLISM	0.310679611650485	0.858456821665815	0.104732821580651	0.864864864864865	1.14804215816291	1	CA4
HALLMARK_G2M_CHECKPOINT	0.258726899383984	0.858456821665815	0.120433371642259	-0.891891891891892	-1.18091451292247	1	TOP1
HALLMARK_HEME_METABOLISM	0.000193110500796196	0.00463465201910871	0.518848077743792	-0.694213827885122	-2.45888872209696	12	HBD SELENBP1 TMCC2 TOP1 LPIN2 HMBS TSPO2 TFRC XPO7 GYPA SLC2A1
HALLMARK_HYPOXIA	0.398496240601504	0.858456821665815	0.105125131597001	-0.638888888888889	-1.11961839530333	2	SELENBP1 SLC2A1
HALLMARK_IL2_STAT5_SIGNALING	0.679611650485437	0.858456821665815	0.062249042949858	0.675675675675676	0.896907936064775	1	IL1R2
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.679611650485437	0.858456821665815	0.062249042949858	0.675675675675676	0.896907936064775	1	IL1R2
HALLMARK_INFLAMMATORY_RESPONSE	0.467961165048544	0.858456821665815	0.0810802057550866	0.783783783783784	1.04041320583514	1	BTG2
HALLMARK_KRAS_SIGNALING_DN	0.467961165048544	0.858456821665815	0.0810802057550866	0.783783783783784	1.04041320583514	1	BTG2
HALLMARK_KRAS_SIGNALING_UP	0.56504854368932	0.858456821665815	0.0713052987340038	0.72972972972973	0.968660570949957	1	MMP9
HALLMARK_MTORC1_SIGNALING	0.880597014925373	0.880597014925373	0.0822054920415869	-0.292749357235735	-0.686265166079576	4	HMBS TFRC SLC2A1
HALLMARK_P53_PATHWAY	0.467961165048544	0.858456821665815	0.0810802057550866	0.783783783783784	1.04041320583514	1	BTG2
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.806981519507187	0.880343475826022	0.0567672387487446	-0.621621621621622	-0.82306163021869	1	SLC2A1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0221680531150178	0.266016637380214	0.352487857583619	0.828571428571429	1.55820563223466	3	LAMB3 FOSB BTG2
HALLMARK_UV_RESPONSE_UP	0.632075471698113	0.858456821665815	0.0486034247259069	0.434826625660416	0.884981881598458	4	FOSB BTG2
HALLMARK_XENOBIOTIC_METABOLISM	0.878246753246753	0.880597014925373	0.042077210988939	0.416317110789127	0.693799265816063	2	CDA LPIN2
