pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.732530120481928	0.778260869565217	0.0366850427613443	0.343015457346791	0.795671566158165	7	IRF7 LTB HDAC9
HALLMARK_ANGIOGENESIS	0.744927536231884	0.778260869565217	0.0444181153081573	0.441370863324391	0.810261481267591	3	OLR1 PGLYRP1
HALLMARK_APICAL_JUNCTION	0.110759493670886	0.360050568900126	0.241339976815091	-0.704819277108434	-1.43290033740328	3	ACTG1 CD34 LIMA1
HALLMARK_COMPLEMENT	0.591928251121076	0.778260869565217	0.0431901998334182	0.358490566037736	0.916681630243808	10	OLR1 IRF7 LTF CDA HSPA1A FCN1 PSMB9 LAP3 S100A9 S100A12
HALLMARK_ESTROGEN_RESPONSE_LATE	0.778260869565217	0.778260869565217	0.0424170054438747	0.421371709692575	0.7735473589901	3	EGR3 LTF S100A9
HALLMARK_FATTY_ACID_METABOLISM	0.513623978201635	0.749071092395343	0.0587185879555941	0.48717684415126	0.97013457458976	4	LGALS1 XIST
HALLMARK_HYPOXIA	0.509493670886076	0.749071092395343	0.104343952581949	-0.475903614457831	-0.967513903032987	3	GAPDH S100A4 AMPD3
HALLMARK_INFLAMMATORY_RESPONSE	0.514986376021798	0.749071092395343	0.0585937568945671	0.486164800932067	0.96811925278269	4	OLR1 IRF7
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0072121934662344	0.0576975477298752	0.407017918923954	0.560153447917702	1.69092775394075	21	IFI27 USP18 IFIT3 IFI44L ISG15 OAS1 MX1 IFIT2 IRF7 EPSTI1 IFI44 CMPK2 HERC6
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.00307353818960658	0.0491766110337052	0.431707695803346	0.566723296149232	1.75792366104755	26	IFI27 IFIT1 USP18 IFIT3 IFI44L ISG15 MX1 IFIT2 XAF1 OAS3 IRF7 OAS2 EPSTI1 IFI44 CMPK2 HERC6
HALLMARK_KRAS_SIGNALING_DN	0.11251580278129	0.360050568900126	0.14641623786055	0.646341463414634	1.3896414389432	5	IFI44L FGF16 MX1 NR4A2 RSAD2
HALLMARK_KRAS_SIGNALING_UP	0.707246376811594	0.778260869565217	0.046788296531803	0.463855421686747	0.851538269289143	3	HDAC9 KCNN4 MYCN
HALLMARK_MTORC1_SIGNALING	0.389240506329114	0.749071092395343	0.122107920287081	-0.524096385542169	-1.06548999447937	3	GAPDH CORO1A IDH1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.242537313432836	0.646766169154229	0.173747838999571	-0.527272727272727	-1.21404645538859	4	COX6B1 ATP5F1D NDUFB1 IDH1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0493046776232617	0.262958280657396	0.227987202850442	0.707317073170732	1.5207396879001	5	EGR3 IFIT2 OLR1 NR4A1 NR4A2
HALLMARK_XENOBIOTIC_METABOLISM	0.5	0.749071092395343	0.105520936843198	-0.481927710843373	-0.979760914463784	3	CBR1 IDH1 CDA
