pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.159863945578231	0.587570621468927	0.206587922696891	-0.532258064516129	-1.29541292315353	4	UQCR10 UCP2 ECH1 COX7B
HALLMARK_ALLOGRAFT_REJECTION	0.544444444444444	0.768253968253968	0.20207170902116	-0.201085037504371	-0.910197018793933	14	HLA-A RPS3A FCGR2B CD74 EIF5A CD79A SPI1 LTB B2M NCF4 IFNGR2 PTPN6
HALLMARK_ANDROGEN_RESPONSE	0.22108843537415	0.643166357452072	0.173747838999571	-0.495967741935484	-1.2070893147567	4	UBE2I MYL12A B2M DBI
HALLMARK_APICAL_JUNCTION	0.255506607929515	0.681350954478708	0.184706471207739	-0.398373983739837	-1.20445330587688	6	PFN1 ACTB ARPC2 MYL12B ITGB1 ACTG1
HALLMARK_APOPTOSIS	0.412429378531073	0.768253968253968	0.0711327399327894	0.516754975260017	1.05603246324755	4	IFITM3 TNFSF10 ISG20
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.569209039548023	0.768253968253968	0.0555947097758869	0.453045644192671	0.92583706109385	4	PLSCR1 S100A11 ACTG1
HALLMARK_COMPLEMENT	0.720238095238095	0.768253968253968	0.0369160593316849	0.306793509210364	0.787700793852806	9	PLSCR1 IRF7 S100A12 PSMB9 FCN1
HALLMARK_DNA_REPAIR	0.209039548022599	0.643166357452072	0.109684061970549	0.609402726763671	1.24536597316784	4	CMPK2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.346938775510204	0.768253968253968	0.135740943810425	-0.443548387096774	-1.07951076929461	4	BASP1 PPIB ITGB1 EMP3
HALLMARK_ESTROGEN_RESPONSE_LATE	0.507751937984496	0.768253968253968	0.11776578836269	-0.356275303643725	-0.965637155092543	5	S100A9 LTF COX6C PTPN6 ISG20
HALLMARK_FATTY_ACID_METABOLISM	0.757907542579075	0.782356172984852	0.0355420211253902	0.296980322268654	0.741268527641046	8	G0S2 UBE2L6 PDHB ODC1 PSME1 ALDH9A1 ECH1
HALLMARK_HEME_METABOLISM	0.92603550295858	0.92603550295858	0.0676760401641789	-0.281804635132519	-0.588401401787589	3	BTG2 UCP2
HALLMARK_HYPOXIA	0.507751937984496	0.768253968253968	0.11776578836269	-0.356275303643725	-0.965637155092543	5	PLAC8 ANXA2 NAGK S100A4 ISG20
HALLMARK_IL2_STAT5_SIGNALING	0.318734793187348	0.768253968253968	0.0766746872490091	0.457853761554281	1.14281168903586	8	IFITM3 PLSCR1 FGL2 TNFRSF1B TNFSF10 CD81
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.441610738255034	0.768253968253968	0.0652353056017703	0.473684210526316	1.03451884290371	5	IRF9 TNFRSF1B STAT1 IFNGR2 LTB
HALLMARK_INFLAMMATORY_RESPONSE	0.44847775175644	0.768253968253968	0.0579754757571486	0.392690238225026	1.03809590892494	10	IRF7 EIF2AK2 LY6E TNFRSF1B TNFSF10 NMI EMP3 IFNGR2
HALLMARK_INTERFERON_ALPHA_RESPONSE	1.38655858046954e-05	0.000221849372875127	0.593325476396405	0.624192569136731	2.10969498066973	36	IFIT3 IFI44L ISG15 OAS1 CMPK2 HERC6 IFIT2 IFI44 MX1 RSAD2 IRF9 IFITM3 SAMD9L IFI35 PLSCR1 EPSTI1 IRF7 DDX60 EIF2AK2 LY6E UBE2L6
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.07082009272166e-07	3.42662429670931e-06	0.704975715167238	0.644544346822245	2.23426490145603	46	IFIT3 IFIT1 IFI44L ISG15 CMPK2 HERC6 IFIT2 IFI44 MX1 RSAD2 IRF9 OAS3 XAF1 ZBP1 MX2 IFITM3 SAMD9L IFI35 PLSCR1 EPSTI1 IRF7 FGL2 OAS2 DDX60 EIF2AK2 LY6E UBE2L6
HALLMARK_KRAS_SIGNALING_DN	0.0193756579148796	0.155005263319037	0.352487857583619	0.726964550786951	1.67658742471317	6	IFI44L MX1 RSAD2
HALLMARK_KRAS_SIGNALING_UP	0.165254237288136	0.587570621468927	0.12563992130984	0.638855920487441	1.30555606365119	4	G0S2 TRIB2 TNFRSF1B
HALLMARK_MTORC1_SIGNALING	0.700301204819277	0.768253968253968	0.0489954089862481	0.447683093211988	0.827167650876203	3	FGL2 CORO1A
HALLMARK_MYC_TARGETS_V1	0.017543459851767	0.155005263319037	0.352487857583619	-0.609756097560976	-1.84355097838298	6	C1QBP SSBP1 RAN SNRPG ERH ODC1
