pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.969014084507042	0.969014084507042	0.0307752597613667	0.271604938271605	0.557171728165625	4	SLC1A5 SCARB1 PDCD4 CHCHD10
HALLMARK_ALLOGRAFT_REJECTION	0.80166270783848	0.897965571205008	0.0317090865085553	0.288787812276167	0.742833384168951	9	LTB MMP9 STAT1
HALLMARK_ANDROGEN_RESPONSE	0.589285714285714	0.897965571205008	0.0919686140000427	-0.441717791411043	-0.893737719057937	3	B2M TNFAIP8 PMEPA1
HALLMARK_APOPTOSIS	0.767857142857143	0.897965571205008	0.0774767547848578	-0.386503067484663	-0.782020504175695	3	PDCD4 IRF1 PEA15
HALLMARK_COMPLEMENT	0.480746791131855	0.897965571205008	0.0545680646670941	0.379829567793527	1.00125035825694	10	HSPA1A S100A12 S100A9 FCN1 LTF
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.821321321321321	0.897965571205008	0.0415717899246479	0.387798498055678	0.734035576396265	3	TPM2 PMEPA1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.850704225352113	0.897965571205008	0.036993251998507	0.350736239846207	0.719502075805425	4	S100A9 LTF SCARB1 PDCD4
HALLMARK_IL2_STAT5_SIGNALING	0.178678678678679	0.678978978978979	0.124434168630393	0.658864879379074	1.24711741774935	3	LTB SLC1A5
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.485915492957747	0.897965571205008	0.0629394692018967	0.486975081584915	0.998983116827333	4	LTB STAT1 CSF2RA IRF1
HALLMARK_INFLAMMATORY_RESPONSE	0.814569536423841	0.897965571205008	0.0361491929398957	0.33616208830219	0.734369198504564	5	EIF2AK2 BST2 NMI IRF1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.00463766854170817	0.0575837793645041	0.407017918923954	0.56522344629839	1.76380441875179	22	SAMD9L ISG15 IFI44L EPSTI1 MX1 DDX60 IFI44 OAS1 PARP14
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.00606145045942149	0.0575837793645041	0.407017918923954	0.531055336873523	1.70020299264384	27	XAF1 SAMD9L ISG15 IFI44L EPSTI1 MX1 DDX60 IFI44 OAS2 PARP14 MX2 STAT1 IFI35 EIF2AK2
HALLMARK_KRAS_SIGNALING_DN	0.0259608399641542	0.16441865310631	0.352487857583619	0.795777938443262	1.50627019098141	3	IFI44L MX1
HALLMARK_KRAS_SIGNALING_UP	0.692192192192192	0.897965571205008	0.0493910105981501	0.441717791411043	0.836095485796178	3	MMP9 CSF2RA FCER1G
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.223214285714286	0.706845238095238	0.160801401070022	-0.613496932515337	-1.24130238758047	3	ATP5F1E NDUFC1 NDUFB1
HALLMARK_P53_PATHWAY	0.0568275047600857	0.269930647610407	0.321775918075361	-0.754601226993865	-1.52680193672398	3	VAMP8 PTPRE ADA
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.627976190476191	0.897965571205008	0.0883594442500905	-0.429447852760736	-0.868911671306328	3	MBP FES TXN
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.334677419354839	0.794858870967742	0.152144922367565	-0.428571428571429	-1.10107105465004	5	PTPRE TNFAIP8 IRF1 PMEPA1 PLEK
HALLMARK_XENOBIOTIC_METABOLISM	0.307807807807808	0.794858870967742	0.0899860794997137	0.603424634061464	1.14217860898321	3	ABHD6 SLC1A5 NPC1
