pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.482905982905983	0.839314993623611	0.0637845390312975	0.475754714844728	1.00753685692632	4	ECH1 TOB1 CD36
HALLMARK_ALLOGRAFT_REJECTION	1	1	0.04577044581081	0.508196721311475	0.670313924710173	1	IGSF6
HALLMARK_ANDROGEN_RESPONSE	0.543086172344689	0.839314993623611	0.0749278818393739	0.737704918032787	0.973036342321219	1	SGK1
HALLMARK_APICAL_JUNCTION	0.10934393638171	0.839314993623611	0.190023305279108	-0.967213114754098	-1.27917422475598	1	PFN1
HALLMARK_APOPTOSIS	0.779324055666004	0.921671409315561	0.0568864160475701	-0.622950819672131	-0.823874924419106	1	MCL1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.501002004008016	0.839314993623611	0.0791316651768349	0.770491803278689	1.01628240197994	1	ECH1
HALLMARK_COMPLEMENT	0.837606837606838	0.921671409315561	0.0382416816260774	0.329577948662686	0.697968764463433	4	S100A12 CD36 S100A9
HALLMARK_E2F_TARGETS	0.376753507014028	0.839314993623611	0.0949751525905595	0.836065573770492	1.10277452129738	1	NBN
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.7175	0.921671409315561	0.072003313661988	-0.466666666666667	-0.808803301237964	2	EMP3 AREG
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.762035763411279	0.921671409315561	0.0409883873374721	0.335719919293846	0.762265273558827	5	BHLHE40 TOB1 AREG KLF4 FOS
HALLMARK_ESTROGEN_RESPONSE_LATE	0.772431729518856	0.921671409315561	0.037770500132479	0.309090909090909	0.764806794400361	7	TOB1 SGK1 AREG KLF4 S100A9 FOS ZFP36
HALLMARK_FATTY_ACID_METABOLISM	0.298192771084337	0.839314993623611	0.0919686140000427	0.627118644067797	1.19048914036446	3	NBN ECH1 CD36
HALLMARK_GLYCOLYSIS	0.876739562624255	0.921671409315561	0.0514264916187015	-0.573770491803279	-0.758832167228124	1	CXCR4
HALLMARK_HYPOXIA	0.282802547770701	0.839314993623611	0.0855356947987884	0.452832011598283	1.16342159341797	8	MT1E BHLHE40
HALLMARK_IL2_STAT5_SIGNALING	0.479406919275124	0.839314993623611	0.0713052987340038	0.596988536157102	0.999523326834292	2	BHLHE40 MAP3K8
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.86	0.921671409315561	0.0630790410571939	-0.4	-0.693259972489684	2	MAP3K8 CD36
HALLMARK_INFLAMMATORY_RESPONSE	0.0208985182574198	0.678062678062678	0.352487857583619	0.672637476774042	1.60017633918055	6	OSM GPR183 RGS1 HBEGF
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.457256461232604	0.839314993623611	0.0835990603684159	-0.786885245901639	-1.04068411505571	1	NFKBIA
HALLMARK_KRAS_SIGNALING_DN	0.192751235584844	0.839314993623611	0.12563992130984	0.75	1.25570668400313	2	NR4A2 SGK1
HALLMARK_KRAS_SIGNALING_UP	0.538461538461538	0.839314993623611	0.0585937568945671	0.448275862068966	0.949343094271402	4	HBEGF PPP1R15A KLF4 CXCR4
HALLMARK_MTORC1_SIGNALING	0.682228915662651	0.921671409315561	0.0501934252649434	0.440677966101695	0.83655993647232	3	BHLHE40 PPP1R15A CXCR4
HALLMARK_MYC_TARGETS_V1	0.485089463220676	0.839314993623611	0.080419996876154	-0.770491803278689	-1.01900319599205	1	PSMA7
HALLMARK_MYOGENESIS	0.298192771084337	0.839314993623611	0.0919686140000427	0.627118644067797	1.19048914036446	3	BHLHE40 HBEGF CD36
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.840197693574959	0.921671409315561	0.044774889329693	0.446125901513362	0.746937701916336	2	ECH1 UQCR10
HALLMARK_P53_PATHWAY	0.770288858321871	0.921671409315561	0.0404934829859503	0.333333333333333	0.756846436321263	5	HBEGF TOB1 PPP1R15A KLF4 FOS
HALLMARK_PEROXISOME	0.501002004008016	0.839314993623611	0.0791316651768349	0.770491803278689	1.01628240197994	1	ECH1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.4775	0.839314993623611	0.0940503465727813	-0.583333333333333	-1.01100412654746	2	PFN1 CXCR4
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.142284569138277	0.839314993623611	0.165656695205483	0.950819672131147	1.2541357301029	1	JUNB
HALLMARK_TGF_BETA_SIGNALING	0.459637561779242	0.839314993623611	0.0734381410838857	0.603041441388243	1.0096575582428	2	JUNB PPP1R15A
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.199554069119287	0.839314993623611	0.0978773277424561	0.390284251112457	1.24940411501227	18	JUNB BHLHE40 NR4A1 NR4A2 GPR183 HBEGF SGK1 IER2 FOSB
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.894563426688633	0.921671409315561	0.0419081748591401	0.416666666666667	0.697614824446185	2	HERPUD1 BANF1
HALLMARK_UV_RESPONSE_DN	0.0398860398860399	0.678062678062678	0.271288554688953	0.72434780123933	1.53399868505844	4	MT1E BHLHE40
HALLMARK_UV_RESPONSE_UP	0.482806052269601	0.839314993623611	0.0621124188949471	0.448524224390036	1.01839188250007	5	JUNB NR4A1 FOSB
HALLMARK_XENOBIOTIC_METABOLISM	0.439868204283361	0.839314993623611	0.0756946307932749	0.616666666666667	1.03246994018035	2	ECH1 CD36
