pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.749112426035503	0.936166977150895	0.0347904098478036	0.312779314811597	0.731792720883675	8	CCL4 MMP9 CCL5 IL18RAP CD74
HALLMARK_ANDROGEN_RESPONSE	0.966226138032305	0.984615384615385	0.0329431471724691	0.30918869893527	0.56624837113986	3	RRP12 MYL12A CCND3
HALLMARK_ANGIOGENESIS	0.395631067961165	0.919254658385093	0.103576326612592	-0.612068965517241	-1.05720599956525	2	PGLYRP1 S100A4
HALLMARK_APICAL_JUNCTION	0.275793650793651	0.919254658385093	0.11378726182188	0.871794871794872	1.15582689405033	1	MMP9
HALLMARK_APOPTOSIS	0.638349514563107	0.925714285714286	0.0764767053228531	-0.508620689655172	-0.878523295413377	2	MCL1 IER3
HALLMARK_BILE_ACID_METABOLISM	0.0521008403361345	0.724458204334365	0.257206466468838	0.899014336519119	1.44889203298842	2	DIO2 PRDX5
HALLMARK_COAGULATION	0.0638655462184874	0.724458204334365	0.231126709673834	0.879310344827586	1.41713619170733	2	CTSH MMP9
HALLMARK_COMPLEMENT	0.984615384615385	0.984615384615385	0.020562605901185	0.194982888787313	0.456190841128271	8	CTSH S100A12 CCL5 LTF CTSS
HALLMARK_DNA_REPAIR	0.388888888888889	0.919254658385093	0.0925528864684773	0.82051282051282	1.08783707675325	1	PDE4B
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.960352422907489	0.984615384615385	0.0332359307785383	0.31304347826087	0.573308016339511	3	CXCL8 LGALS1 VIM
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.577380952380952	0.919254658385093	0.0713052987340038	0.726495726495727	0.963189078375275	1	RRP12
HALLMARK_ESTROGEN_RESPONSE_LATE	0.497572815533981	0.919254658385093	0.0899860794997137	-0.560344827586207	-0.967864647489313	2	S100A9 LTF
HALLMARK_FATTY_ACID_METABOLISM	0.43213296398892	0.919254658385093	0.0678338263479455	0.517543859649123	1.02629815469279	4	G0S2 VNN1 XIST LGALS1
HALLMARK_G2M_CHECKPOINT	0.704819277108434	0.936166977150895	0.0621124188949471	-0.666666666666667	-0.882811076698853	1	CHMP1A
HALLMARK_GLYCOLYSIS	0.224199288256228	0.919254658385093	0.176694268938498	-0.517543859649123	-1.19399173892725	4	PYGL IRS2 CXCR4 IER3
HALLMARK_HEME_METABOLISM	0.184738955823293	0.919254658385093	0.143758989039275	-0.923076923076923	-1.2223537985061	1	CCND3
HALLMARK_HYPOXIA	0.0179316030124158	0.64553770844697	0.352487857583619	-0.536363636363636	-1.73857656468727	8	PRDX5 DUSP1 IRS2 SLC2A3 KLF6 S100A4 CXCR4 IER3
HALLMARK_IL2_STAT5_SIGNALING	0.327380952380952	0.919254658385093	0.190023305279108	-0.36036036036036	-1.06860228574707	7	CCND3 SLC2A3 KLF6 IL1R2 SELL CKAP4 AHNAK
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.791164658634538	0.936839251829764	0.0566484183613995	-0.598290598290598	-0.792266350883586	1	IL1R2
HALLMARK_INFLAMMATORY_RESPONSE	0.357696566998893	0.919254658385093	0.066132620475844	0.432344452408842	1.11624871337127	13	RGS1 C5AR1 PDE4B CXCL8 FPR1 C3AR1 NAMPT SELL CCL5
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.80672268907563	0.936839251829764	0.0475434194201301	0.482758620689655	0.778035556231474	2	SELL CD74
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.731414868105516	0.936166977150895	0.0365314928349125	0.325532021191135	0.746500829193482	7	PDE4B FPR1 NAMPT CCL5 CD74
HALLMARK_KRAS_SIGNALING_UP	0.496749024707412	0.919254658385093	0.0580983576873206	0.447869308528126	0.94770333214885	5	MMP9 G0S2 C3AR1
HALLMARK_MITOTIC_SPINDLE	0.305220883534137	0.919254658385093	0.107972360317345	-0.863247863247863	-1.14312716341775	1	ARHGDIA
HALLMARK_MTORC1_SIGNALING	0.857585139318885	0.964783281733746	0.0738052724171275	-0.373913043478261	-0.745708656788412	3	SLC2A3 CXCR4 NAMPT
HALLMARK_MYC_TARGETS_V2	0.577380952380952	0.919254658385093	0.0713052987340038	0.726495726495727	0.963189078375275	1	RRP12
HALLMARK_MYOGENESIS	0.642857142857143	0.925714285714286	0.065981614400873	0.683760683760684	0.906530897294376	1	LSP1
HALLMARK_P53_PATHWAY	0.411764705882353	0.919254658385093	0.116739204791222	-0.51304347826087	-1.02318164536084	3	CCND3 S100A4 IER3
HALLMARK_PEROXISOME	0.51004016064257	0.919254658385093	0.0782955249944794	-0.760683760683761	-1.00731007469485	1	PRDX5
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.553398058252427	0.919254658385093	0.0840745577910723	-0.543103448275862	-0.938084196797334	2	ARHGDIA CXCR4
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.890756302521008	0.971734148204736	0.0430173196927508	0.431257327989146	0.695033751197649	2	LSP1 MPO
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.754134509371555	0.936166977150895	0.0310617758113358	0.293443047917298	0.773164877961414	14	CCL4 PER1 G0S2 PDE4B
HALLMARK_UV_RESPONSE_DN	0.522088353413655	0.919254658385093	0.0770736734944102	-0.752136752136752	-0.995991983967937	1	DUSP1
HALLMARK_UV_RESPONSE_UP	0.0804953560371517	0.724458204334365	0.282013350011725	-0.730434782608696	-1.45673319000527	3	CCND3 FOSB NFKBIA
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.545634920634921	0.919254658385093	0.0741758965588009	0.743589743589744	0.985852350807634	1	FRAT1
HALLMARK_XENOBIOTIC_METABOLISM	0.587301587301587	0.919254658385093	0.0704500850658419	0.717948717948718	0.951857442159095	1	VNN1
