pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.394230769230769	0.806749156355456	0.072003313661988	0.576388664967994	1.05065643609298	4	CCL4 CD74
HALLMARK_ANDROGEN_RESPONSE	0.513385826771654	0.806749156355456	0.0656813601934011	0.633333333333333	1.00707869855692	2	SGK1 ELL2
HALLMARK_APICAL_SURFACE	1	1	0.0468819856878333	-0.516129032258065	-0.675880052151239	1	PLAUR
HALLMARK_APOPTOSIS	0.457905544147844	0.806749156355456	0.0852884689790502	-0.806451612903226	-1.05606258148631	1	IER3
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1	1	0.0468819856878333	-0.516129032258065	-0.675880052151239	1	PLAUR
HALLMARK_COMPLEMENT	0.481049562682216	0.806749156355456	0.102821842840815	-0.482758620689655	-1.00566358061195	3	LTF PLAUR TNFAIP3
HALLMARK_DNA_REPAIR	0.349514563106796	0.806749156355456	0.09754492162472	0.838709677419355	1.11459549624687	1	PDE4B
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.626506024096386	0.867858967807869	0.0541200569620232	0.517241379310345	0.890845089554768	3	CXCL8 TNFAIP3 PLAUR
HALLMARK_ESTROGEN_RESPONSE_LATE	0.653543307086614	0.867858967807869	0.0542315935495841	0.563610621348327	0.896210922695256	2	SGK1 LTF
HALLMARK_GLYCOLYSIS	0.0220269658948506	0.484593249686712	0.352487857583619	-0.827586206896552	-1.72399470962049	3	IRS2 IER3 CXCR4
HALLMARK_HEME_METABOLISM	0.749514563106796	0.867858967807869	0.057609110864425	0.612903225806452	0.814512093411177	1	ELL2
HALLMARK_HYPOXIA	0.207627118644068	0.806749156355456	0.20207170902116	-0.518518518518519	-1.29016614234908	5	IRS2 IER3 CXCR4 PLAUR TNFAIP3
HALLMARK_INFLAMMATORY_RESPONSE	0.391483516483516	0.806749156355456	0.0723570851036907	0.57713701845433	1.05202055453368	4	C3AR1 PDE4B CXCL8
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.69126213592233	0.867858967807869	0.0614364107201271	0.645161290322581	0.857381150959134	1	CD74
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.911342894393742	1	0.0299906706583812	0.305263655553073	0.575003720139078	5	PDE4B CD74 TNFAIP3
HALLMARK_KRAS_SIGNALING_DN	0.285436893203884	0.806749156355456	0.110122263835536	0.870967741935484	1.15746455379483	1	SGK1
HALLMARK_KRAS_SIGNALING_UP	0.714285714285714	0.867858967807869	0.0438879842863647	0.441839597937393	0.805396853734854	4	C3AR1 TNFAIP3 PLAUR
HALLMARK_MTORC1_SIGNALING	0.457905544147844	0.806749156355456	0.0852884689790502	-0.774193548387097	-1.01382007822686	1	CXCR4
HALLMARK_P53_PATHWAY	0.457905544147844	0.806749156355456	0.0852884689790502	-0.806451612903226	-1.05606258148631	1	IER3
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.457905544147844	0.806749156355456	0.0852884689790502	-0.774193548387097	-1.01382007822686	1	CXCR4
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.446448703494927	0.806749156355456	0.0564118388217596	0.531268403996616	1.09753449351025	10	CCL4 SGK1 PDE4B FOSB PER1
HALLMARK_UV_RESPONSE_UP	0.479611650485437	0.806749156355456	0.0797705918628453	0.774193548387097	1.02885738115096	1	FOSB
