pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.477631578947368	0.805147058823529	0.0605092988656667	0.39326143834966	0.997336568344797	7	TOB1 ARL4A PPP1R15B
HALLMARK_ALLOGRAFT_REJECTION	0.983548766157462	0.983548766157462	0.0201955124804332	0.152045631142348	0.461575169170169	13	CCL4 NLRP3 CCL5 IGSF6 CCR2 PTPN6 CAPG MMP9 IL27RA FLNA MTIF2
HALLMARK_ANDROGEN_RESPONSE	0.365384615384615	0.797202797202797	0.0797705918628453	0.566978193146418	1.09084919745218	3	SGK1 CAMKK2 RRP12
HALLMARK_ANGIOGENESIS	0.749486652977413	0.922445111356816	0.0602484086158019	0.656346749226006	0.853783239556834	1	LRPAP1
HALLMARK_APICAL_JUNCTION	0.885813148788927	0.938487635032586	0.0778840111977068	-0.238244514106583	-0.668554297625486	5	ZYX MMP9 ADAM15 NEXN PECAM1
HALLMARK_APICAL_SURFACE	0.673511293634497	0.892251161785367	0.0653834195468773	0.696594427244582	0.906137872171168	1	PLAUR
HALLMARK_APOPTOSIS	0.536764705882353	0.805147058823529	0.0517405459873163	0.340773942946338	0.931320497283767	9	IER3 MCL1
HALLMARK_BILE_ACID_METABOLISM	0.151456310679612	0.64957264957265	0.157402899305283	-0.931888544891641	-1.23730616357835	1	PRDX5
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.837920489296636	0.938487635032586	0.0743625384422526	-0.344367211830014	-0.72248448644003	3	S100A11 LGALS3
HALLMARK_COAGULATION	0.840966921119593	0.938487635032586	0.0327241935806629	0.260357315644601	0.687776979165719	8	DUSP6 THBS1 PECAM1 KLF7 CAPN2 MMP9 MSRB2 ANXA1
HALLMARK_COMPLEMENT	0.688741721854305	0.892251161785367	0.134273452883202	-0.183279742765273	-0.835339441124862	13	GMFB S100A9 LGALS3 PRKCD CDA S100A12 CEBPB SH2B3 FCN1 PLAUR PSMB9 CCL5 DUSP6
HALLMARK_DNA_REPAIR	0.204892966360856	0.673717195456326	0.170932335370056	-0.598130841121495	-1.25488211050975	3	VPS28 CDA PDE4B
HALLMARK_E2F_TARGETS	0.0485436893203884	0.388349514563107	0.287857117255149	-0.981424148606811	-1.30307659087819	1	TCF19
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.578048780487805	0.84079822616408	0.0481183992657975	0.314132325850938	0.886512816802263	10	AREG THBS1 EMP3 GLIPR1 PLAUR
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0146654794890094	0.23464767182415	0.380730400722792	0.67008711420171	1.69938447505701	7	TOB1 AREG MYOF FOS BHLHE40 KLF4
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0365853658536585	0.388349514563107	0.261663521711573	0.576356300173384	1.62653507805781	10	TOB1 SGK1 AREG MYOF FOS KLF4 ZFP36
HALLMARK_FATTY_ACID_METABOLISM	0.121301775147929	0.64957264957265	0.153158808683073	0.711302866152438	1.36852558011423	3	GABARAPL1 G0S2
HALLMARK_G2M_CHECKPOINT	0.495840266222962	0.805147058823529	0.070113215764256	0.597743922527971	1.0014248220508	2	MT2A RASAL2
HALLMARK_GLYCOLYSIS	0.213157894736842	0.673717195456326	0.103958471559957	0.487773713416908	1.23702584089996	7	IER3 PGAM1 CXCR4 IRS2
HALLMARK_HEDGEHOG_SIGNALING	0.956878850102669	0.977237974572939	0.0488970772260102	0.526315789473684	0.684637503418216	1	DPYSL2
HALLMARK_HEME_METABOLISM	0.30812324929972	0.778378378378378	0.0860347242455604	0.499841932355938	1.14951776121512	5	SLC30A1 TMEM9B BTG2 AGPAT4
HALLMARK_HYPOXIA	0.469827586206897	0.805147058823529	0.0519512476197082	0.292848129433437	1.01568586770215	22	IER3 MT1E MT2A FOS BHLHE40 CXCR4 ZFP36 IRS2 PLAUR
HALLMARK_IL2_STAT5_SIGNALING	0.324324324324324	0.778378378378378	0.0739901439101342	0.371204247356073	1.12688975002283	13	GABARAPL1 ARL4A PLEC BHLHE40 FGL2
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.401234567901235	0.805147058823529	0.118287526124085	-0.390625	-0.996999726571489	4	IL1R2 CBL JUN CSF2RA
HALLMARK_INFLAMMATORY_RESPONSE	0.247276688453159	0.673717195456326	0.0843144320642653	0.361394565968576	1.21830636145898	19	OSM HBEGF FFAR2 C5AR1 EMP3 SLC31A2 NLRP3 CCL5 PLAUR BTG2
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.89908256880734	0.938487635032586	0.0707899094502623	-0.318530563834256	-0.668279043188479	3	IFI35 SELL
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.64904386951631	0.890117306765226	0.0391155247681459	0.263209453640361	0.833701214453009	15	MT2A ARL4A FGL2 CCL5 XAF1 PSMB9 MX2
HALLMARK_KRAS_SIGNALING_DN	0.227138643067847	0.673717195456326	0.107140237276725	0.57708117071606	1.20864059411799	4	NR4A2 SGK1 BTG2
HALLMARK_KRAS_SIGNALING_UP	0.0479825517993457	0.388349514563107	0.213927855492356	0.459786323099121	1.5673336606564	20	TMEM176B TMEM176A GADD45G HBEGF G0S2 DUSP6 TRIB1 CXCR4 PECAM1 KLF4
HALLMARK_MITOTIC_SPINDLE	0.522935779816514	0.805147058823529	0.100633389423036	-0.445482866043614	-0.934625738556742	3	FLNA SPTBN1 RASAL2
HALLMARK_MTORC1_SIGNALING	0.792892156862745	0.928263988522238	0.0337507376805299	0.267198069173593	0.730240805692116	9	BHLHE40 CXCR4 FGL2 BTG2
