pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.562899786780384	0.973733583489681	0.0762797180809272	-0.737254901960784	-0.974837959115839	1	DHRS7B
HALLMARK_ALLOGRAFT_REJECTION	0.859205776173285	0.973733583489681	0.0289274314524646	0.299356053915451	0.687320810526002	7	IRF7 IGSF6 LTB MMP9 STAT1 RPL9 CTSS
HALLMARK_ANDROGEN_RESPONSE	0.365853658536585	0.973733583489681	0.0928481214159878	0.819607843137255	1.0983266491495	1	STEAP4
HALLMARK_ANGIOGENESIS	0.770800627943485	0.973733583489681	0.0465084048719157	0.492125984251969	0.79618530160021	2	OLR1 S100A4
HALLMARK_APICAL_JUNCTION	0.954838709677419	0.973733583489681	0.0704500850658419	-0.292490118577075	-0.616696258736929	3	ITGA9 MMP9 FBN1
HALLMARK_APOPTOSIS	0.105691056910569	0.722222222222222	0.157402899305283	0.702380952380952	1.38793158122601	4	CD14 IFITM3 TNFSF10 IER3
HALLMARK_BILE_ACID_METABOLISM	0.0597014925373134	0.48955223880597	0.271288554688953	-0.976470588235294	-1.29114176499917	1	HSD17B11
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.275053304904051	0.973733583489681	0.118815039412263	-0.870588235294118	-1.1511384410836	1	S100A11
HALLMARK_COAGULATION	0.788793103448276	0.973733583489681	0.0414044273760278	0.41897233201581	0.762010502081954	3	FBN1 OLR1 MMP9
HALLMARK_COMPLEMENT	0.829121540312876	0.973733583489681	0.0307037368093842	0.310505162003326	0.712919137025069	7	IRF7 S100A12 LAP3 OLR1
HALLMARK_DNA_REPAIR	0.324960753532182	0.973733583489681	0.0894366833718621	0.705138822460242	1.14080780937403	2	CMPK2 TP53
HALLMARK_E2F_TARGETS	0.773987206823028	0.973733583489681	0.0605092988656667	-0.623529411764706	-0.824464018613928	1	TP53
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.470189701897019	0.973733583489681	0.0626618230932492	0.510317163762998	1.0084062012607	4	MATN2 FBN1 CXCL8 TPM1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.908067542213884	0.973733583489681	0.0471642455670861	0.541176470588235	0.725210897524547	1	TFF3
HALLMARK_ESTROGEN_RESPONSE_LATE	0.730458221024259	0.973733583489681	0.0749278818393739	-0.460629921259843	-0.801013988601879	2	ATP2B4 TFF3
HALLMARK_FATTY_ACID_METABOLISM	0.432249322493225	0.973733583489681	0.0667426134241917	0.523362641150072	1.03418456269877	4	XIST G0S2
HALLMARK_G2M_CHECKPOINT	0.791744840525328	0.973733583489681	0.053457214108991	0.6	0.804038168994607	1	H2BC12
HALLMARK_GLYCOLYSIS	0.796747967479675	0.973733583489681	0.0382416816260774	0.379729463736773	0.750359919721215	4	PPFIA4 IER3 TFF3 PGAM1
HALLMARK_HEME_METABOLISM	0.40724946695096	0.973733583489681	0.0940503465727813	-0.8	-1.05780289180655	1	LMO2
HALLMARK_HYPOXIA	0.841463414634146	0.973733583489681	0.0356933083353341	0.359845812329543	0.711069065314311	4	PPFIA4 IER3 S100A4
HALLMARK_IL2_STAT5_SIGNALING	0.451219512195122	0.973733583489681	0.0646484568421928	0.514674575665772	1.01701661356156	4	IFITM3 TNFSF10 LTB SELL
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.765582655826558	0.973733583489681	0.0400845633477088	0.392857142857143	0.77630071492302	4	CD14 LTB STAT2 STAT1
HALLMARK_INFLAMMATORY_RESPONSE	0.309090909090909	0.973733583489681	0.0747385227439092	0.469475236188792	1.15242213817809	9	LY6E CD14 IRF7 C5AR1 TNFSF10 CXCL8 OLR1 SELL
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.000112348673491363	0.00230314780657293	0.538434096309916	0.615059893469828	1.915886341853	32	IFI27 OAS1 OASL MX1 IFIT3 EPSTI1 HELZ2 CMPK2 ISG15 DDX60 IFIT2 LY6E HERC6 IRF7 IFITM3 IFI44L LGALS3BP PARP9 SP110 IFI44
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.26608304521733e-05	0.000929094048539105	0.575610261071129	0.620733548620778	1.96845959112027	39	IFI27 IFIT1 OASL OAS2 MX1 IFIT3 EPSTI1 XAF1 HELZ2 CMPK2 ISG15 DDX60 MX2 IFIT2 LY6E HERC6 IRF7 IFITM3 IFI44L
HALLMARK_KRAS_SIGNALING_DN	0.176724137931034	0.973733583489681	0.122107920287081	0.695652173913044	1.26522498458891	3	MX1 IFI44L RSAD2
HALLMARK_KRAS_SIGNALING_UP	0.955882352941176	0.973733583489681	0.024285888595648	0.246770654176303	0.54592837406624	6	G0S2 ALDH1A2 ADAM8 MMP9
HALLMARK_MYOGENESIS	0.558869701726845	0.973733583489681	0.0614364107201271	0.598425196850394	0.968161326745855	2	PPFIA4 LSP1
HALLMARK_NOTCH_SIGNALING	0.838649155722326	0.973733583489681	0.0508054139066364	0.576470588235294	0.772507260406583	1	ST3GAL6
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.973733583489681	0.973733583489681	0.0439759278026345	0.517647058823529	0.693679988936523	1	ALAS1
HALLMARK_P53_PATHWAY	0.859195402298851	0.973733583489681	0.0374584205912161	0.379446640316206	0.690122718866676	3	IER3 S100A4 TP53
HALLMARK_PANCREAS_BETA_CELLS	0.40724946695096	0.973733583489681	0.0940503465727813	-0.8	-1.05780289180655	1	LMO2
HALLMARK_PEROXISOME	0.0597014925373134	0.48955223880597	0.271288554688953	-0.976470588235294	-1.29114176499917	1	HSD17B11
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.924953095684803	0.973733583489681	0.0463227785794633	0.537254901960784	0.71995574609321	1	STAT2
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.84366576819407	0.973733583489681	0.0676760401641789	-0.405511811023622	-0.705166160905928	2	MPO LSP1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.349593495934959	0.973733583489681	0.0774767547848578	0.555555555555556	1.09779899080023	4	IFIT2 G0S2 IER3 OLR1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0414651395361751	0.48955223880597	0.321775918075361	0.988235294117647	1.324298160697	1	IFIT1
HALLMARK_UV_RESPONSE_DN	0.287846481876333	0.973733583489681	0.115734447701689	-0.866666666666667	-1.14595313279043	1	ATP2B4
HALLMARK_UV_RESPONSE_UP	0.657681940700809	0.973733583489681	0.080419996876154	-0.484251968503937	-0.842091629043001	2	HLA-F ALAS1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.773987206823028	0.973733583489681	0.0605092988656667	-0.623529411764706	-0.824464018613928	1	TP53
HALLMARK_XENOBIOTIC_METABOLISM	0.973733583489681	0.973733583489681	0.0439759278026345	0.517647058823529	0.693679988936523	1	ALAS1
