pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.434650455927052	0.836855452240068	0.111918316325105	-0.484486873508353	-1.01743026960563	3	MGST3 ECH1 SLC66A3
HALLMARK_ALLOGRAFT_REJECTION	0.857605177993528	0.982978723404255	0.0232248320654428	0.231635390076497	0.68948046731828	17	STAT1 TNF IL1B IRF7 TAP1 IGSF6 HLA-DMB WARS1 IL16 GBP2 GPR65 LTB B2M
HALLMARK_ANDROGEN_RESPONSE	0.951367781155015	0.982978723404255	0.0676760401641789	-0.267303102625298	-0.561340838403107	3	CAMKK2 B2M STEAP4
HALLMARK_ANGIOGENESIS	0.425460636515913	0.836855452240068	0.0782955249944794	0.648269200715815	1.06288988200697	2	OLR1 PGLYRP1
HALLMARK_APICAL_JUNCTION	0.0115438309139407	0.129868097781833	0.380730400722792	0.684307511044788	1.62228366074291	7	ADAMTS5 NEXN JUP
HALLMARK_APOPTOSIS	0.44358407079646	0.836855452240068	0.055826471778749	0.36588400457569	1.02332045557759	13	IER3 IRF1 TNFSF10 TNF IL1B TAP1 PAK1
HALLMARK_BILE_ACID_METABOLISM	0.901234567901234	0.982978723404255	0.0602484086158019	-0.378571428571429	-0.654994850669413	2	ALDH1A1 CYP27A1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.702127659574468	0.929286608260325	0.0833634065110386	-0.374701670644391	-0.786879568118642	3	LGALS3 ECH1 FBXO6
HALLMARK_COAGULATION	0.0808510638297872	0.454787234042553	0.186432558434075	0.694526704359841	1.40672662096427	4	OLR1 SERPING1
HALLMARK_COMPLEMENT	0.900755124056095	0.982978723404255	0.0203426159572209	0.210415959627682	0.626319208508711	17	OLR1 SERPING1 IRF1 IRF7 HSPA1A PSMB9 LAP3
HALLMARK_DNA_REPAIR	0.272340425531915	0.836855452240068	0.0937465422491719	0.584382550462321	1.1836355397163	4	CMPK2 PDE4B CDA
HALLMARK_E2F_TARGETS	0.384920634920635	0.836855452240068	0.0931454575337804	-0.805225653206651	-1.0789483675019	1	PRDX4
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.559270516717325	0.867833560423436	0.096240602328129	-0.427207637231504	-0.897142947090681	3	GLIPR1 FUCA1 CXCL8
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.745257452574526	0.932624113475177	0.0413209506074822	0.364375844000998	0.788629794435908	5	BHLHE40 MYOF SLC9A3R1 MYB
HALLMARK_ESTROGEN_RESPONSE_LATE	0.629961587708067	0.908703071672355	0.0464154956843849	0.388339462385449	0.881901956841603	6	DUSP2 MYOF SLC9A3R1 LTF MYB
HALLMARK_FATTY_ACID_METABOLISM	0.982269503546099	0.982978723404255	0.020635764771317	0.184581354479435	0.467897900540278	9	G0S2 UBE2L6 CBR1 BLVRA ECH1 ALAD ALDH1A1 PSME1
HALLMARK_G2M_CHECKPOINT	0.746099290780142	0.932624113475177	0.0433636987883266	0.385405081718566	0.780617339700619	4	RPS6KA5 MARCKS RASAL2
HALLMARK_GLYCOLYSIS	0.49777117384844	0.836855452240068	0.0643583367917361	0.520538205202551	0.978595005913699	3	IER3 PGAM1 RBCK1
HALLMARK_HEME_METABOLISM	0.520710059171598	0.836855452240068	0.147331213699377	-0.281854173933711	-0.915259393103856	8	MAP2K3 LRP10 HTATIP2 MGST3 ALAD BTG2 BLVRA
HALLMARK_HYPOXIA	0.119148936170213	0.536170212765958	0.151148761385484	0.667464114832536	1.35191279612311	4	IER3 GCNT2 BHLHE40 NAGK
HALLMARK_IL2_STAT5_SIGNALING	0.646188850967008	0.908703071672355	0.0398406946073899	0.323629641810487	0.865220896372452	11	TLR7 GBP4 TNFSF10 BHLHE40 FGL2 CD83 DCPS GPR65 LTB
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0432172869147659	0.277825415880638	0.237793834423688	0.621389910460421	1.52804734623008	8	STAT1 IRF1 TNF IL15RA IL1B STAT2
HALLMARK_INFLAMMATORY_RESPONSE	0.0919661733615222	0.459830866807611	0.148261500475107	0.452853929369162	1.39111233287649	20	LY6E OSM OLR1 RTP4 IRF1 TNFSF10 EIF2AK2 IL15RA IL1B SCARF1 IRF7
HALLMARK_INTERFERON_ALPHA_RESPONSE	5.34280423203845e-07	1.20213095220865e-05	0.659444398037935	0.587272442784214	2.11520305975133	56	USP18 IFI44L IFIT3 RSAD2 ISG15 CMPK2 IFIT2 LY6E MX1 SAMD9L OASL EPSTI1 IFI27 IFI44 HERC6 OAS1 LGALS3BP RTP4 HELZ2 IFI35 DDX60 GBP4 IRF1 IFIH1 PARP14 EIF2AK2 PARP12 SAMD9 UBE2L6
HALLMARK_INTERFERON_GAMMA_RESPONSE	8.1928653052532e-10	3.68678938736394e-08	0.801215574617779	0.609177659345057	2.25387640953302	75	IFIT1 OAS3 USP18 IFI44L IFIT3 RSAD2 ISG15 CMPK2 IFIT2 LY6E MX1 ZBP1 SAMD9L OAS2 OASL XAF1 EPSTI1 IFI27 IFI44 HERC6 SERPING1 LGALS3BP RTP4 HELZ2 IFI35 DDX60 STAT1 ST3GAL5 GBP4 IRF1 APOL6 IFIH1 MX2 TNFSF10 PARP14 EIF2AK2 PARP12 IL15RA UBE2L6
HALLMARK_KRAS_SIGNALING_DN	0.00339055054250586	0.0508582581375879	0.431707695803346	0.779164821329979	1.76944927618768	6	IFI44L RSAD2 MX1
HALLMARK_KRAS_SIGNALING_UP	0.189125295508274	0.773694390715667	0.104732821580651	0.50328293599285	1.27577907201368	9	EPHB2 G0S2 JUP IL1B PTGS2
HALLMARK_MITOTIC_SPINDLE	0.693766937669377	0.929286608260325	0.0445961615888961	0.388143838508999	0.84007159260008	5	ARHGAP4 MARCKS MID1IP1 RASAL2 FGD6
