pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.278606965174129	0.758430071862908	0.188204146308491	-0.401769911504425	-1.1197214588557	5	TALDO1 PDCD4 ABCA1 PIM3 CD302
HALLMARK_ALLOGRAFT_REJECTION	0.772540983606557	0.997584541062802	0.0261139619405561	0.254792237095996	0.783439185366744	27	CCR1 IL1B GBP2 STAT1 IRF7 TAP1 IGSF6 ST8SIA4 AKT1 B2M FAS HLA-DRA GPR65 CD74 HLA-A ICAM1
HALLMARK_ANDROGEN_RESPONSE	0.61926091825308	0.986252134064157	0.0410713282497468	0.35008386013489	0.884650472331361	10	SGK1 NCOA4 MAK STEAP4 AKT1 B2M
HALLMARK_ANGIOGENESIS	0.138939670932358	0.593952139419139	0.159646701919906	0.917398945518453	1.23625858838226	1	THBD
HALLMARK_APICAL_JUNCTION	0.541147132169576	0.9593804792519	0.0521630305460055	0.452617551193547	0.957624855424674	5	MPZL1 PECAM1
HALLMARK_APICAL_SURFACE	0.916149068322981	0.997584541062802	0.0380842053196415	0.401347447542171	0.652761881275199	2	SULF2 LYN
HALLMARK_APOPTOSIS	0.769628099173554	0.997584541062802	0.0267456741432593	0.254131129785613	0.759542126760546	23	IL1B CD14 BCL2L11 PMAIP1 IRF1 ISG20 IFITM3 TNFSF10 TAP1 RHOB
HALLMARK_BILE_ACID_METABOLISM	0.204678362573099	0.716374269005848	0.11331290842208	0.678470574455609	1.23494239460172	3	CYP27A1 ABCA1 HSD17B11
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.119777158774373	0.586908077994429	0.216542836735348	-0.742957746478873	-1.30866314977954	2	ANTXR2 NIBAN1
HALLMARK_COAGULATION	0.0298165137614679	0.208715596330275	0.282013350011725	0.660260779672454	1.57934772763865	8	CFD THBD SH2B2 SERPING1 PECAM1
HALLMARK_COMPLEMENT	0.680412371134021	0.997584541062802	0.0327971189467838	0.285349005965326	0.843169686667389	21	CASP5 SERPING1 LAP3 SH2B3 IRF1 IRF7 PSMB9
