pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.625954198473283	0.96969696969697	0.0464154956843849	0.426840330220117	0.881745084022679	5	CCL4 MMP9
HALLMARK_ANGIOGENESIS	0.400406504065041	0.96969696969697	0.0922597260527354	-0.793103448275862	-1.08884925034951	1	S100A4
HALLMARK_APICAL_JUNCTION	0.96969696969697	0.96969696969697	0.0319257308349884	0.288640054598902	0.522481063569029	3	MMP9 PFN1
HALLMARK_APOPTOSIS	0.603658536585366	0.96969696969697	0.0702812841717392	-0.689655172413793	-0.946825435086534	1	MCL1
HALLMARK_COAGULATION	0.517110266159696	0.96969696969697	0.0747385227439092	0.758620689655172	1.02343715387001	1	MMP9
HALLMARK_COMPLEMENT	0.345622119815668	0.96969696969697	0.160801401070022	-0.425925925925926	-1.11264408165114	5	CCL5 S100A9 LTF PFN1 S100A12
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.826996197718631	0.96969696969697	0.0520570030732099	0.586206896551724	0.790837800717736	1	EMP3
HALLMARK_ESTROGEN_RESPONSE_LATE	0.934926958831341	0.96969696969697	0.0296354881939192	0.315392378095831	0.616425579088108	4	DUSP2 ZFP36 LTF
HALLMARK_G2M_CHECKPOINT	0.144486692015209	0.96969696969697	0.159646701919906	0.948275862068965	1.27929644233751	1	MT2A
HALLMARK_GLYCOLYSIS	0.657004830917875	0.96969696969697	0.0550211117163117	0.543859649122807	0.887926020748133	2	DDIT4 CXCR4
HALLMARK_HEDGEHOG_SIGNALING	0.273764258555133	0.96969696969697	0.11146266692298	0.879310344827586	1.1862567010766	1	TLE1
HALLMARK_HEME_METABOLISM	0.2914653784219	0.96969696969697	0.0972150808846466	0.719298245614035	1.17435376937656	2	SLC30A1 YPEL5
HALLMARK_HYPOXIA	0.33491124260355	0.96969696969697	0.0727141077934447	0.497477233978819	1.13270468937062	7	MT1E MT2A ZFP36 DDIT4 CXCR4
HALLMARK_IL2_STAT5_SIGNALING	0.930894308943089	0.96969696969697	0.0496901392724606	-0.53448275862069	-0.733789712192064	1	CD81
HALLMARK_INFLAMMATORY_RESPONSE	0.430278884462151	0.96969696969697	0.131457611642763	-0.436363636363636	-1.02977232155031	4	CCL5 NFKBIA RGS1 EMP3
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0308640576906244	0.956785788409357	0.352487857583619	-1	-1.37289688087547	1	CD74
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.526717557251908	0.96969696969697	0.0543434390269162	0.454203799003424	0.938271148626385	5	MT2A BTG1 NFKBIA CCL5
HALLMARK_KRAS_SIGNALING_DN	0.58745247148289	0.96969696969697	0.0683110858318647	0.724137931034483	0.976917283239556	1	NR4A2
HALLMARK_KRAS_SIGNALING_UP	0.657004830917875	0.96969696969697	0.0550211117163117	0.543859649122807	0.887926020748133	2	MMP9 CXCR4
HALLMARK_MTORC1_SIGNALING	0.657004830917875	0.96969696969697	0.0550211117163117	0.543859649122807	0.887926020748133	2	DDIT4 CXCR4
HALLMARK_MYC_TARGETS_V2	0.560836501901141	0.96969696969697	0.0706196247122591	0.741379310344828	1.00017721855478	1	DUSP2
HALLMARK_MYOGENESIS	0.827235772357724	0.96969696969697	0.0551351763385257	-0.586206896551724	-0.804801619823554	1	LSP1
HALLMARK_P53_PATHWAY	0.959287531806616	0.96969696969697	0.0261139619405561	0.275016856945545	0.568115860818614	5	RNF19B DDIT4 CD81 BTG1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.72463768115942	0.96969696969697	0.0504983044100709	0.508771929824562	0.830640471022447	2	CXCR4 PFN1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.867954911433172	0.96969696969697	0.0422468188360053	0.421052631578947	0.687426596708232	2	JUNB LSP1
HALLMARK_TGF_BETA_SIGNALING	0.726235741444867	0.96969696969697	0.0580983576873206	0.655172413793103	0.883877541978646	1	JUNB
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.364665911664779	0.96969696969697	0.0662842187012672	0.46154250881236	1.13491264394644	10	CCL4 RNF19B DUSP2 NR4A2 ZFP36 JUNB
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.758555133079848	0.96969696969697	0.0560595875032335	0.637931034482759	0.860617606663418	1	DDIT4
HALLMARK_UV_RESPONSE_DN	0.108365019011407	0.96969696969697	0.186432558434075	0.96551724137931	1.30255637765274	1	MT1E
HALLMARK_UV_RESPONSE_UP	0.798722044728435	0.96969696969697	0.0791316651768349	-0.357142857142857	-0.742322122637502	3	NFKBIA BTG1 JUNB
HALLMARK_XENOBIOTIC_METABOLISM	0.144486692015209	0.96969696969697	0.159646701919906	0.948275862068965	1.27929644233751	1	MT2A
