pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.5104	0.678500986193294	0.0667426134241917	0.581738399000805	0.96712989043178	2	CCL4 CCL5
HALLMARK_ANGIOGENESIS	0.798816568047337	0.83354772317983	0.0553642837725362	0.620689655172414	0.822838558135333	1	S100A4
HALLMARK_APICAL_JUNCTION	0.454545454545455	0.678500986193294	0.0847985102819124	-0.793103448275862	-1.0440135991914	1	PFN1
HALLMARK_COMPLEMENT	0.237082066869301	0.577514792899408	0.157402899305283	-0.592592592592593	-1.24400557276557	3	S100A9 PFN1 CCL5
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.531571218795888	0.678500986193294	0.060640400949416	0.555555555555556	1.00298791680832	3	AREG EMP3 IL32
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.3888	0.678500986193294	0.0806388495950661	0.678571428571429	1.12811310460445	2	AREG CLIC3
HALLMARK_ESTROGEN_RESPONSE_LATE	0.380359612724758	0.678500986193294	0.0741758965588009	0.553873584599237	1.07969797951243	4	ZFP36 AREG CLIC3
HALLMARK_G2M_CHECKPOINT	0.124260355029586	0.443799854967368	0.176694268938498	0.96551724137931	1.27997109043274	1	MT2A
HALLMARK_GLYCOLYSIS	0.592	0.678500986193294	0.0596037042575973	0.565443744901442	0.940040313637798	2	DDIT4 CXCR4
HALLMARK_HYPOXIA	0.0129620606235302	0.236284201783938	0.380730400722792	0.766417091491386	1.65130207938407	6	MT1E MT2A DDIT4 ZFP36
HALLMARK_IL2_STAT5_SIGNALING	0.752	0.820363636363636	0.048505983646947	0.5	0.831241234971703	2	CD81 HOPX
HALLMARK_INFLAMMATORY_RESPONSE	1	1	0.0566484183613995	0	0	2	
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.2304	0.577514792899408	0.11146266692298	0.753515777930703	1.25270677163556	2	MT2A CCL5
HALLMARK_KRAS_SIGNALING_UP	0.397979797979798	0.678500986193294	0.0922597260527354	-0.827586206896552	-1.08940549480842	1	CXCR4
HALLMARK_MTORC1_SIGNALING	0.592	0.678500986193294	0.0596037042575973	0.565443744901442	0.940040313637798	2	DDIT4 CXCR4
HALLMARK_P53_PATHWAY	0.12448132780083	0.443799854967368	0.14551614609036	0.692307692307692	1.34955563393834	4	RNF19B DDIT4 CD81 S100A4
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.129441624365482	0.443799854967368	0.197822021315103	-0.821428571428571	-1.44185675546339	2	CXCR4 PFN1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.593688362919132	0.678500986193294	0.0696133438850965	0.724137931034483	0.959978317824554	1	JUNB
HALLMARK_TGF_BETA_SIGNALING	0.593688362919132	0.678500986193294	0.0696133438850965	0.724137931034483	0.959978317824554	1	JUNB
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0196903501486615	0.236284201783938	0.352487857583619	0.749108780986096	1.61401004943678	6	RNF19B CCL4 ZFP36 AREG JUNB
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.240631163708087	0.577514792899408	0.122679189568808	0.862068965517241	1.14283133074352	1	DDIT4
HALLMARK_UV_RESPONSE_DN	0.0611439842209073	0.443799854967368	0.257206466468838	1	1.32568434366248	1	MT1E
HALLMARK_UV_RESPONSE_UP	0.593688362919132	0.678500986193294	0.0696133438850965	0.724137931034483	0.959978317824554	1	JUNB
HALLMARK_XENOBIOTIC_METABOLISM	0.124260355029586	0.443799854967368	0.176694268938498	0.96551724137931	1.27997109043274	1	MT2A
