pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.387755102040816	0.682448979591837	0.127505315300183	-0.386638166669859	-1.03148899585581	5	NDUFB7 REEP5 ESYT1 UCP2
HALLMARK_ALLOGRAFT_REJECTION	0.0302049622437972	0.26494623655914	0.271288554688953	0.461903676147322	1.62711027729077	21	CXCR3 CSF1 CCL5 LTB TNF PRF1 SIT1 STAT1 MMP9 PTPN6 GZMA TIMP1 CAPG IL16 TGFB1
HALLMARK_ANDROGEN_RESPONSE	0.295399515738499	0.605591397849462	0.122679189568808	-0.680412371134021	-1.17183325193208	2	B2M MYL12A
HALLMARK_ANGIOGENESIS	0.125	0.488297013720743	0.154190966581424	0.7	1.35520609498217	3	PGLYRP1 S100A4 TIMP1
HALLMARK_APICAL_JUNCTION	0.563876651982379	0.735419630156472	0.119348440591015	-0.27972027972028	-0.902105526289067	7	ZYX PFN1 ICAM2 RSU1 VCL ITGB1 MMP9
HALLMARK_APOPTOSIS	0.436904761904762	0.711992945326279	0.059989249649033	0.360961645506412	1.03538189432505	10	SMAD7 TNF PRF1 TIMP1 IRF1 CDC25B
HALLMARK_BILE_ACID_METABOLISM	0.52112676056338	0.735419630156472	0.0959206777921745	-0.448275862068966	-0.936423312060914	3	GSTK1 OPTN ALDH9A1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.976851851851852	0.976851851851852	0.0347904098478036	0.289462686076034	0.560402280628789	3	S100A11 ANTXR2
HALLMARK_COAGULATION	0.618421052631579	0.735419630156472	0.053347785067549	0.41522491349481	0.885229935268186	4	MMP9 TIMP1 CRIP2 CAPN2
HALLMARK_COMPLEMENT	0.203040173724213	0.595584509591024	0.0952879846194844	0.368453738721959	1.26575734172548	19	CCL5 S100A12 CDA GZMK LTF FCN1 GZMA TIMP1 HSPA1A IRF1 S100A9 PSMB9
HALLMARK_DNA_REPAIR	0.60352422907489	0.735419630156472	0.114750719227023	-0.276221946266488	-0.89082330554832	7	RBX1 RPA2 DAD1 POLR2F PNP COX17
HALLMARK_E2F_TARGETS	0.501567398119122	0.735419630156472	0.104732821580651	-0.391003460207612	-0.953172063221618	4	RPA2 DCK LYAR CDC25B
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.167481662591687	0.566861011848787	0.114750719227023	0.471050034375099	1.30788700324808	9	CXCL8 LGALS1 EMP3 TIMP1 CAPG TGFB1 ITGB1 IL32
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.287037037037037	0.605591397849462	0.0956031492204301	0.593103448275862	1.14825344008342	3	CISH SLC9A3R1 AQP3
HALLMARK_ESTROGEN_RESPONSE_LATE	0.184594953519256	0.580155568203377	0.11378726182188	0.515718864791831	1.26668258262824	6	CISH LTF PTPN6 SLC9A3R1 S100A9
HALLMARK_FATTY_ACID_METABOLISM	0.304726368159204	0.605591397849462	0.0802023444698144	0.431419961443372	1.16120318300589	8	G0S2 PDHB LGALS1 ACAA2 PSME1 ALDH9A1
HALLMARK_G2M_CHECKPOINT	0.502923976608187	0.735419630156472	0.0630790410571939	0.450504146108575	0.960442745935397	4	RASAL2 CDC25B TGFB1
HALLMARK_GLYCOLYSIS	0.603801169590643	0.735419630156472	0.0544555953940371	0.420593088708396	0.896674502398887	4	PYGL POLR3K ALDH9A1
