pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.816816816816817	0.935439991629172	0.0747385227439092	-0.354838709677419	-0.736803781086981	3	B2M TGFB1 IL2RB
HALLMARK_ANDROGEN_RESPONSE	0.682051282051282	0.935439991629172	0.0758886900606117	-0.5	-0.862527716186253	2	B2M MYL12A
HALLMARK_APICAL_JUNCTION	0.561538461538462	0.935439991629172	0.0862865626267245	-0.5625	-0.970343680709534	2	PFN1 ACTB
HALLMARK_APICAL_SURFACE	0.325878594249201	0.935439991629172	0.0902635484340068	0.6875	1.13573027679542	2	CD160 IL2RB
HALLMARK_APOPTOSIS	0.94234592445328	0.94234592445328	0.0481183992657975	0.545454545454545	0.713237035282975	1	IFITM3
HALLMARK_COMPLEMENT	0.824966078697422	0.935439991629172	0.0366850427613443	0.355220888055724	0.704474709795016	4	LTF S100A12 PFN1 S100A9
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.811623246492986	0.935439991629172	0.0553642837725362	-0.606060606060606	-0.799871506585288	1	TGFB1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.859424920127795	0.935439991629172	0.042331839351853	0.439677944553351	0.726335350790429	2	LTF S100A9
HALLMARK_G2M_CHECKPOINT	0.811623246492986	0.935439991629172	0.0553642837725362	-0.606060606060606	-0.799871506585288	1	TGFB1
HALLMARK_IL2_STAT5_SIGNALING	0.364444444444445	0.935439991629172	0.0799858801499946	0.580645161290323	1.06605472531389	3	CD81 IL2RB IFITM3
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.811623246492986	0.935439991629172	0.0553642837725362	-0.606060606060606	-0.799871506585288	1	TGFB1
HALLMARK_INFLAMMATORY_RESPONSE	0.654075546719682	0.935439991629172	0.0652353056017703	0.666666666666667	0.871734154234747	1	IL2RB
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0141623435980269	0.283246871960537	0.380730400722792	0.76183445376427	1.66454480912061	6	IFI44L ISG15
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.100247524752475	0.668316831683168	0.154190966581424	0.628819514019507	1.42622319726991	7	IFI44L ISG15
HALLMARK_KRAS_SIGNALING_DN	0.073558648111332	0.668316831683168	0.234392647294686	1	1.30760123135212	1	IFI44L
HALLMARK_MYOGENESIS	0.811623246492986	0.935439991629172	0.0553642837725362	-0.606060606060606	-0.799871506585288	1	TGFB1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.888667992047714	0.935439991629172	0.0508054139066364	0.575757575757576	0.752861315020918	1	NDUFB2
HALLMARK_P53_PATHWAY	0.829073482428115	0.935439991629172	0.0439759278026345	0.453246821312281	0.748750745928206	2	CD81 TGFB1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.28974358974359	0.935439991629172	0.128142916898415	-0.6875	-1.1859756097561	2	CFL1 PFN1
HALLMARK_TGF_BETA_SIGNALING	0.811623246492986	0.935439991629172	0.0553642837725362	-0.606060606060606	-0.799871506585288	1	TGFB1
