"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"matureB.B2M",1.61780478331211e-100,0.852509097366327,0.996,0.97,3.96022432906971e-96,"matureB"
"matureB.CD74",1.37230365557127e-67,0.615454487219646,0.999,0.994,3.35926211847292e-63,"matureB"
"matureB.CD52",3.67737320206027e-57,0.778657633722974,0.961,0.901,9.00184186132333e-53,"matureB"
"matureB.HLA-DRB1",3.61167702850043e-54,0.899640863348352,0.927,0.797,8.84102419806621e-50,"matureB"
"matureB.IFI44L",8.54057113223237e-42,3.70102163475667,0.213,0.016,2.09064640745916e-37,"matureB"
"matureB.MX1",3.59752020481715e-38,2.42283272246813,0.338,0.094,8.80636970937189e-34,"matureB"
"matureB.XAF1",2.11665888059787e-36,2.03863251567119,0.411,0.157,5.18136927381551e-32,"matureB"
"matureB.VPREB3",5.66005187013266e-36,1.89721260967293,0.428,0.166,1.38552409728977e-31,"matureB"
"matureB.ISG15",1.50227110228961e-35,3.19565799658023,0.244,0.045,3.67740943129473e-31,"matureB"
"matureB.IFIT3",6.65071789850438e-35,5.6389577774902,0.154,0.004,1.62802923437489e-30,"matureB"
"matureB.CD79A",9.69937857145405e-35,0.721436973227313,0.896,0.724,2.37431088050624e-30,"matureB"
"matureB.CAMP",1.15285373154955e-34,1.36081977459156,0.475,0.191,2.82207064946015e-30,"matureB"
"matureB.HLA-C",9.33095583149349e-34,0.775543427322686,0.838,0.611,2.28412467799129e-29,"matureB"
"matureB.S100A9",7.74970973698939e-33,0.66313639609564,0.952,0.736,1.89705144651763e-28,"matureB"
"matureB.OAS1",2.67952197586384e-31,3.16350355200977,0.178,0.019,6.5592018447171e-27,"matureB"
"matureB.S100A8",5.6848380993148e-31,0.600555719725099,0.957,0.798,1.39159151833127e-26,"matureB"
"matureB.MS4A1",6.18502564528679e-31,0.58773152020584,0.944,0.869,1.51403242770975e-26,"matureB"
"matureB.SLC35F1",3.497126411282e-30,1.06720481307849,0.491,0.213,8.56061574217721e-26,"matureB"
"matureB.ACTB",4.00088150711013e-29,0.54594470747697,0.943,0.834,9.7937578412549e-25,"matureB"
"matureB.TMSB10",1.28917586262531e-28,0.543569978218332,0.965,0.901,3.15577359412049e-24,"matureB"
"matureB.S100A12",2.80105011037503e-28,1.27415250989051,0.463,0.204,6.85669056518703e-24,"matureB"
"matureB.LYZ",5.60811309085007e-27,0.953324901510593,0.672,0.387,1.37281000350919e-22,"matureB"
"matureB.ACTG1",3.30140999870229e-26,0.950241618543128,0.664,0.426,8.08152153582335e-22,"matureB"
"matureB.IFI6",4.03737062537968e-26,4.28758683048577,0.136,0.011,9.88307955386691e-22,"matureB"
"matureB.RPS3A",7.71946526207198e-26,0.558565289543318,0.88,0.757,1.8896479015026e-21,"matureB"
"matureB.HLA-DPA1",5.5499873516368e-24,0.733841754589338,0.785,0.614,1.35858140380717e-19,"matureB"
"matureB.MNDA",8.18918022057237e-24,1.10466692789673,0.372,0.152,2.00462942619391e-19,"matureB"
"matureB.SAMD9L",1.45086752184054e-23,1.60708983981987,0.325,0.128,3.55157860671345e-19,"matureB"
"matureB.IFIT1",7.77433189807711e-23,5.02217818742508,0.102,0.003,1.9030787053303e-18,"matureB"
"matureB.LTF",7.13527188529484e-22,0.691005007101095,0.561,0.305,1.74664320480132e-17,"matureB"
"matureB.LY6E",1.51393615930432e-21,1.27021383175252,0.381,0.177,3.70596432436106e-17,"matureB"
"matureB.LTB",7.02809632101903e-21,0.823191865650175,0.734,0.582,1.72040769842225e-16,"matureB"
"matureB.CD81",2.37606040843231e-20,0.957704223455718,0.398,0.183,5.81635827380144e-16,"matureB"
"matureB.CORO1A",4.71061531483785e-20,0.984930635275496,0.475,0.256,1.15311152291916e-15,"matureB"
"matureB.PTPN6",5.06508504203051e-20,0.926625889778258,0.486,0.253,1.23988216743865e-15,"matureB"
"matureB.FCRLA",1.42577405103695e-19,0.892792501241138,0.424,0.208,3.49015229953336e-15,"matureB"
"matureB.IFIT2",1.98033166940803e-19,2.50430680570215,0.138,0.025,4.84765389354391e-15,"matureB"
"matureB.EPSTI1",2.83808494939173e-19,1.49577534064861,0.243,0.085,6.94734814761602e-15,"matureB"
"matureB.EMP3",3.04747018277911e-19,0.912194219425407,0.512,0.297,7.45990226042497e-15,"matureB"
"matureB.HCK",5.71956023281185e-19,1.86809617680671,0.17,0.042,1.40009114939001e-14,"matureB"
"matureB.DAB1",7.83304424767961e-19,2.12134579765149,0.137,0.025,1.91745090138949e-14,"matureB"
"matureB.MX2",1.01862214195085e-18,1.81859063432641,0.192,0.056,2.49348514128149e-14,"matureB"
"matureB.ISG20",3.07918551076764e-18,0.995291639493759,0.527,0.313,7.53753821180811e-14,"matureB"
"matureB.MYL12B",5.37520032326757e-18,0.819112958681417,0.487,0.272,1.31579528713267e-13,"matureB"
"matureB.PLD4",1.06078859646171e-17,1.92268618053655,0.167,0.044,2.59670440527861e-13,"matureB"
"matureB.LCN2",2.59120379664401e-17,0.958411449226541,0.321,0.142,6.34300777380487e-13,"matureB"
"matureB.IFI44",5.74689752545e-17,2.44715481791635,0.133,0.028,1.4067830452549e-12,"matureB"
"matureB.PSMB9",7.11449337126666e-17,1.09289202215023,0.375,0.192,1.74155683235237e-12,"matureB"
"matureB.PFN1",7.67045195528038e-17,0.524117534744065,0.828,0.668,1.87764993413308e-12,"matureB"
"matureB.PSME1",1.06043643555722e-16,0.759900660105532,0.554,0.344,2.59584235060052e-12,"matureB"
"matureB.S100A6",1.42479818559268e-16,0.802812308416726,0.443,0.246,3.48776347851233e-12,"matureB"
"matureB.SYPL1",2.5522800091375e-16,0.884895127136096,0.325,0.149,6.24772623436769e-12,"matureB"
"matureB.COX6C",2.75283776511604e-16,0.783949146355334,0.409,0.21,6.73867156522756e-12,"matureB"
"matureB.HLA-A",5.90924564751497e-16,0.500629662550711,0.822,0.615,1.44652424205519e-11,"matureB"
"matureB.DYNLL1",1.44693311142489e-15,1.19884652569604,0.27,0.118,3.54194756345698e-11,"matureB"
"matureB.AC010894.3",1.84429346209335e-15,0.699902070585017,0.457,0.254,4.5146459658583e-11,"matureB"
"matureB.MYL12A",1.89654772324282e-15,0.71053456788058,0.56,0.363,4.6425591717261e-11,"matureB"
"matureB.PGLYRP1",5.02308099075854e-15,1.31813174473073,0.168,0.052,1.22959999572778e-10,"matureB"
"matureB.APBB1IP",5.09029354511982e-15,0.765530781975367,0.328,0.158,1.24605295690988e-10,"matureB"
"matureB.PDLIM1",9.41818022419246e-15,1.11164366737142,0.255,0.109,2.30547633708007e-10,"matureB"
"matureB.S100A11",2.20611783439018e-14,1.29589379320696,0.209,0.08,5.40035584680373e-10,"matureB"
"matureB.GAPT",2.93489102647369e-14,0.995780083094585,0.3,0.144,7.18431974370495e-10,"matureB"
"matureB.SPIB",3.30822252435874e-14,0.925506514355041,0.332,0.168,8.09819791737776e-10,"matureB"
"matureB.DOK3",3.55340436330676e-14,1.83953543530523,0.119,0.027,8.69837854093862e-10,"matureB"
"matureB.FCRL3",4.64584625261595e-14,0.979286397283321,0.206,0.079,1.13725670417786e-09,"matureB"
"matureB.STAT1",6.08572190418083e-14,1.09530763937595,0.29,0.145,1.48972386492443e-09,"matureB"
