pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.216056670602125	0.500341763499658	0.0965629554309422	0.390043892473815	1.25557362561471	12	Ucp2 Col4a1 Fabp4 Gadd45g Cyp4b1 Reep5 Aldoa Atp1b3 Ubb
HALLMARK_ALLOGRAFT_REJECTION	0.104477611940299	0.35361653272101	0.13880510939114	0.343527304817798	1.39378093157304	25	H2-Aa Cd74 Ctss H2-Ab1 Stab1 Ets1 Fyn Mrc1 Srgn Stab2 Fcgr2b Ccnd2 Psmb10 F2r
HALLMARK_ANDROGEN_RESPONSE	0.455056179775281	0.667415730337079	0.154190966581424	-0.25	-0.98586017415195	10	Ube2i Tmem50a Lifr Myl12b Myl12a Gnai2 Sat1 Sgk1 Ccnd2 Maf
HALLMARK_ANGIOGENESIS	0.151111111111111	0.391111111111111	0.135740943810425	0.638820638820639	1.29419588849081	3	Ccnd2 Nrp1 App
HALLMARK_APICAL_JUNCTION	0.534988713318285	0.692338334882486	0.0481183992657975	0.268844844181769	0.961694336436002	17	Sdc3 Msn Pecam1 Fyn Icam2 Cldn5 Fcgr2b
HALLMARK_APOPTOSIS	0.00260783593653871	0.0382482604025677	0.431707695803346	0.494121808641595	1.89906915696385	21	Dcn Bgn Timp3 Cd38 Rhob Gadd45g Junb Bmp2 Jun Ccnd2 Txnip Btg2 Pea15a App F2r Sat1 Bax Ifitm2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.296116504854369	0.566483748417054	0.080419996876154	0.381648008005556	1.1584057790489	10	Lgmn Cxcl16 S100a11 Fabp5 Cd9 Aldoa Gnai2
HALLMARK_COAGULATION	0.036117381489842	0.172037914691943	0.252961123069611	0.441083953305432	1.57781690431019	17	Ctss C1qa Timp3 Lgmn F8 Pecam1 Fyn Sparc
HALLMARK_COMPLEMENT	0.0575692963752665	0.230277185501066	0.191892240384838	0.360336688734933	1.47744502375075	26	C1qc Ctss C1qa Fcer1g Col4a1 Gngt2 Lgmn F8 Fyn Ehd3 Cd55
HALLMARK_DNA_REPAIR	0.877813504823151	0.882191780821918	0.0745500777420554	-0.266009852216749	-0.65341753469535	4	Rbx1 Vps28 Sdcbp Npr1
HALLMARK_E2F_TARGETS	0.0101351723601385	0.0827101353273583	0.380730400722792	-0.631188118811881	-1.84310024000275	6	Snrpb Ranbp1 Ddx39b Pttg1 Tubb5 Cdk4
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0115767841594811	0.0827101353273583	0.380730400722792	0.44530049868551	1.73947322813723	22	Ecm1 Dcn Bgn Timp3 Col4a1 Vim Rhob Gadd45g Junb Sparc Dab2 Jun
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.212378640776699	0.500341763499658	0.0992333343771191	0.413903866110334	1.25631110451364	10	Klf2 Calcrl Il6st Fos Ccnd2 Elf1 Hes1 Jak1 Sh3bp5
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0390995260663507	0.172037914691943	0.248911114434702	0.485418134714259	1.52727249834603	11	Plxnd1 Klf2 Calcrl Il6st Fos Ccnd2 Fabp5 Cd9 Sgk1
HALLMARK_FATTY_ACID_METABOLISM	0.427835051546392	0.64912904372556	0.152144922367565	-0.27930174563591	-1.02042276031292	9	S100a10 Psme1 Ywhah Cd36 Lgals1 Serinc3 Aldoa Reep5 Cyp4b1
HALLMARK_G2M_CHECKPOINT	0.875311720698254	0.882191780821918	0.029777461260706	0.240101178404536	0.682503614752124	8	Marcks Ccnd2 Mt1 Cdk4 Atrx Pttg1 Ddx39b
HALLMARK_GLYCOLYSIS	0.119178082191781	0.367872807017544	0.148261500475107	0.571991397260351	1.37084312025005	5	Dcn Sdc3 Pkm
HALLMARK_HEME_METABOLISM	0.682337992376112	0.833968657348581	0.0424170054438747	0.30357856358849	0.829736917527541	7	Ucp2 Ccnd2 Btg2 Sptbn1 Sdcbp Tmem9b
HALLMARK_HYPOXIA	0.0316027088036117	0.172037914691943	0.271288554688953	0.45216305480849	1.61744834749713	17	Dcn Sdc3 Bgn Ets1 Pkm Junb Fos Jun Anxa2 Btg2 Aldoa Mt1 Hexa
HALLMARK_IL2_STAT5_SIGNALING	0.484536082474227	0.687728633189225	0.053347785067549	0.300228730430004	0.996902625910627	13	Ecm1 Rhob Bmp2 Serpinb6a Ccnd2 Nrp1 Macf1 Ifitm2
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.765402843601896	0.86806074184715	0.0338245444462164	0.237462689869955	0.747129556325993	11	Cd38 Junb Il6st Jun Cd9 Jak1 Cd36 Tnfrsf1a Lifr Jund Itgb1
HALLMARK_INFLAMMATORY_RESPONSE	0.553672316384181	0.696045197740113	0.0466015072985992	0.266644391179047	0.940196747423393	16	Stab1 Fyn Calcrl Rtp4 Cd55 Stab2 Btg2 Gnai2 Ifitm2 Nfkbia
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.524293785310734	0.692338334882486	0.0490939668192139	0.273031533091938	0.962718016388692	16	Ifi27l2a Cd74 Rtp4 Txnip Lpar6 Elf1 Psmb8 Ifitm2 Cd47 H2-D1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.312765957446809	0.573404255319149	0.0707899094502623	0.279002426432282	1.15428320590507	27	Ifi27l2a H2-Eb1 H2-Aa Cd74 Ptgs1 Cd38 Rtp4 Txnip Btg2 Psmb10 Mt1 Vamp5 Psmb8 Ifitm2 Nfkbia H2-D1 Jak1
HALLMARK_KRAS_SIGNALING_DN	0.419753086419753	0.64912904372556	0.135740943810425	-0.344059405940594	-1.00467032690346	6	Actg1 Actb Camk1 Sptbn1 Sgk1 Btg2
HALLMARK_KRAS_SIGNALING_UP	6.86040808646916e-06	0.000301857955804643	0.610526878385931	0.604633700672727	2.41250396307555	23	Ctss Plvap Fcer1g Ptgs1 Adgrl4 Eng Kdr Ets1 Gadd45g Pecam1 Klf2 Bmp2 Tspan7 Maf Fcgr2b Gng11 Tfpi Ccnd2 Nrp1
HALLMARK_MITOTIC_SPINDLE	0.842417061611375	0.882191780821918	0.0291395520262835	0.213630038906301	0.672144816827344	11	Marcks Msn Macf1 Tuba1b Sptbn1 Arhgdia
HALLMARK_MTORC1_SIGNALING	0.796116504854369	0.875728155339806	0.0330894161454377	0.240090820481629	0.728741112513446	10	Lgmn Btg2 Cd9 Aldoa Tuba1b Pitpna
HALLMARK_MYC_TARGETS_V1	0.00014658358865044	0.00322483895030967	0.518848077743792	-0.544303797468355	-2.71794731410788	15	Pabpc1 Rplp0 Rpl14 Psmb2 Ppia Rpl18 Psmb3 Ranbp1 Rps5 Rps3 Srsf7 Cdk4 Snrpb2 Rps6 Hdac1
HALLMARK_MYOGENESIS	0.269186712485682	0.551440329218107	0.0824344091527096	0.360172512415051	1.19594458162992	13	Col4a1 Vim Plxnd1 Igfbp7 Sparc
HALLMARK_NOTCH_SIGNALING	0.7491961414791	0.86806074184715	0.0828962134571565	-0.317733990147783	-0.780470944219445	4	Rbx1 Psenen Hes1 Ccnd2
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.334883720930233	0.589395348837209	0.16440575583821	-0.324435175328988	-1.04638657835177	7	Atp6v0b Atp6v1g1 Atp6v1f Atp6ap1 Atp6v0e
HALLMARK_P53_PATHWAY	0.0131584306202615	0.0827101353273583	0.380730400722792	0.431243409265065	1.74966831535848	25	Plxnd1 Gadd45g Klf2 Junb Bmp2 Fos Jun Ccnd2 Txnip Tm4sf1 Btg2 App Ier5 F2r Plk2 Sat1 Slc3a2 Pitpnc1 Bax
HALLMARK_PEROXISOME	0.379421221864952	0.618316065261403	0.125033367555272	-0.438465528408198	-1.07703177996555	4	Pabpc1 Ywhah Tspo
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.769417475728155	0.86806074184715	0.0347156757446657	0.2475	0.751229992822149	10	Fyn Gng11 Dusp3 Arpc3 Arhgdia Cfl1 Cdk4 Tnfrsf1a Pfn1 Actr3
HALLMARK_PROTEIN_SECRETION	0.275720164609054	0.551440329218107	0.170932335370056	-0.405940594059406	-1.18536642886451	6	Ap2s1 Gnas Ap1b1 Clta Snx2 Macf1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.882191780821918	0.882191780821918	0.0339723613634993	0.277992653855189	0.666241343563395	5	Junb Jun Hmox2 Pdlim1 Jund
HALLMARK_TGF_BETA_SIGNALING	0.127147766323024	0.367872807017544	0.129442887745046	0.418284459895377	1.38890397281458	13	Ltbp4 Eng Junb Bmp2 Jun Id1 Rhoc Id3 Sptbn1 Hdac1 Fkbp1a Bmpr2
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00980905992424474	0.0827101353273583	0.380730400722792	0.423150468073426	1.73499278007955	26	Marcks Ptgs1 Rhob Gadd45g Klf2 Junb Il6st Bmp2 Fos Ehd3 Jun Ccnd2 Btg2 Ier2 Ier5 Plk2 Sgk1 Sat1 Hes1 Ets2 Nfkbia Ccnl1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0768651102179112	0.281838737465674	0.287805130535564	-0.635467980295567	-1.56094188843889	4	Kif5b Rps14 Fus Tubb5
HALLMARK_UV_RESPONSE_DN	0.25383707201889	0.551440329218107	0.0873098257637931	0.382499359481054	1.23128734187569	12	Ltbp4 Fyn Dab2 Anxa2 Id1 Tfpi Nrp1 Mt1
HALLMARK_UV_RESPONSE_UP	0.133771929824561	0.367872807017544	0.122679189568808	0.361538853399197	1.35225190031614	19	Rhob Fyn Junb Il6st Bmp2 Fos Jun Slc25a4 Ccnd2 Btg2 Aldoa Tuba1b Nfkbia H2-D1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.525925925925926	0.692338334882486	0.0615706755421678	0.476658476658477	0.965669239873912	3	Ccnd2 Gnai2 Hdac1
HALLMARK_XENOBIOTIC_METABOLISM	0.378600823045268	0.618316065261403	0.143758989039275	-0.366336633663366	-1.06972092360944	6	Tnfrsf1a Cd36 Pros1 Ets2 Mt1 Psmb10
