,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ubb,0,1.8867898617077,0.872,0.369,0
Gstp2,0,2.87682588365681,0.853,0.494,0
Gstp1,0,2.59405389033705,0.862,0.518,0
Hist1h2bc,0,2.4153930843839,0.819,0.496,0
Eci1,0,2.39770110057904,0.582,0.262,0
Ndufab1,0,2.25380460117366,0.597,0.279,0
Hsd17b10,0,2.1904636171071,0.665,0.35,0
Fabp2,0,2.43792777044208,0.718,0.412,0
Prdx5,0,2.03985827189295,0.737,0.449,0
Pecr,0,2.25562311022999,0.709,0.429,0
S100a10,0,2.03245437931382,0.735,0.463,0
Dhrs4,0,2.10580784899108,0.648,0.379,0
Ndufb2,0,1.97210219480067,0.694,0.428,0
Ech1,0,2.11761964866377,0.775,0.514,0
Acat1,0,2.19285139182529,0.743,0.482,0
Txn1,0,1.84199623160631,0.772,0.514,0
Tst,0,2.09105044140367,0.684,0.435,0
Ndufb4,0,1.85973221633144,0.699,0.453,0
Mif,0,1.92411915201209,0.743,0.518,0
Uqcrb,0,2.11077374999938,0.895,0.673,0
Sdhb,0,1.78655466312102,0.728,0.509,0
Edf1,0,1.82407266546841,0.767,0.549,0
Angptl3,0,1.90558201538246,0.792,0.587,0
Etfb,0,2.0848347341348,0.863,0.661,0
Cox7b,0,1.859418170091,0.846,0.645,0
Ddt,0,2.19339647692235,0.936,0.745,0
Ppia,0,1.72057225023936,0.875,0.691,0
Atp5h,0,1.65279751926573,0.827,0.657,0
Rpl17,0,1.42733550824537,0.798,0.629,0
Cox6b1,0,1.81697744406766,0.916,0.748,0
Chchd10,0,1.91951100856882,0.976,0.808,0
Urah,0,1.76485252023389,0.829,0.673,0
Nme2,0,1.66532527363292,0.889,0.736,0
Cycs,0,1.79784892349376,0.815,0.662,0
Mpc1,0,1.70539806573292,0.826,0.678,0
Mpc2,0,1.45226712562092,0.802,0.657,0
Pfn1,0,1.34990862233679,0.804,0.662,0
Rps6,0,1.30989029399557,0.886,0.744,0
Hrsp12,0,2.07299765787944,0.918,0.778,0
Arg1,0,1.73986127321834,0.907,0.772,0
Hspe1,0,1.39146594369838,0.815,0.681,0
Park7,0,1.55860640575382,0.792,0.659,0
Ass1,0,2.27170889599679,0.977,0.846,0
Rps2,0,1.70491477096728,0.907,0.777,0
Cox5b,0,1.54126429855921,0.84,0.71,0
Atp5j2,0,1.57917981327151,0.894,0.768,0
