,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Gstp1,0,3.56707219469078,0.862,0.368,0
Hist1h2bc,0,3.05609377853128,0.819,0.325,0
Gstp2,0,3.3594161216377,0.853,0.367,0
Hrsp12,0,3.50636642546652,0.918,0.471,0
Urah,0,2.83295820015078,0.829,0.39,0
Ddt,0,2.94731987981477,0.936,0.533,0
Mpc1,0,2.60842045114998,0.826,0.426,0
Arg1,0,2.86378564377388,0.907,0.516,0
Cdo1,0,2.75604689592596,0.922,0.542,0
Chchd10,0,2.8276739550709,0.976,0.602,0
Prdx6,0,2.43262946458659,0.889,0.528,0
Car3,0,2.98559756759003,0.971,0.612,0
Cox7b,0,2.35884104390935,0.846,0.487,0
Phyh,0,2.40739190308821,0.915,0.557,0
Gsta3,0,2.65834306474169,0.95,0.593,0
Adk,0,2.51824819588738,0.879,0.526,0
Akr1c6,0,2.08928866446184,0.912,0.574,0
Msrb1,0,2.37915452862944,0.854,0.517,0
Ttc36,0,2.44220752122872,0.941,0.604,0
Acaa2,0,2.45350203618661,0.896,0.568,0
Uox,0,2.18662746186152,0.937,0.609,0
Fbp1,0,2.47102366021514,0.934,0.608,0
Ass1,0,3.09002977587945,0.977,0.663,0
Sephs2,0,2.07512160191683,0.887,0.578,0
Wfdc21,0,1.85490837003305,0.955,0.649,0
Mdh1,0,2.16334913620539,0.863,0.563,0
Bhmt,0,3.09034252930909,0.986,0.689,0
Etfb,0,2.2360479678641,0.863,0.569,0
Nme2,0,2.00198993052196,0.889,0.598,0
Rps2,0,1.90070976742614,0.907,0.619,0
Hpd,0,1.84641959309722,0.952,0.666,0
Atp5g1,0,2.17300955336641,0.903,0.62,0
Gapdh,0,2.46493603371611,0.864,0.584,0
Gnmt,0,2.24708042545779,0.96,0.68,0
Hmgcs2,0,1.94591889750918,0.927,0.65,0
Acaa1b,0,1.94595340512708,0.952,0.68,0
Aldob,0,2.67638582423853,0.985,0.721,0
Uqcrb,0,2.02812834456009,0.895,0.632,0
Gstm1,0,2.84852515364775,0.931,0.671,0
Cox6b1,0,1.87575690348516,0.916,0.666,0
Apoc4,0,1.61354115127776,0.974,0.732,0
Serpina1b,0,1.41717798705648,0.99,0.755,0
Atp5j,0,1.87765805437519,0.928,0.707,0
Uqcrq,0,2.15273498672785,0.968,0.767,0
Apoc3,0,1.89065940203805,0.99,0.79,0
Uqcr11,0,1.58053354637366,0.923,0.736,0
Cyb5a,0,2.36429440471903,0.976,0.791,0
Gpx1,0,2.04948893410348,0.987,0.836,0
Chchd2,0,1.71098687794861,0.968,0.831,0
Scp2,0,1.94538356878985,0.994,0.862,0
Fabp1,0,3.01092087374433,0.997,0.872,0
Dbi,0,2.36546098710598,0.991,0.867,0
Ndufa4,0,1.67368721509427,0.964,0.841,0
Apoc1,0,2.10049182181049,0.996,0.883,0
Prdx1,0,2.02714647308788,0.995,0.912,0
Fth1,0,2.02576958750675,0.999,0.962,0
Ftl1,0,1.73909271887231,1,0.992,0
Mpc2,8.02371400955181e-307,2.52810546773996,0.802,0.421,1.31701241752783e-302
Atp5e,2.14109779209227e-306,1.93569487117773,0.869,0.623,3.51439791594025e-302
Otc,4.86184985379806e-305,2.33870117046262,0.825,0.46,7.98024035002414e-301
Atp5b,7.23698966296781e-300,1.77151311735028,0.895,0.734,1.18787948327954e-295
Atp5j2,5.22975093110448e-299,1.71587683043703,0.894,0.668,8.58411317831489e-295
Atp5k,1.02763740929015e-292,1.87018402938521,0.868,0.609,1.68676404360885e-288
Acat1,8.40387275014153e-288,2.93233684864693,0.743,0.31,1.37941167320823e-283
Cycs,1.55622124271715e-287,2.22745872562394,0.815,0.498,2.55438154779592e-283
2010107E04Rik,4.88492733863409e-287,1.93977149492647,0.853,0.573,8.01811973363399e-283
Pcbd1,6.21661324020348e-284,2.47830030860774,0.775,0.4,1.020394897247e-279
Apoa2,1.2499253684742e-275,1.23878356413322,0.995,0.849,2.05162749981355e-271
Oaz1,4.05137577650396e-272,1.58455288192471,0.9,0.694,6.64992819955359e-268
Serpina1c,5.77369331314635e-268,1.30220566979269,0.992,0.783,9.47694020419842e-264
Cox6c,2.02970910511918e-267,1.27934614588116,0.937,0.833,3.33156452514262e-263
Usmg5,2.48965606592497e-265,1.81339001939148,0.848,0.582,4.08652146660924e-261
Ttr,3.3524389113426e-265,1.28398983307239,0.994,0.82,5.50269322907774e-261
Slc25a5,2.03376054162564e-264,1.90315360976402,0.84,0.573,3.33821455302433e-260
Cox8a,1.51265692420773e-263,1.40481492175792,0.908,0.754,2.48287507539456e-259
Ndufa6,5.76063095977128e-263,1.76023080339082,0.854,0.607,9.45549965736858e-259
Hspe1,8.26737900448561e-261,1.95962570376821,0.815,0.504,1.35700758979627e-256
Atp5l,4.86517001408995e-259,1.45248168240755,0.905,0.72,7.98569006112725e-255
Hibadh,6.35290116088407e-259,2.45688124893151,0.752,0.351,1.04276519654751e-254
Angptl3,7.169232677665e-257,2.17587996210616,0.792,0.463,1.17675785171193e-252
Gchfr,2.93211551624446e-255,2.31894741024757,0.762,0.402,4.81277440836366e-251
Atp5d,4.49703644513082e-253,1.89156551830078,0.817,0.555,7.38143562103773e-249
Eif1,5.25692177446983e-253,1.33975210270952,0.94,0.791,8.62871140061477e-249
Cox7a2,4.3479553600801e-249,1.53388955070204,0.877,0.678,7.13673392803547e-245
Uqcr10,2.1819911109343e-245,1.64758144301217,0.852,0.646,3.58152020948756e-241
Gstz1,9.1165932755164e-244,2.08428521174242,0.783,0.478,1.49639762024326e-239
Fabp2,1.39995104445456e-243,2.76088440690181,0.718,0.304,2.29787964436771e-239
Rpl36al,3.61306218371638e-242,1.71083220209257,0.84,0.602,5.93048026835207e-238
Ech1,1.06388331614864e-241,2.16869560829783,0.775,0.445,1.74625807512637e-237
Rbp4,2.15365432812799e-241,1.10995854404457,0.982,0.774,3.53500821418928e-237
