pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.0422770747144035	0.163663967611336	0.321775918075361	-0.17358061485972	-1.36839042584062	75	Ubb Ndufab1 Ech1 Ndufs3 Etfb Tst Ddt Cmbl Chchd10 Sdhb Cox7b Suclg1 Acaa2 Ndufa5 Idh3g Grpel1 Atp5o Sult1a1 Dnajc15
HALLMARK_ALLOGRAFT_REJECTION	0.0859060402684564	0.263755980861244	0.175204047558551	0.377733920993421	1.44790029346696	18	Stat3 Jak1 Bche Eif3a Cd1d1 Egfr H2-K1 Itgb1 Degs1 Wasl Akt2 Eif4g1 Chuk Tapbp Aars
HALLMARK_ANDROGEN_RESPONSE	0.00891533839871715	0.0737260616131976	0.380730400722792	0.419719660138418	1.84795872136607	28	Acsl4 Insig1 Idi1 Fads1 Dhcr24 Iqgap2 Elovl2 Ell2 Hmgcs1 Sec24c Scd1 Sec24d Elovl5 Lman1 Steap4 Actn4 Gnai3 Aldh1a7 Abcc3 Spcs3 Akt2 Ncoa4 Gnai2 Lifr Slc38a2 Gm10768
HALLMARK_APICAL_JUNCTION	0.0386821359616249	0.163663967611336	0.321775918075361	0.373544651749729	1.64465752400761	28	Cdh1 Ctnnd1 Insig1 Pten Ctnnb1 Dhx15 Ywhag Adam9 Ctnna1 Pik3r1 Cdh2 Rdx Egfr Itgb1 Actn4 Gnai3 Parva
HALLMARK_APICAL_SURFACE	0.22848200312989	0.386055798391884	0.110564716336619	0.557010227621595	1.22682899705162	4	Adipor2 Atp8b1 Atp11c
HALLMARK_APOPTOSIS	0.246052631578947	0.401885964912281	0.0952879846194844	0.300184247376239	1.20822448208292	21	Dpyd Ppp2r5a Sod1 Mcl1 Xiap Ctnnb1 Ppp3r1 Pdcd4 Egfr Cflar
HALLMARK_BILE_ACID_METABOLISM	0.633626097867001	0.705629063533706	0.0452247443372884	0.19129423520104	0.884628698494291	36	Sod1 Idi1 Hsd17b11 Cat Fads1 Dhcr24 Nedd4 Rxra Acsl1 Abca8a Abca1 Aldh1a1 Abcd3 Aldh1a7 Rdh16 Slco1a1 Aqp9 Slco1b2 Npc1 Dio1 Pnpla8
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0852417302798982	0.263755980861244	0.170932335370056	0.322839444289506	1.43113039373145	30	Cyp51 Idi1 Fads1 Ctnnb1 Gldc Hmgcs1 Cpeb4 Scd1 Fasn Alcam Ldlr Dhcr7 Acss2 Fdft1 Abca1 Gnai3 Mal2 Errfi1
HALLMARK_COAGULATION	0.35036496350365	0.495526315789474	0.0718276293603809	0.230221104895802	1.09765737789826	39	Pcsk6 Adam9 Furin Fn1 Hmgcs1 C1s1 Klkb1 Gnb1 Fga Itgb1 Cfh Usp4 F13b Tmprss6 C6 Dpp4 Lrp1 Hnf4a F9 Ctsb Cfhr1 Bmp1 Plg C8a Rac1 Proz Lamp2
HALLMARK_COMPLEMENT	0.133010882708585	0.310358726320032	0.130105630751129	0.270599231394496	1.33267363643959	44	Cebpb Jak1 Adam9 Fn1 Rnf4 Ppp2ca C1s1 Klkb1 Gnb1 Lipa Actn4 Cfh F7 Usp4 Gnai3 Cp Tmprss6 C6 Dpp4 F5 Cd36 Wasl Lrp1 Hspa5 Hnf4a F9 Ctsb Gnai2 Cfhr1
