pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.288384512683578	0.64983164983165	0.0870515867946735	0.281027616960643	1.15526702392446	17	Ubb Ndufab1 Ech1 Ndufs3 Etfb Tst Ddt
HALLMARK_BILE_ACID_METABOLISM	0.832535885167464	0.925039872408293	0.0437125833579551	0.294363118012144	0.710745295768564	4	Pecr Prdx5 Pxmp2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.213087248322148	0.64983164983165	0.119887845115423	0.577380952380952	1.23955668248318	3	Ech1 Adh4 Adh5
HALLMARK_DNA_REPAIR	0.770134228187919	0.918574326282237	0.0495901956956338	0.362751486994829	0.778777041277373	3	Edf1 Vps28 Adrm1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.265151515151515	0.64983164983165	0.0992333343771191	0.408914979472461	1.15212572318206	6	Etfb Tst Ass1 Dhrs4
HALLMARK_FATTY_ACID_METABOLISM	0.0440587449933244	0.64983164983165	0.248911114434702	0.389835693395139	1.6025625032831	17	Fabp2 Eci1 Fh1 S100a10 Cbr1 Hsd17b10 Ech1 Adh4 Lgals1
HALLMARK_GLYCOLYSIS	0.216772151898734	0.64983164983165	0.114750719227023	0.461922651296139	1.21695949098009	5	Psmc4 Txn1 Mif Ppia
HALLMARK_HEME_METABOLISM	0.0972972972972973	0.64983164983165	0.237793834423688	-0.536144578313253	-1.47192049779238	5	Blvrb Prdx1 Hagh Selenbp1 Alad
HALLMARK_HYPOXIA	0.702702702702703	0.918574326282237	0.0770736734944102	-0.295180722891566	-0.81038319541378	5	Fbp1 Gapdh Selenbp1 Mif Prdx5
HALLMARK_IL2_STAT5_SIGNALING	0.411330049261084	0.822660098522167	0.102080107662747	-0.482758194786574	-1.01863173038195	3	Ifitm3 Rnh1
HALLMARK_INFLAMMATORY_RESPONSE	0.780788177339901	0.918574326282237	0.0670512579829467	-0.363095238095238	-0.766139932306927	3	Ifitm3 Adrm1 Ifitm2
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.634768740031898	0.918574326282237	0.0561766586307176	0.362384623541383	0.874984502746955	4	Ifi27 Ifitm2 Psma3
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.292424242424242	0.64983164983165	0.0934449219410994	0.396875231808214	1.11820350540835	6	Ifi27 Psmb2 Psma2 Ifitm2
HALLMARK_MTORC1_SIGNALING	0.26969696969697	0.64983164983165	0.0982123351217438	0.408300362012332	1.15039402681172	6	Psmb5 Psmc4
HALLMARK_MYC_TARGETS_V1	0.286301369863014	0.64983164983165	0.088894528862045	0.309730532717631	1.15874328602119	13	Psmb3 Psmc4 Ndufab1 Psmb2
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.466747279322854	0.848631416950643	0.057609110864425	0.190357435592585	0.993932418682357	35	Ndufab1 Eci1 Fh1 Hsd17b10 Uqcrb Ech1 Ndufb2 Acat1 Ndufs3 Etfb Ndufv2 Ndufs7 Cox6b1 Ndufb4 Ndufs8 Ndufs4 Ndufb6 Ndufa9 Ndufa8
HALLMARK_PEROXISOME	0.51510067114094	0.858501118568233	0.0686325631836726	0.446342180667078	0.958234646360395	3	Ech1 Prdx5
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.758389261744966	0.918574326282237	0.0502948063662358	0.36818796055723	0.790448394663085	3	Txn1 Ndufb4
HALLMARK_UV_RESPONSE_UP	0.997536945812808	0.997536945812808	0.0553642837725362	-0.226190476190476	-0.477267498814151	3	Grpel1 Atp6v1f Tst
HALLMARK_XENOBIOTIC_METABOLISM	0.954794520547945	0.997536945812808	0.0301329841082956	0.145494653685847	0.544314929597698	13	Cbr1 Ech1 Adh4 Ddt Angptl3 Adh5 Gstt2
