,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Fn1,0,1.50530016152681,0.898,0.378,0
Dpyd,0,2.05497932315398,0.731,0.256,0
Acly,0,2.02069891117962,0.764,0.299,0
Maob,0,1.93695873128717,0.728,0.263,0
Hsp90b1,0,1.20261745351995,0.924,0.461,0
P4hb,0,1.38802005521466,0.909,0.448,0
Ppp1r3b,0,2.80036454682634,0.678,0.221,0
Dhcr24,0,1.64350864445768,0.775,0.319,0
Aplp2,0,1.45431251253721,0.762,0.307,0
Insig1,0,1.75349933265155,0.835,0.385,0
Zfp36l1,0,1.46671090504175,0.835,0.39,0
Pcbp1,0,1.83503934790549,0.682,0.24,0
Cyp4v3,0,1.40693749654517,0.847,0.405,0
Cp,0,1.12453129627013,0.88,0.441,0
Elovl2,0,1.49872983533231,0.772,0.335,0
Adipor2,0,1.51432008888236,0.735,0.298,0
Acsl1,0,1.44022625624765,0.887,0.45,0
Apob,0,0.964270203053391,0.952,0.518,0
Malat1,0,-0.759423523539552,0.948,0.516,0
Aass,0,1.52056602296086,0.755,0.325,0
Canx,0,1.35763574785766,0.818,0.396,0
Ehhadh,0,1.77626949913417,0.651,0.232,0
Gclc,0,1.5022429286552,0.73,0.311,0
Hspa5,0,0.966748627700954,0.947,0.535,0
Sod1,0,1.8052961181718,0.943,0.535,0
Gldc,0,1.56198579153594,0.73,0.335,0
Ubb,0,-2.80431825512649,0.312,0.706,0
Pigr,0,1.6556616889023,0.88,0.501,0
Cps1,0,1.67394885677497,0.929,0.553,0
H2-K1,0,1.19534317567312,0.972,0.633,0
Atp5g3,0,1.09803837880744,0.919,0.589,0
Pck1,0,1.71530272666642,0.866,0.57,0
Pah,0,1.06518311052053,0.919,0.625,0
Igfbp4,0,1.49707990894332,0.967,0.678,0
Fga,0,1.28676004258912,0.979,0.711,0
Aldh1a1,0,1.21653474884891,0.923,0.677,0
Acox1,0,1.34859327643711,0.966,0.727,0
Rps28,0,1.06016635933348,0.966,0.727,0
Tpt1,0,1.389992595608,0.995,0.82,0
Rps29,0,0.948837564757957,0.99,0.848,0
Rpl37a,0,0.893175548493507,0.981,0.852,0
Mat1a,0,0.844011014741261,0.986,0.871,0
Scd1,0,1.43969228085015,0.986,0.875,0
Cat,0,1.69816007171247,0.998,0.907,0
Rpl41,0,0.770021949669066,0.999,0.947,0
Serpina3k,0,0.829059003431246,0.995,0.972,0
Ddx3x,1.65939568219436e-303,1.92019682562105,0.605,0.201,2.72373207275382e-299
Eef1a1,2.86176906670069e-299,0.589916591563718,0.993,0.928,4.69730774608251e-295
Errfi1,8.70765957278659e-298,1.09347124638734,0.892,0.604,1.42927524227719e-293
Ugt3a2,1.59441332665953e-297,1.66103886701557,0.641,0.225,2.61707003437896e-293
Uroc1,3.05382334342963e-297,1.35036668383476,0.775,0.409,5.01254563590539e-293
Elovl5,2.1750416308875e-296,1.31709399560942,0.832,0.443,3.57011333293874e-292
Cyp3a25,6.91431225986843e-295,1.12527118031542,0.858,0.457,1.1349152143348e-290
Apon,6.84972593242914e-292,1.08981486424956,0.88,0.479,1.12431401454892e-287
Rnf149,1.60507450280807e-287,1.67369778409832,0.638,0.237,2.63456928890917e-283
Aldh4a1,3.07895853746033e-283,1.54939611133985,0.66,0.262,5.05380254338739e-279
Sdc4,1.16346193336566e-282,1.2893851504021,0.734,0.328,1.90970641742639e-278
F11r,8.71695798995619e-282,2.23832258768323,0.541,0.169,1.43080148447141e-277
Cd164,4.24082704496994e-281,1.46167300332246,0.675,0.264,6.96089351161366e-277
Paqr9,2.66443825221463e-276,1.91022024776773,0.584,0.2,4.3734089471851e-272
Ugt2b34,1.21792782880863e-274,1.36549321654607,0.707,0.295,1.99910673820649e-270
Cltc,1.54882644396586e-274,2.04984749454208,0.53,0.152,2.54224372512557e-270
Calr,2.21137147464733e-267,0.895800085148495,0.912,0.596,3.62974513848613e-263
C1s1,2.81347415999335e-267,1.41458935428413,0.675,0.278,4.61803648621308e-263
Cfh,2.07999381371864e-264,1.13510940740749,0.772,0.342,3.41410184583778e-260
Crp,2.7989846587224e-264,0.896386661065066,0.9,0.544,4.59425341882695e-260
Cyp2f2,1.84266505583261e-262,1.2404120802158,0.781,0.529,3.02455042264365e-258
Tgoln1,2.14591491933497e-258,1.7688486114062,0.567,0.191,3.52230474859642e-254
Eif4g2,1.03311070233355e-257,1.25287227200497,0.743,0.372,1.69574790681028e-253
Deptor,8.19542161462251e-257,1.76162413662566,0.557,0.186,1.34519650382414e-252
Tat,1.22831369747821e-253,0.879444306353546,0.941,0.741,2.01615410304073e-249
Abcd3,9.62810042548073e-253,1.20331056272665,0.782,0.438,1.58035640383841e-248
Ppp2r5a,1.01867026398771e-251,2.00351095701609,0.509,0.153,1.67204537130942e-247
Dynll2,2.6596884775251e-251,1.0958257275383,0.818,0.442,4.36561266700969e-247
Myo1b,2.44697189668474e-249,1.49905999151045,0.628,0.254,4.01645967121833e-245
Sepp1,3.17207402266462e-249,0.549920461105883,0.999,0.994,5.2066423008017e-245
Cyb5b,2.60898433252382e-248,1.24609797117786,0.738,0.378,4.28238688340459e-244
Fads1,1.13553870024078e-246,1.64466784038688,0.594,0.236,1.86387322257522e-242
Qdpr,2.5759283755306e-246,0.891604421805854,0.897,0.554,4.22812883559593e-242
Actb,4.17356227887779e-245,0.64015538876327,0.958,0.744,6.85048512455001e-241
Pgrmc1,7.65157830007815e-245,0.68768339809578,0.973,0.848,1.25593006217483e-240
Klkb1,9.76747293049076e-245,1.354006307329,0.643,0.26,1.60323300681075e-240
Slco1b2,1.06143184908663e-243,0.986463048941657,0.865,0.485,1.7422342370908e-239
Apoa1,1.67404172059191e-243,-0.805237685196099,0.998,0.999,2.74777208017956e-239
Acadsb,8.00280235976167e-240,1.62303491624098,0.565,0.2,1.31357997933128e-235
Man2a1,1.15167380521056e-239,1.7573321268174,0.533,0.174,1.89035738387262e-235
Uqcrb,7.53209561982364e-238,-1.66966423837471,0.673,0.785,1.23631817503785e-233
Ttr,8.02352956948045e-238,-0.679104650056772,1,1,1.31698214353452e-233
Hsd17b11,3.41164811016621e-237,1.72690139233354,0.527,0.167,5.59987920802682e-233
Herpud1,3.75941707852135e-237,1.10006216990051,0.778,0.408,6.17070719268495e-233
Arl5a,2.62678194226348e-236,1.9737259444865,0.485,0.139,4.31159988003128e-232
Fasn,1.62001066318537e-235,1.43325373705023,0.66,0.299,2.65908550255247e-231
Cpn2,2.24205579510737e-234,1.52429752582428,0.576,0.214,3.68011038208923e-230
Plg,4.91701569658335e-234,0.816541493942928,0.889,0.483,8.07078956437192e-230
Cd1d1,2.16556769855662e-233,1.25695707869807,0.733,0.386,3.55456282041083e-229
Slc38a3,4.93698289135121e-233,0.987348976105299,0.786,0.38,8.10356371786387e-229
Rrbp1,2.4669554977e-232,1.20665487701315,0.694,0.328,4.04926075392477e-228
Copa,1.58332947470793e-231,1.79618269817034,0.502,0.157,2.5988769997856e-227
