,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Rnr2,0,-4.20801564259591,0.154,0.991,0
ND3,0,-3.79266129404776,0.271,0.991,0
Malat1,0,-4.44400991587516,0.278,0.997,0
Cps1,0,-4.27556410386107,0.31,0.984,0
ND2,0,-3.63730877517054,0.431,0.998,0
COX2,0,-3.79071983244527,0.704,0.999,0
ND1,0,-3.03772220659313,0.788,1,0
COX1,0,-4.49718234188383,0.788,1,0
CYTB,0,-2.97040468139037,0.819,1,0
COX3,0,-3.18319436885621,0.921,1,0
ATP6,0,-3.07314455795968,0.922,0.999,0
Fabp1,0,1.96614801044394,1,0.993,0
ND4,3.02563977492927e-305,-3.0091270787981,0.725,0.999,4.9662851265689e-301
Apob,7.09900991913086e-296,-3.38786093005665,0.211,0.983,1.16523148812614e-291
Fga,7.10758268719681e-296,-2.45980027355121,0.581,0.984,1.16663862227648e-291
Ttr,3.04079931713486e-295,1.33561366859152,1,0.987,4.99116799914516e-291
Prdx1,9.37487982537874e-295,2.01935333197497,1,0.998,1.53879277453767e-290
Fn1,8.41359857986193e-292,-4.37393608740977,0.069,0.964,1.38100807089854e-287
Cat,3.54778395321558e-286,-1.89641605138538,0.829,0.989,5.82333258080805e-282
Apoa2,3.87024496158709e-285,1.23107454038137,1,0.988,6.35262007994904e-281
Apoc1,2.21343418538773e-278,1.06757297648309,1,0.99,3.63313087189542e-274
Hspa5,8.78278809290318e-274,-3.03338077275129,0.241,0.988,1.44160683756913e-269
Ftl1,6.50159625495886e-272,1.28217008682796,1,1,1.06717200928895e-267
ND5,1.52655832625828e-263,-3.70275004410627,0.105,0.949,2.50569283672034e-259
ND4L,2.18246397446212e-262,-4.15773375569544,0.065,0.922,3.58229636768213e-258
Pigr,2.69176502795424e-262,-2.91278820323613,0.285,0.976,4.41826311688409e-258
Cyb5a,9.70514826039595e-260,1.88068135513639,0.996,0.98,1.59300303546139e-255
P4hb,4.69928137748756e-255,-2.94079734807821,0.186,0.975,7.71340045300808e-251
Cp,7.50892071099486e-255,-3.26919313384895,0.132,0.959,1.2325142455027e-250
Apoa1,2.8470090884012e-254,1.36424065918538,1,0.985,4.67308071770174e-250
Dbi,5.95450181712031e-254,1.58351041643364,1,0.994,9.77371928262127e-250
C3,2.67378143509625e-253,-2.6112881623811,0.34,0.979,4.38874484756698e-249
Chchd10,7.44615866537268e-252,1.85462727806059,0.993,0.951,1.22221248333427e-247
Ubb,5.99664294396246e-250,3.43286015922447,0.884,0.358,9.84288972821998e-246
Hsp90b1,9.32073737842895e-250,-2.89463596735238,0.191,0.979,1.52990583329533e-245
Tpt1,1.49785463315385e-247,-1.62533568367404,0.732,0.999,2.45857859485873e-243
Ass1,1.85592655429805e-246,1.85983300176114,0.996,0.98,3.04631784622482e-242
Slc38a3,6.33863150255366e-237,-3.63973614644444,0.082,0.903,1.04042297482916e-232
Gstp2,1.86541687480074e-236,3.07368221728544,0.935,0.675,3.06189525829794e-232
Cfh,8.64108617040066e-235,-3.58081903948758,0.068,0.901,1.41834788400956e-230
Apoc3,2.31127605764462e-234,1.08363195002908,0.999,0.986,3.79372852101787e-230
Serpina3k,2.86494032810163e-229,-1.43415647297489,0.986,0.984,4.70251305454602e-225
H2-K1,5.2646547285351e-228,-2.00613404579117,0.432,0.996,8.64140427141752e-224
Acly,1.04825995708223e-227,-3.28596290220322,0.099,0.913,1.72061389355477e-223
Col18a1,1.96417595587416e-227,-3.53308769301892,0.064,0.884,3.22399841397185e-223
Ndufa4,3.38383278766996e-227,1.68289915535799,0.979,0.971,5.55422313768148e-223
Plg,4.63881453714655e-225,-2.60065474018714,0.201,0.958,7.61415018127235e-221
Mug2,1.336336318579e-216,-3.8871832571098,0.05,0.842,2.19346243331557e-212
Gldc,2.08822156892189e-213,-2.8749092983637,0.106,0.91,3.42760688322839e-209
Ddt,6.05351742368458e-212,2.05073379954381,0.933,0.889,9.93624349923586e-208
Cyp4v3,1.46054715916452e-209,-2.58806427120314,0.176,0.94,2.39734210705265e-205
Cyp2f2,1.98647804399427e-208,-2.01796541486156,0.424,0.967,3.2606050614122e-204
Aldob,4.28266242665519e-208,1.29328635768158,1,0.986,7.02956210711182e-204
Mup3,1.34230490639912e-204,1.11761511578099,1,0.987,2.20325927336352e-200
Elovl2,2.22655286729859e-204,-2.80946569409506,0.116,0.901,3.65466387638391e-200
Pck1,3.04628034638653e-204,-2.58140892975416,0.358,0.959,5.00016456055884e-200
Rnr1,7.33348819945562e-204,-4.83518749578502,0.03,0.778,1.20371875305865e-199
Acsl1,1.58224531446052e-200,-2.55963887362091,0.17,0.929,2.59709745915549e-196
Igfbp4,5.43034526068574e-199,-1.64491059074895,0.517,0.993,8.91336871088958e-195
Zfp36l1,3.06825623652666e-196,-2.44278353585372,0.15,0.93,5.03623578663486e-192
Klkb1,3.51351082717757e-193,-3.39645433891761,0.044,0.795,5.76707667172927e-189
G6pc,1.99865332907477e-192,-3.00923920177315,0.082,0.841,3.28058957434333e-188
Canx,7.25585752759408e-192,-2.41961755379782,0.161,0.923,1.19097645457929e-187
Qsox1,3.75369536719799e-191,-2.67805456311882,0.099,0.868,6.16131557571878e-187
Sod1,2.26473521180973e-190,-1.92718921955374,0.374,0.976,3.71733637666449e-186
Aplp2,2.27809917869561e-190,-2.73936301584039,0.093,0.859,3.73927199191098e-186
Hc,2.20454611894619e-189,-3.3134267558574,0.057,0.799,3.61854199963828e-185
Uqcrb,1.22058885121242e-188,2.38497396780643,0.888,0.758,2.00347454038006e-184
