,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Apoe,3.57616277161909e-203,1.52482826066496,1,0.999,5.86991357333558e-199
Apoa1,2.99976772739068e-167,1.2809674494892,0.986,0.914,4.92381874773906e-163
Ambp,3.11270759487789e-145,1.62074016345046,0.949,0.773,5.10919824623258e-141
Tpt1,7.52409816738395e-138,-1.72515277771091,0.662,0.936,1.2350054731944e-133
Ttr,2.74701119261278e-136,0.970893610563165,0.988,0.926,4.50894417155461e-132
Gc,2.53615607039733e-123,1.16093925089522,0.97,0.855,4.16284657395017e-119
Alb,2.23830641543346e-119,1.25795353476574,0.99,0.917,3.67395615029248e-115
Fgb,4.63453164921952e-117,1.87305701900011,0.943,0.801,7.60712024902893e-113
Mup3,5.66459427605011e-116,1.07667669033274,0.986,0.92,9.29786504470865e-112
Vtn,7.73843676875359e-112,1.51605401713569,0.917,0.716,1.27018701122321e-107
Apoh,2.12548949688217e-109,1.45044702966901,0.935,0.797,3.4887784601824e-105
Apoa2,1.58124603825123e-108,0.792894724247889,0.988,0.939,2.59545724718557e-104
Hp,6.20565800506583e-107,1.04503373901384,0.98,0.868,1.01859670495151e-102
Malat1,1.25458915856458e-102,-2.70224590997694,0.441,0.815,2.05928264486789e-98
Cat,3.29046651733359e-99,-1.79189517251229,0.761,0.884,5.40097174155135e-95
Serpina1d,2.96931395888394e-98,1.01813602070583,0.97,0.867,4.8738319321121e-94
Kng1,1.92272407735012e-97,1.39798504906444,0.905,0.712,3.15595930056249e-93
Serpinc1,1.13011570098339e-90,1.37236091076595,0.885,0.752,1.85497191159414e-86
F2,9.50972048032111e-89,1.6344444082063,0.85,0.644,1.56092551963991e-84
Eef1a1,6.02412345015375e-87,-0.946556367746637,0.862,0.969,9.88799623108237e-83
Angptl3,1.42703100973804e-86,1.39410685994153,0.838,0.607,2.34232869938402e-82
Zfp36l1,1.51997558265504e-86,-2.4529832254478,0.152,0.636,2.49488792136998e-82
Hpx,2.66394655464836e-85,1.1254854711127,0.974,0.854,4.37260187479981e-81
Rpl41,1.45759940101914e-84,-0.922961124108278,0.915,0.982,2.39250365683282e-80
Rps28,1.37807822385537e-82,-1.35472439887599,0.636,0.894,2.26197759663621e-78
Sod1,1.13545757137787e-81,-1.83115465755015,0.35,0.745,1.86374005765963e-77
Igfbp4,3.36816545831278e-78,-1.39209821656059,0.555,0.837,5.5285067832746e-74
Clu,1.77487937726977e-77,1.1948554318516,0.897,0.75,2.91328700985061e-73
Serpina1b,2.74225766082364e-77,0.700999838273578,0.982,0.904,4.50114172447592e-73
Mat1a,4.05376611123956e-77,-1.291857023516,0.66,0.844,6.65385169498861e-73
H2-Q10,6.28889897565533e-77,0.9373005222674,0.951,0.846,1.03225987786407e-72
Ahsg,7.90349155438658e-77,0.94489930679563,0.972,0.851,1.29727910373701e-72
Rps29,1.68653367705717e-71,-1.04447488563029,0.806,0.943,2.76827637752164e-67
Rpl37a,6.11041744421755e-70,-1.08321805561606,0.777,0.941,1.00296391929387e-65
Aadac,3.25303290719098e-67,1.88177851126367,0.65,0.401,5.33952821386328e-63
Pck1,1.66441312308911e-64,-2.28538172158072,0.314,0.663,2.73196770023847e-60
Mup20,1.59112985268102e-63,0.949002441362474,0.99,0.915,2.61168054019063e-59
Trf,4.45709377316893e-63,0.764497219760875,0.988,0.912,7.31587371927949e-59
Apof,9.89514126600786e-60,1.41318993990903,0.747,0.567,1.62418848740253e-55
Cyp2d10,1.52935821339331e-59,1.80442061240644,0.696,0.528,2.51028857146378e-55
Errfi1,3.40320997171601e-59,-1.53645437291485,0.34,0.697,5.58602884757466e-55
Atp5g3,1.05531477548531e-58,-1.31249296101595,0.387,0.735,1.73219367248159e-54
Tat,2.10624190957662e-58,-1.28061663208216,0.5,0.774,3.45718547037906e-54
Actb,7.23311673932077e-58,-1.18626707611341,0.611,0.899,1.18724378159211e-53
Aass,1.2093031683414e-57,-1.9477656743146,0.152,0.548,1.98495022051558e-53
Maob,3.23627460768295e-57,-2.40495813244722,0.091,0.475,5.31202114105079e-53
Gldc,3.31810680077732e-55,-2.34081956976413,0.123,0.493,5.4463405027959e-51
Serpina1c,3.77845507785866e-55,0.610186892913364,0.99,0.915,6.2019561647972e-51
Gclc,5.52895322922267e-55,-2.08032503523906,0.115,0.5,9.0752238304461e-51
Hrg,2.50196668152941e-54,1.44429132925484,0.725,0.566,4.10672811106237e-50
Cps1,6.66291640326607e-54,-2.40924938643974,0.486,0.658,1.09365109843209e-49
Pon1,6.98287675959376e-53,2.09985458416863,0.65,0.464,1.14616939131972e-48
Apoc3,8.43503228468193e-53,0.639554377980672,0.98,0.913,1.38452619920769e-48
Pah,1.43526987123218e-52,-1.26279537715382,0.405,0.721,2.35585196664051e-48
Eif4g2,2.45955636509203e-52,-1.55521899499734,0.196,0.576,4.03711581766206e-48
Ugt2b36,9.18391663269391e-52,1.5334655786002,0.725,0.558,1.50744807609038e-47
Rpl37,1.26238750398312e-51,-1.0050749043096,0.636,0.869,2.0720828490379e-47
Insig1,1.61317503458328e-51,-1.78420253629974,0.227,0.582,2.64786550176499e-47
Ppp1r3b,1.89450616934873e-51,-3.2744416816639,0.081,0.428,3.109642426369e-47
Qdpr,3.21037862378497e-51,-1.2678989230304,0.366,0.712,5.26951547308066e-47
Fgg,6.08898528952203e-51,0.998372681964635,0.939,0.824,9.99446045422146e-47
Azgp1,2.00308703713344e-50,0.918641835000129,0.868,0.752,3.28786706275083e-46
Acly,1.18068360978906e-49,-1.92348954586715,0.166,0.522,1.93797407710777e-45
Mup4,1.88626182030244e-49,2.09367539985784,0.381,0.156,3.09611015184442e-45
Gas5,2.63242101455301e-49,-1.23468338433967,0.328,0.687,4.32085585328731e-45
Zfp36,3.22122541896217e-49,-3.25792948521564,0.049,0.381,5.2873194026845e-45
Ddx5,4.53796626506337e-49,-1.54983746267227,0.182,0.564,7.44861782747501e-45
Ndrg2,4.73598807308273e-49,-0.922013966557861,0.656,0.837,7.773650823158e-45
Ddx3x,1.81183938439297e-48,-2.43547830658986,0.077,0.419,2.97395316554262e-44
Cyp2a12,2.07502477217232e-48,1.47414399754085,0.662,0.482,3.40594566104364e-44
Dpyd,2.39694311386413e-48,-2.04553600889839,0.125,0.475,3.93434242709659e-44
Neat1,2.49812750296745e-48,-3.10385176843963,0.053,0.389,4.10042648337078e-44
Orm1,7.37984544405555e-48,0.92881281183773,0.836,0.74,1.21132783118728e-43
Ugt2b5,1.14614362023048e-47,1.73703129016352,0.678,0.527,1.88128013824631e-43
Pcbp1,1.5829240564266e-47,-1.93777657352635,0.14,0.489,2.59821154621862e-43
Acox1,1.89208835097352e-46,-1.12025618696625,0.577,0.783,3.10567381928793e-42
Rplp1,1.10420715410891e-44,-0.76179909126061,0.751,0.912,1.81244562275436e-40
Rdx,1.91338498943709e-44,-1.77791837806536,0.121,0.46,3.14063012166204e-40
Rpsa,2.72294746696614e-44,-0.998432876550097,0.455,0.77,4.46944597227823e-40
Rps21,1.32256320821927e-43,-1.00439760022748,0.478,0.777,2.1708552499711e-39
Rpl36,2.62664724582967e-43,-0.807070973697741,0.678,0.883,4.31137878930482e-39
Aldh4a1,3.54387860375114e-43,-1.86312365157622,0.099,0.433,5.81692234019712e-39
Uroc1,4.10210381642623e-43,-1.47177524091891,0.213,0.551,6.73319320428201e-39
Cfb,5.50725638815027e-43,1.4391118896076,0.654,0.472,9.03961063550985e-39
Lrg1,6.34267947490391e-43,1.48928294965539,0.672,0.546,1.04108740901073e-38
Rn45s,7.01202067270239e-43,-1.94567874479866,0.14,0.466,1.15095307321737e-38
Id2,6.9629848375859e-42,-1.09110195335714,0.36,0.697,1.14290433124135e-37
Cltc,2.0639105746499e-41,-2.26573075075694,0.069,0.378,3.38770281723035e-37
Dazap2,3.59903851071485e-41,-1.82716270923044,0.119,0.437,5.90746181148736e-37
Atp5a1,1.27380427259443e-40,-0.776358545499209,0.557,0.834,2.09082233303649e-36
Rpl39,2.13273773475554e-40,-0.825114702278866,0.632,0.851,3.50067571782775e-36
Mgst1,3.37007720027095e-40,0.592341535955548,0.988,0.914,5.53164471652474e-36
Ppp2r5a,3.75191759416432e-40,-2.86588122929712,0.042,0.331,6.15839753906131e-36
Dusp1,4.73480559612122e-40,-2.41743270939229,0.091,0.394,7.77170990547337e-36
Ak3,5.85743366768598e-40,-1.46616305951092,0.178,0.506,9.61439162213977e-36
Hspa9,1.73947728310986e-39,-1.03485575418775,0.356,0.688,2.85517801249653e-35
Serp1,2.90993975627651e-39,-0.966076532438848,0.385,0.712,4.77637511595226e-35
P4hb,3.18706186368721e-39,-1.21645521937244,0.391,0.649,5.23124334305618e-35
Pten,4.75847046473744e-39,-2.24416123291737,0.061,0.361,7.81055342082003e-35
Cald1,1.10938235154792e-38,-1.28007712706449,0.204,0.538,1.82094019183075e-34
Mtss1,2.71269632200252e-38,-3.43305232574519,0.018,0.287,4.45261974293494e-34
Nfib,2.8033252059355e-38,-2.63050286077727,0.038,0.318,4.60137799302252e-34
Agt,3.53564700006501e-38,1.33981973051867,0.644,0.496,5.80341098590671e-34
Rpl37rt,3.93029952606672e-38,-0.935277182213804,0.52,0.797,6.45119364208592e-34
Fasn,4.72459571578551e-38,-1.88599537330333,0.15,0.45,7.75495140789034e-34
Dynll2,1.17221920593605e-37,-1.13415227055214,0.298,0.629,1.92408060462343e-33
Ctnnb1,1.34071063376284e-37,-2.120397811532,0.085,0.377,2.20064243425833e-33
Serpinf1,1.83508909428266e-37,1.2983259855724,0.65,0.514,3.01211523935556e-33
Acadsb,1.86349309418395e-37,-1.75307619554752,0.079,0.379,3.05873756479353e-33
Dpys,2.32393705948982e-37,-1.10556495115074,0.245,0.583,3.81451028944659e-33
Myo1b,2.44226419379916e-37,-1.6430570921067,0.111,0.417,4.00873244770194e-33
Mup21,2.93315038900669e-37,1.43605403275495,0.603,0.398,4.81447304851557e-33
Canx,3.98525332928495e-37,-1.15550301703319,0.292,0.613,6.54139481468832e-33
Pank1,9.50897294159644e-37,-1.22005492826483,0.231,0.552,1.56080281863364e-32
