,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Fabp1,0,1.96614801044394,1,0.993,0
Ttr,3.04079931713486e-295,1.33561366859152,1,0.987,4.99116799914516e-291
Prdx1,9.37487982537874e-295,2.01935333197497,1,0.998,1.53879277453767e-290
Apoa2,3.87024496158709e-285,1.23107454038137,1,0.988,6.35262007994904e-281
Apoc1,2.21343418538773e-278,1.06757297648309,1,0.99,3.63313087189542e-274
Ftl1,6.50159625495886e-272,1.28217008682796,1,1,1.06717200928895e-267
Cyb5a,9.70514826039595e-260,1.88068135513639,0.996,0.98,1.59300303546139e-255
Apoa1,2.8470090884012e-254,1.36424065918538,1,0.985,4.67308071770174e-250
Dbi,5.95450181712031e-254,1.58351041643364,1,0.994,9.77371928262127e-250
Chchd10,7.44615866537268e-252,1.85462727806059,0.993,0.951,1.22221248333427e-247
Ubb,5.99664294396246e-250,3.43286015922447,0.884,0.358,9.84288972821998e-246
Ass1,1.85592655429805e-246,1.85983300176114,0.996,0.98,3.04631784622482e-242
Gstp2,1.86541687480074e-236,3.07368221728544,0.935,0.675,3.06189525829794e-232
Apoc3,2.31127605764462e-234,1.08363195002908,0.999,0.986,3.79372852101787e-230
Ndufa4,3.38383278766996e-227,1.68289915535799,0.979,0.971,5.55422313768148e-223
Ddt,6.05351742368458e-212,2.05073379954381,0.933,0.889,9.93624349923586e-208
Aldob,4.28266242665519e-208,1.29328635768158,1,0.986,7.02956210711182e-204
Mup3,1.34230490639912e-204,1.11761511578099,1,0.987,2.20325927336352e-200
Uqcrb,1.22058885121242e-188,2.38497396780643,0.888,0.758,2.00347454038006e-184
Fbp1,2.42863088622138e-186,1.59591780221981,0.952,0.958,3.98635473664377e-182
Wfdc21,2.58844393374746e-184,1.33227716562406,0.986,0.965,4.24867187285308e-180
Cox6b1,2.09450915256362e-180,1.93150053029613,0.914,0.881,3.43792732301793e-176
Gsta3,5.27786067724241e-180,1.61170851135054,0.95,0.939,8.66308051562569e-176
Atp5j,9.69389253591957e-169,1.65218010123648,0.925,0.929,1.59115552084584e-164
Hrsp12,4.98766973984596e-164,1.58388052822241,0.932,0.959,8.18676111098316e-160
Ttc36,1.06380273536133e-163,1.42903913436278,0.946,0.962,1.74612580982209e-159
Eif1,1.20139573243681e-161,1.55337295727019,0.938,0.961,1.97197095522179e-157
Bhmt,6.33821685427569e-159,1.15037203355345,0.996,0.982,1.04035491446081e-154
Akr1c6,9.39768028263657e-157,1.89689473213488,0.912,0.878,1.54253524159197e-152
Atp5j2,3.38693244211311e-156,1.70219696757503,0.899,0.881,5.55931091048446e-152
Ifitm3,1.76029345931268e-140,1.55509194916484,0.891,0.929,2.88934568411582e-136
Acaa1b,6.68096222061324e-139,1.39847150968519,0.953,0.96,1.09661313889146e-134
Fabp2,4.94166245193271e-136,2.94842280929419,0.755,0.492,8.11124474860235e-132
Rps2,1.24995285078638e-135,1.48251168284562,0.901,0.936,2.05167260928076e-131
Hist1h2bc,1.60968696170082e-133,2.53444779029401,0.783,0.622,2.64214017893573e-129
