,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Apoe,3.57616277161909e-203,1.52482826066496,1,0.999,5.86991357333558e-199
Apoa1,2.99976772739068e-167,1.2809674494892,0.986,0.914,4.92381874773906e-163
Ambp,3.11270759487789e-145,1.62074016345046,0.949,0.773,5.10919824623258e-141
Gc,2.53615607039733e-123,1.16093925089522,0.97,0.855,4.16284657395017e-119
Alb,2.23830641543346e-119,1.25795353476574,0.99,0.917,3.67395615029248e-115
Fgb,4.63453164921952e-117,1.87305701900011,0.943,0.801,7.60712024902893e-113
Mup3,5.66459427605011e-116,1.07667669033274,0.986,0.92,9.29786504470865e-112
Vtn,7.73843676875359e-112,1.51605401713569,0.917,0.716,1.27018701122321e-107
Apoh,2.12548949688217e-109,1.45044702966901,0.935,0.797,3.4887784601824e-105
Hp,6.20565800506583e-107,1.04503373901384,0.98,0.868,1.01859670495151e-102
Serpina1d,2.96931395888394e-98,1.01813602070583,0.97,0.867,4.8738319321121e-94
Kng1,1.92272407735012e-97,1.39798504906444,0.905,0.712,3.15595930056249e-93
Serpinc1,1.13011570098339e-90,1.37236091076595,0.885,0.752,1.85497191159414e-86
F2,9.50972048032111e-89,1.6344444082063,0.85,0.644,1.56092551963991e-84
Angptl3,1.42703100973804e-86,1.39410685994153,0.838,0.607,2.34232869938402e-82
Hpx,2.66394655464836e-85,1.1254854711127,0.974,0.854,4.37260187479981e-81
Clu,1.77487937726977e-77,1.1948554318516,0.897,0.75,2.91328700985061e-73
Aadac,3.25303290719098e-67,1.88177851126367,0.65,0.401,5.33952821386328e-63
Apof,9.89514126600786e-60,1.41318993990903,0.747,0.567,1.62418848740253e-55
Cyp2d10,1.52935821339331e-59,1.80442061240644,0.696,0.528,2.51028857146378e-55
Hrg,2.50196668152941e-54,1.44429132925484,0.725,0.566,4.10672811106237e-50
Pon1,6.98287675959376e-53,2.09985458416863,0.65,0.464,1.14616939131972e-48
Ugt2b36,9.18391663269391e-52,1.5334655786002,0.725,0.558,1.50744807609038e-47
Mup4,1.88626182030244e-49,2.09367539985784,0.381,0.156,3.09611015184442e-45
Cyp2a12,2.07502477217232e-48,1.47414399754085,0.662,0.482,3.40594566104364e-44
Ugt2b5,1.14614362023048e-47,1.73703129016352,0.678,0.527,1.88128013824631e-43
Cfb,5.50725638815027e-43,1.4391118896076,0.654,0.472,9.03961063550985e-39
Lrg1,6.34267947490391e-43,1.48928294965539,0.672,0.546,1.04108740901073e-38
Agt,3.53564700006501e-38,1.33981973051867,0.644,0.496,5.80341098590671e-34
Serpinf1,1.83508909428266e-37,1.2983259855724,0.65,0.514,3.01211523935556e-33
Mup21,2.93315038900669e-37,1.43605403275495,0.603,0.398,4.81447304851557e-33
Amy1,6.97452972685152e-36,1.98199015824466,0.403,0.214,1.14479930936541e-31
Fetub,3.66765940845243e-33,1.41843841277104,0.542,0.38,6.02009615303382e-29
Tmem176a,2.25718284137332e-30,1.39173230489248,0.522,0.362,3.70493991583018e-26
Mup5,4.11292997716369e-29,1.80998045909756,0.298,0.136,6.75096326451649e-25
Proc,1.03403050894731e-28,1.30765917690705,0.605,0.49,1.69725767738612e-24
Apoa4,5.34253021529682e-28,1.23623727232286,0.607,0.448,8.76922909538821e-24
Mup9,3.2450999141892e-24,1.92732945684362,0.287,0.142,5.32650699915014e-20
Lect2,7.62491652238776e-22,1.51362612796448,0.292,0.147,1.25155379798473e-17
Apom,1.03489188938542e-21,1.0931385917054,0.549,0.436,1.69867154723722e-17
Slc27a5,2.9752765577076e-21,1.38409067449506,0.547,0.447,4.88361894182126e-17
Cyp2d9,6.82386158481381e-21,1.43441370903102,0.64,0.591,1.12006864053134e-16
Ces1c,7.84770170218826e-21,1.05104875916749,0.619,0.529,1.28812175739718e-16
Hsd11b1,2.50083780934809e-20,1.01886627256866,0.625,0.54,4.10487518026395e-16
Cyp2e1,3.26426223103582e-19,1.35985729587806,0.494,0.342,5.35796002602219e-15
Cyp2c68,1.16888351673551e-18,1.87921236269421,0.273,0.149,1.91860540436967e-14
F10,1.88036675019378e-18,1.11228906851291,0.555,0.471,3.08643398376807e-14
Tecr,5.30841322455861e-17,1.14499957089178,0.478,0.377,8.7132294667905e-13
Apcs,8.63285479372568e-17,1.73538849940961,0.253,0.139,1.41699678584213e-12
Kng2,1.09161580596974e-15,1.26861108722886,0.405,0.294,1.79177818391872e-11
Fgl1,1.44611275647451e-15,1.31382869308655,0.368,0.252,2.37364947847726e-11
Cyp2c67,7.66456235957381e-15,1.80725999266499,0.291,0.179,1.25806126570045e-10
Saa1,2.63320251644135e-14,1.89826311238352,0.362,0.252,4.32213861048683e-10
Serpina6,5.01060990364062e-14,1.75194162597247,0.271,0.167,8.22441509583571e-10
Cyp2a5,9.455870575682e-14,2.05573291090143,0.209,0.114,1.55208659629244e-09
Lcat,9.50636896777951e-14,1.2188745721145,0.441,0.356,1.56037540237133e-09
Cyp2c29,9.8706981430609e-14,1.08031785120869,0.389,0.261,1.62017639320202e-09
Slc22a1,4.44940377448106e-13,1.74272325363657,0.362,0.269,7.30325135543322e-09
Hamp,5.9762287543956e-13,1.02623258976356,0.587,0.503,9.80938187746494e-09
1300017J02Rik,6.96018422422246e-13,1.26987410454258,0.431,0.358,1.14244463856387e-08
Ces1d,1.09068596894293e-12,1.03759369656677,0.492,0.426,1.79025194942292e-08
Mbl1,4.29919595093871e-12,1.09170556727062,0.439,0.358,7.05670023387079e-08
Hamp2,1.55421846123525e-09,1.16883217712638,0.285,0.191,2.55109418227154e-05
Mup1,1.79322711804057e-09,1.10944862655509,0.508,0.482,2.9434029915518e-05
Ang,1.87934191487665e-09,1.22034250674376,0.292,0.207,3.08475181907853e-05
Spp2,1.35082122088941e-08,1.33555065030446,0.281,0.204,0.000221723795196788
Lipc,1.11783563574383e-07,1.58941975397799,0.209,0.141,0.00183481541250992
Hsd17b2,1.28001383511496e-07,1.20767318470567,0.334,0.274,0.0021010147089577
