Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0009636~response to toxic substance	5	15.151515151515152	8.452184458357266E-6	DDC, MAOB, CPS1, CDH1, CYP2F2	31	88	20199	37.021627565982406	0.003829954903051047	0.0038372917440941986	0.0038372917440941986
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	4	12.121212121212121	0.0039061900406930227	CDH1, DSG2, F11R, EGFR	31	215	20199	12.122430607651912	0.8308353813855622	0.5602976790138305	0.5602976790138305
GOTERM_BP_DIRECT	GO:0019557~histidine catabolic process to glutamate and formate	2	6.0606060606060606	0.005928105220378217	HAL, UROC1	31	4	20199	325.7903225806451	0.9327520517203268	0.5602976790138305	0.5602976790138305
GOTERM_BP_DIRECT	GO:0019556~histidine catabolic process to glutamate and formamide	2	6.0606060606060606	0.005928105220378217	HAL, UROC1	31	4	20199	325.7903225806451	0.9327520517203268	0.5602976790138305	0.5602976790138305
GOTERM_BP_DIRECT	GO:0006547~histidine metabolic process	2	6.0606060606060606	0.007404815141151945	HAL, UROC1	31	5	20199	260.6322580645161	0.9657577344539435	0.5602976790138305	0.5602976790138305
GOTERM_BP_DIRECT	GO:0006548~histidine catabolic process	2	6.0606060606060606	0.007404815141151945	HAL, UROC1	31	5	20199	260.6322580645161	0.9657577344539435	0.5602976790138305	0.5602976790138305
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	5	15.151515151515152	0.012995881304191714	CDH1, FN1, DSG2, F11R, PTPRF	31	623	20199	5.2293791746492	0.99736482119717	0.6278367535740733	0.6278367535740733
GOTERM_BP_DIRECT	GO:0065003~macromolecular complex assembly	3	9.090909090909092	0.013875740500822034	FGA, GLDC, SSBP3	31	121	20199	16.15489202879232	0.9982422144161233	0.6278367535740733	0.6278367535740733
GOTERM_BP_DIRECT	GO:0007494~midgut development	2	6.0606060606060606	0.014756613610219132	CPS1, EGFR	31	10	20199	130.31612903225806	0.9988284472814423	0.6278367535740733	0.6278367535740733
GOTERM_BP_DIRECT	GO:0071377~cellular response to glucagon stimulus	2	6.0606060606060606	0.014756613610219132	CPS1, PCK1	31	10	20199	130.31612903225806	0.9988284472814423	0.6278367535740733	0.6278367535740733
GOTERM_BP_DIRECT	GO:0006107~oxaloacetate metabolic process	2	6.0606060606060606	0.01768257052789828	ACLY, PCK1	31	12	20199	108.59677419354838	0.9996963733743287	0.6278367535740733	0.6278367535740733
GOTERM_BP_DIRECT	GO:0016310~phosphorylation	5	15.151515151515152	0.017839214028887315	DAPK1, ETNK1, AK4, PCK1, EGFR	31	685	20199	4.756063103367082	0.9997175796210432	0.6278367535740733	0.6278367535740733
GOTERM_BP_DIRECT	GO:0071456~cellular response to hypoxia	3	9.090909090909092	0.018769476051177944	AK4, HYOU1, PCK1	31	142	20199	13.76578827805543	0.9998163222441335	0.6278367535740733	0.6278367535740733
GOTERM_BP_DIRECT	GO:0044238~primary metabolic process	2	6.0606060606060606	0.020600126810938018	HAL, DAPK1	31	14	20199	93.08294930875576	0.9999213208378414	0.6278367535740733	0.6278367535740733
GOTERM_BP_DIRECT	GO:0060416~response to growth hormone	2	6.0606060606060606	0.022055761995254584	F7, CPS1	31	15	20199	86.87741935483871	0.999959950430167	0.6278367535740733	0.6278367535740733
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	5	15.151515151515152	0.023080616171219204	ACLY, PCYT1A, ETNK1, INSIG1, PCK1	31	741	20199	4.396630534151756	0.9999751193341737	0.6278367535740733	0.6278367535740733
GOTERM_BP_DIRECT	GO:0070365~hepatocyte differentiation	2	6.0606060606060606	0.023509305750571027	CPS1, PCK1	31	16	20199	81.44758064516128	0.9999796144964054	0.6278367535740733	0.6278367535740733
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	3	9.090909090909092	0.02596769774232986	CDH1, DSG2, PTPRF	31	169	20199	11.566520328306929	0.9999935090934617	0.6310631199879143	0.6310631199879143
GOTERM_BP_DIRECT	GO:0042059~negative regulation of epidermal growth factor receptor signaling pathway	2	6.0606060606060606	0.026410130572181435	EGFR, PTPRF	31	18	20199	72.39784946236558	0.9999947188926454	0.6310631199879143	0.6310631199879143
GOTERM_BP_DIRECT	GO:0032496~response to lipopolysaccharide	3	9.090909090909092	0.03007584392763357	MAOB, CPS1, PCK1	31	183	20199	10.68164992067689	0.9999990473132362	0.682721657157282	0.682721657157282
GOTERM_BP_DIRECT	GO:0006541~glutamine metabolic process	2	6.0606060606060606	0.03506271167118125	CPS1, GLS2	31	24	20199	54.29838709677419	0.9999999082541275	0.7531769748773757	0.7531769748773757
GOTERM_BP_DIRECT	GO:0006520~cellular amino acid metabolic process	2	6.0606060606060606	0.03649756265925609	DDC, GLDC	31	25	20199	52.126451612903224	0.999999953314803	0.7531769748773757	0.7531769748773757
GOTERM_BP_DIRECT	GO:0051897~positive regulation of protein kinase B signaling	3	9.090909090909092	0.043456690808006786	F7, FN1, EGFR	31	224	20199	8.726526497695852	0.9999999982625762	0.8524503431846482	0.8524503431846482
GOTERM_BP_DIRECT	GO:0006807~nitrogen compound metabolic process	2	6.0606060606060606	0.04506345426526774	CPS1, DAPK1	31	31	20199	42.03746097814776	0.9999999991901036	0.8524503431846482	0.8524503431846482
GOTERM_BP_DIRECT	GO:0070372~regulation of ERK1 and ERK2 cascade	2	6.0606060606060606	0.05917660393591815	FN1, EGFR	31	41	20199	31.784421715184894	0.999999999999061	1.0	1.0
GOTERM_BP_DIRECT	GO:0042594~response to starvation	2	6.0606060606060606	0.05917660393591815	CPS1, PCK1	31	41	20199	31.784421715184894	0.999999999999061	1.0	1.0
GOTERM_BP_DIRECT	GO:0071549~cellular response to dexamethasone stimulus	2	6.0606060606060606	0.06615735612559895	PCK1, EGFR	31	46	20199	28.32959326788219	0.999999999999968	1.0	1.0
GOTERM_BP_DIRECT	GO:0007173~epidermal growth factor receptor signaling pathway	2	6.0606060606060606	0.06754748560142518	PIGR, EGFR	31	47	20199	27.726835964310222	0.9999999999999838	1.0	1.0
GOTERM_BP_DIRECT	GO:0007599~hemostasis	2	6.0606060606060606	0.06754748560142518	FGA, F7	31	47	20199	27.726835964310222	0.9999999999999838	1.0	1.0
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	4	12.121212121212121	0.07268578993658642	DAPK1, FN1, HYOU1, EGFR	31	657	20199	3.967005449992635	0.9999999999999987	1.0	1.0
GOTERM_BP_DIRECT	GO:0045907~positive regulation of vasoconstriction	2	6.0606060606060606	0.07446818125319107	FGA, EGFR	31	52	20199	25.060794044665013	0.9999999999999994	1.0	1.0
GOTERM_BP_DIRECT	GO:0009410~response to xenobiotic stimulus	3	9.090909090909092	0.07925349192566265	MAOB, CPS1, CDH1	31	315	20199	6.2055299539170505	1.0	1.0	1.0
