,Freq.0,Freq.1,Freq.2,Freq.3,Freq.4,Freq.5,Freq.6,Freq.7,Freq.8,Freq.9,Freq.10,Freq.11,Freq.12,Freq.13,Freq.14,Freq.15,Freq.16
Hepatocyte 15weeks Animal1,7.22,8.6,9.79,26.64,13.65,10.93,7.81,1.93,2.53,2.21,1.97,1.46,2.33,0.83,0.83,1.26,0
Hepatocyte 15weeks Animal2,19.36,17.82,17.68,1.36,10.62,1.68,5.94,7.83,2.87,4.58,2.24,1.96,2.45,2.45,1.05,0.14,0
Hepatocyte 15weeks Animal3,12.53,20.48,26.51,0.47,6.46,0.47,5.08,4.35,8.89,5.41,2.74,2.62,0.99,2.18,0.45,0.35,0
Hepatocyte 30weeks Animal1,20.91,7.56,16.86,4.35,14.7,3.08,8.79,5.15,2.62,3.46,3.34,1.23,3.08,2.37,2.2,0.3,0
Hepatocyte 30weeks Animal2,16.71,15.64,17.84,2.65,11.63,1.81,8.7,2.03,3.67,5.36,3.39,2.94,3.44,1.86,2.15,0.17,0
Hepatocyte Chow Animal1,13.27,23.29,14.09,1.06,2.52,0.81,3.58,9.93,13.36,6.11,3.99,3.66,2.61,0.49,0.65,0.57,0
Hepatocyte Chow Animal2,13.4,20.83,20.5,1.58,3.15,0.45,5.29,9.8,5.29,6.19,3.15,5.07,4.5,0.56,0.23,0,0
Hepatocyte Chow Animal3,12.09,24.35,16.11,1.61,3.04,0.45,6.89,8.42,5.82,8.15,3.49,3.85,3.22,1.88,0.54,0.09,0
Hepatocyte Chow Animal4,10.47,22.94,18.15,1.89,6.01,0.89,8.57,3.79,5.57,9.69,0.67,4.01,2.45,2.9,1.11,0.89,0
Hepatocyte Chow Animal5,14.79,18.68,18.97,1.7,9.84,0.85,5.94,10.12,4.1,3.33,3.54,3.26,1.27,1.34,1.98,0.28,0
Hepatocyte Chow Animal6,14.09,21.28,17.58,1.34,8.52,1.28,3.49,7.58,4.23,7.45,2.75,3.22,1.68,3.29,1.07,1.14,0
NPC 15weeks Animal1,9.73,11.89,2.7,20.54,0,25.95,1.08,2.7,4.86,0,0.54,0.54,0,0.54,2.7,8.11,8.11
NPC 15weeks Animal2,16.45,26.97,1.97,1.32,0,15.79,5.92,0,8.55,0.66,1.32,0.66,1.97,0,3.95,0.66,13.82
NPC 15weeks Animal3,7.08,7.36,1.91,32.43,1.09,34.88,1.91,4.63,1.63,1.09,0,0.82,0.27,0.54,2.72,0.54,1.09
NPC 30weeks Animal1,4.67,10.89,1.56,28.79,3.11,37.35,1.95,0.78,3.11,0.39,0.39,0.78,0,0.39,1.56,2.33,1.95
NPC 30weeks Animal2,5.77,6.54,2.69,27.31,0.77,30.77,0.77,0.38,5,1.54,0,0,0.77,1.15,1.54,3.85,11.15
NPC 30weeks Animal3,7.04,14.08,4.23,11.27,0.7,42.96,1.41,2.82,3.52,1.41,0,2.11,0.7,0.7,0.7,0,6.34
NPC 30weeks Animal4,9.38,7.59,3.12,34.38,1.79,31.7,0,0.45,8.04,0,0,0,0.45,0.89,0.89,0.89,0.45
NPC 34weeks Animal1,3.33,4.99,3.33,42.14,4.62,27.73,1.11,0,7.02,1.48,0,1.11,0.74,0.18,0.92,1.29,0
NPC Chow Animal1,28,4.2,1,22.4,0.6,17.8,2.8,6.6,9.2,2.2,0.8,2,0,0.4,1.8,0,0.2
NPC Chow Animal2,47.1,5.8,0.93,15.25,0.36,9.45,3.08,2.22,3.15,3.94,2.65,1.72,0,1.5,2.36,0.07,0.43
NPC Chow Animal3,21.06,5.31,0.48,43.25,0.48,12.22,1.93,3.22,2.57,1.29,0.48,0.64,0.32,3.22,1.13,0,2.41
